index	e_type	Source	from_type	Target	to_type	directed	attributes.tagCount	attributes.res	attributes.layer_id
0	located_on_h3_cell	https://www.openstreetmap.org/way/211911788	osmplace	891f1a65b87ffff	h3place	False		6.0	Leisure_POS_amenity around (Aue) radius=15.0
1	hasOSMTag	stop_area	osmtag	891e3499ccbffff	h3place	False	1.0		Transport_POS_amenity around (Aue) radius=15.0
2	located_on_h3_cell	https://www.openstreetmap.org/node/8758900082	osmplace	891e34d7257ffff	h3place	False		6.0	Leisure_POS_amenity around (Aue) radius=15.0
3	located_on_h3_cell	https://www.openstreetmap.org/way/232541731	osmplace	891e349962fffff	h3place	False		6.0	Leisure_POS_amenity around (Aue) radius=15.0
4	hasOSMTag	stop_area	osmtag	891f1a6d917ffff	h3place	False	1.0		Transport_POS_amenity around (Aue) radius=15.0
5	located_on_h3_cell	https://www.openstreetmap.org/way/864819382	osmplace	891e34d608bffff	h3place	False		6.0	Lifestyle_POS_amenity around (Aue) radius=15.0
6	located_on_h3_cell	https://www.openstreetmap.org/relation/11780183	osmplace	891e34d7537ffff	h3place	False		6.0	Transport_POS_amenity around (Aue) radius=15.0
7	located_on_h3_cell	https://www.openstreetmap.org/node/6407462195	osmplace	891f1a6d967ffff	h3place	False		6.0	Transport_POS_amenity around (Aue) radius=15.0
8	located_on_h3_cell	891e34d662fffff	h3place	https://www.openstreetmap.org/relation/10000983	osmplace	False		6.0	Transport_POS_amenity around (Aue) radius=15.0
9	located_on_h3_cell	https://www.openstreetmap.org/way/217554175	osmplace	891e34d5007ffff	h3place	False		6.0	Leisure_POS_amenity around (Aue) radius=15.0
10	located_on_h3_cell	https://www.openstreetmap.org/relation/9575737	osmplace	891e34d6b13ffff	h3place	False		6.0	Transport_POS_amenity around (Aue) radius=15.0
11	located_on_h3_cell	https://www.openstreetmap.org/way/586132471	osmplace	891e34d5aabffff	h3place	False		6.0	Transport_POS_amenity around (Aue) radius=15.0
12	hasOSMTag	stop_area	osmtag	891e34d6017ffff	h3place	False	1.0		Transport_POS_amenity around (Aue) radius=15.0
13	located_on_h3_cell	https://www.openstreetmap.org/node/8736166554	osmplace	891f1a6db27ffff	h3place	False		6.0	Transport_POS_amenity around (Aue) radius=15.0
14	located_on_h3_cell	https://www.openstreetmap.org/way/407719380	osmplace	891e34d6bcbffff	h3place	False		6.0	Leisure_POS_amenity around (Aue) radius=15.0
15	hasOSMTag	swimming_pool	osmtag	891e34d50b3ffff	h3place	False	1.0		Leisure_POS_amenity around (Aue) radius=15.0
16	located_on_h3_cell	https://www.openstreetmap.org/way/232139832	osmplace	891e3499c73ffff	h3place	False		6.0	Leisure_POS_amenity around (Aue) radius=15.0
17	located_on_h3_cell	https://www.openstreetmap.org/way/393309166	osmplace	891f1a6db4bffff	h3place	False		6.0	Leisure_POS_amenity around (Aue) radius=15.0
