index	e_type	Source	from_type	Target	to_type	directed	attributes.res	attributes.layer_id	attributes.tagCount
0	hasOSMTag	primary	osmtag	891f1a2dc63ffff	h3place	False		Transport_NEG_aeroway around (Chemnitz) radius=15.0	2.0
1	hasOSMTag	primary	osmtag	891f1a2aa6fffff	h3place	False		Transport_NEG_aeroway around (Chemnitz) radius=15.0	1.0
2	hasOSMTag	primary	osmtag	891e34900dbffff	h3place	False		Transport_NEG_aeroway around (Chemnitz) radius=15.0	4.0
3	located_on_h3_cell	https://www.openstreetmap.org/node/4472301340	osmplace	891f1a288afffff	h3place	False	6.0	Lifestyle_NEG_shop around (Chemnitz) radius=15.0	
4	located_on_h3_cell	https://www.openstreetmap.org/way/273525356	osmplace	891e34904dbffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
5	located_on_h3_cell	891e3497437ffff	h3place	https://www.openstreetmap.org/way/130539220	osmplace	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
6	hasOSMTag	primary	osmtag	891e34931afffff	h3place	False		Transport_NEG_aeroway around (Chemnitz) radius=15.0	1.0
7	hasOSMTag	fast_food	osmtag	891e34923abffff	h3place	False		Lifestyle_NEG_shop around (Chemnitz) radius=15.0	1.0
8	located_on_h3_cell	https://www.openstreetmap.org/way/255724332	osmplace	891f1a2db47ffff	h3place	False	6.0	Lifestyle_NEG_shop around (Chemnitz) radius=15.0	
9	located_on_h3_cell	https://www.openstreetmap.org/way/738530441	osmplace	891e3492343ffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
10	hasOSMTag	primary	osmtag	891f1a2a84bffff	h3place	False		Transport_NEG_aeroway around (Chemnitz) radius=15.0	1.0
11	hasOSMTag	primary	osmtag	891f1a2c2abffff	h3place	False		Transport_NEG_aeroway around (Chemnitz) radius=15.0	2.0
12	located_on_h3_cell	https://www.openstreetmap.org/way/781108943	osmplace	891f1a2dac3ffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
13	located_on_h3_cell	891e3492693ffff	h3place	https://www.openstreetmap.org/way/698787269	osmplace	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
14	located_on_h3_cell	https://www.openstreetmap.org/way/293202626	osmplace	891e3490417ffff	h3place	False	6.0	Environment_NEG_geological around (Chemnitz) radius=15.0	
15	located_on_h3_cell	https://www.openstreetmap.org/node/7997220744	osmplace	891e3490583ffff	h3place	False	6.0	Lifestyle_NEG_shop around (Chemnitz) radius=15.0	
16	located_on_h3_cell	https://www.openstreetmap.org/way/738891671	osmplace	891e3492343ffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
17	located_on_h3_cell	https://www.openstreetmap.org/way/305903237	osmplace	891e3490043ffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
18	located_on_h3_cell	891f1a2c6b3ffff	h3place	https://www.openstreetmap.org/way/934672984	osmplace	False	6.0	Environment_NEG_geological around (Chemnitz) radius=15.0	
19	located_on_h3_cell	https://www.openstreetmap.org/way/362541741	osmplace	891e348244bffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
20	located_on_h3_cell	https://www.openstreetmap.org/way/15934668	osmplace	891e3492373ffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
21	hasOSMTag	primary	osmtag	891e34921c3ffff	h3place	False		Transport_NEG_aeroway around (Chemnitz) radius=15.0	5.0
22	located_on_h3_cell	https://www.openstreetmap.org/way/13752151	osmplace	891e3492303ffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
23	hasOSMTag	fast_food	osmtag	891f1a288afffff	h3place	False		Lifestyle_NEG_shop around (Chemnitz) radius=15.0	1.0
24	located_on_h3_cell	891e34921b7ffff	h3place	https://www.openstreetmap.org/way/361274555	osmplace	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
25	hasOSMTag	primary	osmtag	891e34904abffff	h3place	False		Transport_NEG_aeroway around (Chemnitz) radius=15.0	1.0
26	located_on_h3_cell	https://www.openstreetmap.org/way/257575883	osmplace	891e3490197ffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
27	located_on_h3_cell	https://www.openstreetmap.org/way/819142279	osmplace	891e34974a7ffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
28	hasOSMTag	primary	osmtag	891e3482487ffff	h3place	False		Transport_NEG_aeroway around (Chemnitz) radius=15.0	1.0
29	hasOSMTag	891f1a2c20fffff	h3place	primary	osmtag	False		Transport_NEG_aeroway around (Chemnitz) radius=15.0	3.0
30	hasOSMTag	primary	osmtag	891e3492637ffff	h3place	False		Transport_NEG_aeroway around (Chemnitz) radius=15.0	6.0
31	located_on_h3_cell	https://www.openstreetmap.org/way/211917350	osmplace	891e3490197ffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
32	located_on_h3_cell	891e34921b7ffff	h3place	https://www.openstreetmap.org/way/361274561	osmplace	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
33	located_on_h3_cell	https://www.openstreetmap.org/way/72453076	osmplace	891e349664bffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
34	located_on_h3_cell	https://www.openstreetmap.org/node/5223652938	osmplace	891e34905afffff	h3place	False	6.0	Lifestyle_NEG_shop around (Chemnitz) radius=15.0	
35	hasOSMTag	primary	osmtag	891e349050fffff	h3place	False		Transport_NEG_aeroway around (Chemnitz) radius=15.0	2.0
36	located_on_h3_cell	https://www.openstreetmap.org/way/642176679	osmplace	891e3490133ffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
37	located_on_h3_cell	891e34920cbffff	h3place	https://www.openstreetmap.org/node/3846429298	osmplace	False	6.0	Services_NEG_amenity around (Chemnitz) radius=15.0	
38	located_on_h3_cell	https://www.openstreetmap.org/way/274631965	osmplace	891e34921cfffff	h3place	False	6.0	Environment_NEG_geological around (Chemnitz) radius=15.0	
39	located_on_h3_cell	https://www.openstreetmap.org/way/212101237	osmplace	891e34900dbffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
40	located_on_h3_cell	https://www.openstreetmap.org/way/354385483	osmplace	891e3492347ffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
41	located_on_h3_cell	https://www.openstreetmap.org/way/256317337	osmplace	891e34931afffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
42	located_on_h3_cell	https://www.openstreetmap.org/way/446813627	osmplace	891e34904b7ffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
43	located_on_h3_cell	891e3492637ffff	h3place	https://www.openstreetmap.org/way/708137350	osmplace	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
44	located_on_h3_cell	https://www.openstreetmap.org/way/334610401	osmplace	891e3492153ffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
45	located_on_h3_cell	https://www.openstreetmap.org/way/216958933	osmplace	891e349217bffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
46	located_on_h3_cell	https://www.openstreetmap.org/way/242492115	osmplace	891e3482687ffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
47	located_on_h3_cell	https://www.openstreetmap.org/way/117802427	osmplace	891f1a2dac7ffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
48	hasOSMTag	fast_food	osmtag	891e34923c7ffff	h3place	False		Lifestyle_NEG_shop around (Chemnitz) radius=15.0	1.0
49	hasOSMTag	primary	osmtag	891e349217bffff	h3place	False		Transport_NEG_aeroway around (Chemnitz) radius=15.0	8.0
50	located_on_h3_cell	891f1a2c20fffff	h3place	https://www.openstreetmap.org/way/362392658	osmplace	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
51	located_on_h3_cell	https://www.openstreetmap.org/way/257573305	osmplace	891e34900cfffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
52	located_on_h3_cell	https://www.openstreetmap.org/way/361274558	osmplace	891f1a2d223ffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
53	located_on_h3_cell	https://www.openstreetmap.org/way/395358835	osmplace	891f1a2c277ffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
54	located_on_h3_cell	https://www.openstreetmap.org/way/277999415	osmplace	891e348255bffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
55	hasOSMTag	primary	osmtag	891f1a2d27bffff	h3place	False		Transport_NEG_aeroway around (Chemnitz) radius=15.0	2.0
56	located_on_h3_cell	891e34901dbffff	h3place	https://www.openstreetmap.org/way/259091493	osmplace	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
57	hasOSMTag	891e34901dbffff	h3place	primary	osmtag	False		Transport_NEG_aeroway around (Chemnitz) radius=15.0	2.0
58	located_on_h3_cell	https://www.openstreetmap.org/way/31060518	osmplace	891e34931b7ffff	h3place	False	6.0	Environment_NEG_geological around (Chemnitz) radius=15.0	
59	located_on_h3_cell	891e3492637ffff	h3place	https://www.openstreetmap.org/way/58883204	osmplace	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
60	located_on_h3_cell	891e3492637ffff	h3place	https://www.openstreetmap.org/way/758921616	osmplace	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
61	hasOSMTag	891e3490497ffff	h3place	primary	osmtag	False		Transport_NEG_aeroway around (Chemnitz) radius=15.0	4.0
62	located_on_h3_cell	891e3492637ffff	h3place	https://www.openstreetmap.org/way/697607664	osmplace	False	6.0	Environment_NEG_geological around (Chemnitz) radius=15.0	
63	hasOSMTag	891e3492637ffff	h3place	industrial	osmtag	False		Environment_NEG_geological around (Chemnitz) radius=15.0	2.0
64	hasOSMTag	891e3490133ffff	h3place	trunk	osmtag	False		Transport_NEG_aeroway around (Chemnitz) radius=15.0	2.0
65	located_on_h3_cell	891e34921cbffff	h3place	https://www.openstreetmap.org/way/334610403	osmplace	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
66	located_on_h3_cell	https://www.openstreetmap.org/way/257573296	osmplace	891e3490003ffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
67	hasOSMTag	891e349207bffff	h3place	primary	osmtag	False		Transport_NEG_aeroway around (Chemnitz) radius=15.0	3.0
68	located_on_h3_cell	891e349049bffff	h3place	https://www.openstreetmap.org/way/273525362	osmplace	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
69	hasOSMTag	primary	osmtag	891e3490053ffff	h3place	False		Transport_NEG_aeroway around (Chemnitz) radius=15.0	8.0
70	located_on_h3_cell	https://www.openstreetmap.org/way/264689900	osmplace	891f1a2abc7ffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
71	located_on_h3_cell	https://www.openstreetmap.org/way/198034687	osmplace	891e3492e4fffff	h3place	False	6.0	Lifestyle_NEG_shop around (Chemnitz) radius=15.0	
72	hasOSMTag	891e3492373ffff	h3place	primary	osmtag	False		Transport_NEG_aeroway around (Chemnitz) radius=15.0	3.0
73	located_on_h3_cell	https://www.openstreetmap.org/way/305408256	osmplace	891e34926bbffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
74	hasOSMTag	891f1a2c297ffff	h3place	industrial	osmtag	False		Environment_NEG_geological around (Chemnitz) radius=15.0	2.0
75	located_on_h3_cell	891e34921b7ffff	h3place	https://www.openstreetmap.org/way/139985203	osmplace	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
76	located_on_h3_cell	891f1a2daafffff	h3place	https://www.openstreetmap.org/way/921628612	osmplace	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
