index	e_type	Source	from_type	Target	to_type	directed	attributes.tagCount	attributes.res	attributes.layer_id
0	located_on_h3_cell	https://www.openstreetmap.org/way/734181542	osmplace	891e3490623ffff	h3place	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
1	located_on_h3_cell	891f1a65917ffff	h3place	https://www.openstreetmap.org/way/483064921	osmplace	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
2	hasOSMTag	primary	osmtag	891e3491847ffff	h3place	False	1.0		Transport_NEG_aeroway around (Stollberg) radius=15.0
3	located_on_h3_cell	https://www.openstreetmap.org/way/888325055	osmplace	891e3491597ffff	h3place	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
4	hasOSMTag	primary	osmtag	891e3491cc7ffff	h3place	False	1.0		Transport_NEG_aeroway around (Stollberg) radius=15.0
5	hasOSMTag	primary	osmtag	891e349a58fffff	h3place	False	1.0		Transport_NEG_aeroway around (Stollberg) radius=15.0
6	hasOSMTag	primary	osmtag	891e349159bffff	h3place	False	1.0		Transport_NEG_aeroway around (Stollberg) radius=15.0
7	located_on_h3_cell	891f1a659abffff	h3place	https://www.openstreetmap.org/way/222563326	osmplace	False		6.0	Environment_NEG_geological around (Stollberg) radius=15.0
8	hasOSMTag	primary	osmtag	891f1a642c7ffff	h3place	False	2.0		Transport_NEG_aeroway around (Stollberg) radius=15.0
9	hasOSMTag	primary	osmtag	891e3490627ffff	h3place	False	1.0		Transport_NEG_aeroway around (Stollberg) radius=15.0
10	located_on_h3_cell	891f1a65433ffff	h3place	https://www.openstreetmap.org/way/355448326	osmplace	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
11	hasOSMTag	primary	osmtag	891e349a553ffff	h3place	False	1.0		Transport_NEG_aeroway around (Stollberg) radius=15.0
12	hasOSMTag	primary	osmtag	891e349ad33ffff	h3place	False	1.0		Transport_NEG_aeroway around (Stollberg) radius=15.0
13	located_on_h3_cell	891e3491c57ffff	h3place	https://www.openstreetmap.org/way/234022458	osmplace	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
14	hasOSMTag	primary	osmtag	891e3490607ffff	h3place	False	1.0		Transport_NEG_aeroway around (Stollberg) radius=15.0
15	located_on_h3_cell	891e3491c57ffff	h3place	https://www.openstreetmap.org/way/215655221	osmplace	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
16	hasOSMTag	primary	osmtag	891e349a8c3ffff	h3place	False	1.0		Transport_NEG_aeroway around (Stollberg) radius=15.0
17	located_on_h3_cell	891f1a6e5d3ffff	h3place	https://www.openstreetmap.org/way/362244311	osmplace	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
18	located_on_h3_cell	https://www.openstreetmap.org/way/927589282	osmplace	891e3493623ffff	h3place	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
19	located_on_h3_cell	891f1a65533ffff	h3place	https://www.openstreetmap.org/way/359528968	osmplace	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
20	hasOSMTag	primary	osmtag	891f1a64023ffff	h3place	False	3.0		Transport_NEG_aeroway around (Stollberg) radius=15.0
