index	e_type	Source	from_type	Target	to_type	directed	attributes.tagCount	attributes.res	attributes.layer_id
0	located_on_h3_cell	https://www.openstreetmap.org/node/1139733965	osmplace	891e3490233ffff	h3place	False		6.0	Services_POS_amenity around (Stollberg) radius=15.0
1	located_on_h3_cell	https://www.openstreetmap.org/way/313207830	osmplace	891f1a66a67ffff	h3place	False		6.0	Leisure_POS_amenity around (Stollberg) radius=15.0
2	located_on_h3_cell	https://www.openstreetmap.org/way/337074833	osmplace	891e3491867ffff	h3place	False		6.0	Leisure_POS_amenity around (Stollberg) radius=15.0
3	located_on_h3_cell	https://www.openstreetmap.org/way/248927138	osmplace	891e349118bffff	h3place	False		6.0	Leisure_POS_amenity around (Stollberg) radius=15.0
4	located_on_h3_cell	https://www.openstreetmap.org/way/319913535	osmplace	891e349346fffff	h3place	False		6.0	Transport_POS_amenity around (Stollberg) radius=15.0
5	located_on_h3_cell	https://www.openstreetmap.org/node/8718883568	osmplace	891f1a66d47ffff	h3place	False		6.0	Leisure_POS_amenity around (Stollberg) radius=15.0
6	located_on_h3_cell	https://www.openstreetmap.org/way/945216435	osmplace	891e3490647ffff	h3place	False		6.0	Leisure_POS_amenity around (Stollberg) radius=15.0
7	located_on_h3_cell	891f1a6450fffff	h3place	https://www.openstreetmap.org/node/8780408012	osmplace	False		6.0	Lifestyle_POS_amenity around (Stollberg) radius=15.0
8	located_on_h3_cell	https://www.openstreetmap.org/relation/9622444	osmplace	891f1a66bcbffff	h3place	False		6.0	Transport_POS_amenity around (Stollberg) radius=15.0
9	hasOSMTag	stop_area	osmtag	891e349188fffff	h3place	False	1.0		Transport_POS_amenity around (Stollberg) radius=15.0
10	located_on_h3_cell	https://www.openstreetmap.org/node/277071802	osmplace	891f1a6581bffff	h3place	False		6.0	Transport_POS_amenity around (Stollberg) radius=15.0
11	located_on_h3_cell	https://www.openstreetmap.org/way/263819175	osmplace	891e349a8d3ffff	h3place	False		6.0	Leisure_POS_amenity around (Stollberg) radius=15.0
12	located_on_h3_cell	https://www.openstreetmap.org/way/211522537	osmplace	891f1a66a33ffff	h3place	False		6.0	Leisure_POS_amenity around (Stollberg) radius=15.0
13	located_on_h3_cell	https://www.openstreetmap.org/relation/9479383	osmplace	891e3491ab3ffff	h3place	False		6.0	Transport_POS_amenity around (Stollberg) radius=15.0
14	located_on_h3_cell	https://www.openstreetmap.org/way/211450933	osmplace	891f1a66bdbffff	h3place	False		6.0	Leisure_POS_amenity around (Stollberg) radius=15.0
15	hasOSMTag	891f1a6e533ffff	h3place	ruins	osmtag	False	1.0		Leisure_POS_amenity around (Stollberg) radius=15.0
16	located_on_h3_cell	https://www.openstreetmap.org/way/218409459	osmplace	891f1a66e9bffff	h3place	False		6.0	Leisure_POS_amenity around (Stollberg) radius=15.0
17	located_on_h3_cell	https://www.openstreetmap.org/way/209982089	osmplace	891e34936bbffff	h3place	False		6.0	Leisure_POS_amenity around (Stollberg) radius=15.0
18	located_on_h3_cell	https://www.openstreetmap.org/way/908467461	osmplace	891e3491803ffff	h3place	False		6.0	Leisure_POS_amenity around (Stollberg) radius=15.0
19	located_on_h3_cell	https://www.openstreetmap.org/relation/9610869	osmplace	891e3490653ffff	h3place	False		6.0	Transport_POS_amenity around (Stollberg) radius=15.0
20	located_on_h3_cell	https://www.openstreetmap.org/relation/3957207	osmplace	891f1a6488fffff	h3place	False		6.0	Transport_POS_amenity around (Stollberg) radius=15.0
21	located_on_h3_cell	https://www.openstreetmap.org/relation/3654963	osmplace	891e348320bffff	h3place	False		6.0	Leisure_POS_amenity around (Stollberg) radius=15.0
22	located_on_h3_cell	891f1a65987ffff	h3place	https://www.openstreetmap.org/node/1219541948	osmplace	False		6.0	Transport_POS_amenity around (Stollberg) radius=15.0
23	located_on_h3_cell	891e349a5cfffff	h3place	https://www.openstreetmap.org/node/1222154837	osmplace	False		6.0	Transport_POS_amenity around (Stollberg) radius=15.0
24	located_on_h3_cell	https://www.openstreetmap.org/node/648460137	osmplace	891f1a66a47ffff	h3place	False		6.0	Services_POS_amenity around (Stollberg) radius=15.0
25	located_on_h3_cell	https://www.openstreetmap.org/way/356982326	osmplace	891f1a66a4bffff	h3place	False		6.0	Leisure_POS_amenity around (Stollberg) radius=15.0
26	located_on_h3_cell	https://www.openstreetmap.org/way/217711766	osmplace	891f1a66c43ffff	h3place	False		6.0	Leisure_POS_amenity around (Stollberg) radius=15.0
27	located_on_h3_cell	https://www.openstreetmap.org/way/574864039	osmplace	891f1a650afffff	h3place	False		6.0	Transport_POS_amenity around (Stollberg) radius=15.0
28	hasOSMTag	891e348320bffff	h3place	soccer	osmtag	False	1.0		Leisure_POS_amenity around (Stollberg) radius=15.0
29	located_on_h3_cell	https://www.openstreetmap.org/way/217711768	osmplace	891f1a66c53ffff	h3place	False		6.0	Leisure_POS_amenity around (Stollberg) radius=15.0
30	located_on_h3_cell	https://www.openstreetmap.org/way/313221389	osmplace	891f1a65583ffff	h3place	False		6.0	Leisure_POS_amenity around (Stollberg) radius=15.0
31	located_on_h3_cell	https://www.openstreetmap.org/way/313239304	osmplace	891f1a6463bffff	h3place	False		6.0	Leisure_POS_amenity around (Stollberg) radius=15.0
32	located_on_h3_cell	https://www.openstreetmap.org/way/353491059	osmplace	891f1a65ea7ffff	h3place	False		6.0	Leisure_POS_amenity around (Stollberg) radius=15.0
33	located_on_h3_cell	891f1a64d8fffff	h3place	https://www.openstreetmap.org/relation/10410166	osmplace	False		6.0	Transport_POS_amenity around (Stollberg) radius=15.0
34	located_on_h3_cell	891f1a6550fffff	h3place	https://www.openstreetmap.org/way/212275315	osmplace	False		6.0	Leisure_POS_amenity around (Stollberg) radius=15.0
35	located_on_h3_cell	https://www.openstreetmap.org/way/352599322	osmplace	891f1a6454fffff	h3place	False		6.0	Leisure_POS_amenity around (Stollberg) radius=15.0
36	located_on_h3_cell	https://www.openstreetmap.org/way/218058955	osmplace	891f1a659b7ffff	h3place	False		6.0	Leisure_POS_amenity around (Stollberg) radius=15.0
37	located_on_h3_cell	https://www.openstreetmap.org/relation/10340654	osmplace	891f1a6e06bffff	h3place	False		6.0	Transport_POS_amenity around (Stollberg) radius=15.0
38	located_on_h3_cell	891e3493387ffff	h3place	https://www.openstreetmap.org/node/4467455591	osmplace	False		6.0	Transport_POS_amenity around (Stollberg) radius=15.0
39	located_on_h3_cell	https://www.openstreetmap.org/relation/10055923	osmplace	891f1a6450bffff	h3place	False		6.0	Transport_POS_amenity around (Stollberg) radius=15.0
40	located_on_h3_cell	https://www.openstreetmap.org/relation/9463186	osmplace	891e3493397ffff	h3place	False		6.0	Transport_POS_amenity around (Stollberg) radius=15.0
41	located_on_h3_cell	https://www.openstreetmap.org/way/311930667	osmplace	891f1a646c3ffff	h3place	False		6.0	Leisure_POS_amenity around (Stollberg) radius=15.0
