index	e_type	Source	from_type	Target	to_type	directed	attributes.res	attributes.layer_id	attributes.tagCount
0	hasOSMTag	891f038744bffff	h3place	industrial	osmtag	False		Environment_NEG_geological around (Stralsund) radius=15.0	1.0
1	located_on_h3_cell	891f0148217ffff	h3place	https://www.openstreetmap.org/way/605726652	osmplace	False	6.0	Environment_NEG_geological around (Stralsund) radius=15.0	
2	located_on_h3_cell	891f03b2a73ffff	h3place	https://www.openstreetmap.org/way/666033980	osmplace	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
3	located_on_h3_cell	891f0386a3bffff	h3place	https://www.openstreetmap.org/way/393346691	osmplace	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
4	located_on_h3_cell	891f0386b33ffff	h3place	https://www.openstreetmap.org/way/439458114	osmplace	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
5	located_on_h3_cell	https://www.openstreetmap.org/way/439462771	osmplace	891f03b36dbffff	h3place	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
6	hasOSMTag	891f03b0ccfffff	h3place	primary	osmtag	False		Transport_NEG_aeroway around (Stralsund) radius=15.0	1.0
7	hasOSMTag	891f03b0037ffff	h3place	primary	osmtag	False		Transport_NEG_aeroway around (Stralsund) radius=15.0	2.0
8	located_on_h3_cell	891f03869afffff	h3place	https://www.openstreetmap.org/way/439463822	osmplace	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
9	located_on_h3_cell	https://www.openstreetmap.org/way/666033980	osmplace	891f03b2a73ffff	h3place	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
10	located_on_h3_cell	https://www.openstreetmap.org/way/457753723	osmplace	891f03b0003ffff	h3place	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
11	located_on_h3_cell	891f03b011bffff	h3place	https://www.openstreetmap.org/way/639120768	osmplace	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
12	located_on_h3_cell	https://www.openstreetmap.org/way/383572855	osmplace	891f03b3363ffff	h3place	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
13	located_on_h3_cell	891f03b0157ffff	h3place	https://www.openstreetmap.org/way/639120769	osmplace	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
14	located_on_h3_cell	https://www.openstreetmap.org/way/439462773	osmplace	891f0386bafffff	h3place	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
15	located_on_h3_cell	https://www.openstreetmap.org/way/701712931	osmplace	891f03bb17bffff	h3place	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
16	located_on_h3_cell	https://www.openstreetmap.org/way/312929958	osmplace	891f0384847ffff	h3place	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
17	located_on_h3_cell	891f0386e67ffff	h3place	https://www.openstreetmap.org/way/312919468	osmplace	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
18	located_on_h3_cell	https://www.openstreetmap.org/way/667011336	osmplace	891f03b337bffff	h3place	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
19	located_on_h3_cell	https://www.openstreetmap.org/way/439462768	osmplace	891f0386977ffff	h3place	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
20	hasOSMTag	891f03b2a73ffff	h3place	trunk	osmtag	False		Transport_NEG_aeroway around (Stralsund) radius=15.0	1.0
21	located_on_h3_cell	891f03b0ccfffff	h3place	https://www.openstreetmap.org/way/315549634	osmplace	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
22	located_on_h3_cell	https://www.openstreetmap.org/way/258916731	osmplace	891f038499bffff	h3place	False	6.0	Environment_NEG_geological around (Stralsund) radius=15.0	
23	hasOSMTag	89754e64993ffff	h3place	1	osmtag	False		Services_NEG_amenity around (Stralsund) radius=15.0	1.0
24	located_on_h3_cell	https://www.openstreetmap.org/way/439464275	osmplace	891f0149abbffff	h3place	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
25	hasOSMTag	891f03b2a6fffff	h3place	trunk	osmtag	False		Transport_NEG_aeroway around (Stralsund) radius=15.0	1.0
26	located_on_h3_cell	-	osmplace	89754e64993ffff	h3place	False	6.0	Services_NEG_amenity around (Stralsund) radius=15.0	
27	located_on_h3_cell	https://www.openstreetmap.org/way/308988458	osmplace	891f03b14b7ffff	h3place	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
28	located_on_h3_cell	891f03b2a6fffff	h3place	https://www.openstreetmap.org/way/666033981	osmplace	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
29	located_on_h3_cell	891f03865afffff	h3place	https://www.openstreetmap.org/way/312919448	osmplace	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
30	located_on_h3_cell	https://www.openstreetmap.org/way/318120168	osmplace	891f0149dc3ffff	h3place	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
31	hasOSMTag	891f0386ec7ffff	h3place	fast_food	osmtag	False		Lifestyle_NEG_shop around (Stralsund) radius=15.0	1.0
32	hasOSMTag	891f03b0157ffff	h3place	primary	osmtag	False		Transport_NEG_aeroway around (Stralsund) radius=15.0	1.0
33	located_on_h3_cell	https://www.openstreetmap.org/way/273640767	osmplace	891f0148033ffff	h3place	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
34	located_on_h3_cell	891f03b001bffff	h3place	https://www.openstreetmap.org/way/457746173	osmplace	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
35	hasOSMTag	quarry	osmtag	891f014d66fffff	h3place	False		Environment_NEG_geological around (Stralsund) radius=15.0	1.0
36	hasOSMTag	891f03b1373ffff	h3place	industrial	osmtag	False		Environment_NEG_geological around (Stralsund) radius=15.0	1.0
37	hasOSMTag	891f0386a3bffff	h3place	primary	osmtag	False		Transport_NEG_aeroway around (Stralsund) radius=15.0	1.0
38	located_on_h3_cell	891f0386b33ffff	h3place	https://www.openstreetmap.org/way/429210273	osmplace	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
39	located_on_h3_cell	891f03b01cbffff	h3place	https://www.openstreetmap.org/way/639120773	osmplace	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
40	located_on_h3_cell	891f03b337bffff	h3place	https://www.openstreetmap.org/way/667011344	osmplace	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
41	located_on_h3_cell	891f0149a7bffff	h3place	https://www.openstreetmap.org/way/439464123	osmplace	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
42	located_on_h3_cell	89754e64993ffff	h3place	-	osmplace	False	6.0	Services_NEG_amenity around (Stralsund) radius=15.0	
43	located_on_h3_cell	891f0149a63ffff	h3place	https://www.openstreetmap.org/way/439464122	osmplace	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
44	hasOSMTag	891f0386bafffff	h3place	trunk	osmtag	False		Transport_NEG_aeroway around (Stralsund) radius=15.0	1.0
45	located_on_h3_cell	891f03b001bffff	h3place	https://www.openstreetmap.org/way/363888400	osmplace	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
46	located_on_h3_cell	https://www.openstreetmap.org/way/312929962	osmplace	891f03ba2a7ffff	h3place	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
47	located_on_h3_cell	891f0386977ffff	h3place	https://www.openstreetmap.org/way/439462763	osmplace	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
48	hasOSMTag	891f03b011bffff	h3place	primary	osmtag	False		Transport_NEG_aeroway around (Stralsund) radius=15.0	1.0
49	located_on_h3_cell	https://www.openstreetmap.org/way/226040782	osmplace	891f03ba3dbffff	h3place	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
50	hasOSMTag	891f0148217ffff	h3place	industrial	osmtag	False		Environment_NEG_geological around (Stralsund) radius=15.0	1.0
51	located_on_h3_cell	891f03b148fffff	h3place	https://www.openstreetmap.org/way/565281455	osmplace	False	6.0	Environment_NEG_geological around (Stralsund) radius=15.0	
52	hasOSMTag	891f03b337bffff	h3place	primary	osmtag	False		Transport_NEG_aeroway around (Stralsund) radius=15.0	4.0
53	located_on_h3_cell	https://www.openstreetmap.org/way/312919454	osmplace	891f0386173ffff	h3place	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
54	located_on_h3_cell	891f0386977ffff	h3place	https://www.openstreetmap.org/way/439462768	osmplace	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
55	located_on_h3_cell	https://www.openstreetmap.org/way/439464281	osmplace	891f0149a07ffff	h3place	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
56	located_on_h3_cell	https://www.openstreetmap.org/way/318120165	osmplace	891f0149dc3ffff	h3place	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
57	hasOSMTag	891f0386b33ffff	h3place	trunk	osmtag	False		Transport_NEG_aeroway around (Stralsund) radius=15.0	2.0
58	located_on_h3_cell	891f03b337bffff	h3place	https://www.openstreetmap.org/way/667011348	osmplace	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
59	located_on_h3_cell	891f038618fffff	h3place	https://www.openstreetmap.org/way/424621715	osmplace	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
60	located_on_h3_cell	https://www.openstreetmap.org/way/371412655	osmplace	891f0386e77ffff	h3place	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
61	hasOSMTag	891f0386113ffff	h3place	primary	osmtag	False		Transport_NEG_aeroway around (Stralsund) radius=15.0	1.0
62	hasOSMTag	891f038618fffff	h3place	primary	osmtag	False		Transport_NEG_aeroway around (Stralsund) radius=15.0	1.0
63	located_on_h3_cell	891f03b001bffff	h3place	https://www.openstreetmap.org/way/457746454	osmplace	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
64	located_on_h3_cell	891f0386bafffff	h3place	https://www.openstreetmap.org/way/439462773	osmplace	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
65	located_on_h3_cell	https://www.openstreetmap.org/way/312919461	osmplace	891f0386e9bffff	h3place	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
66	located_on_h3_cell	https://www.openstreetmap.org/way/439464116	osmplace	891f0149a73ffff	h3place	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
67	located_on_h3_cell	891f0386977ffff	h3place	https://www.openstreetmap.org/way/439462762	osmplace	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
68	located_on_h3_cell	https://www.openstreetmap.org/way/318120161	osmplace	891f0149dd7ffff	h3place	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
69	located_on_h3_cell	https://www.openstreetmap.org/way/312919472	osmplace	891f0386a8bffff	h3place	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
70	located_on_h3_cell	https://www.openstreetmap.org/way/667016250	osmplace	891f0386a17ffff	h3place	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
71	located_on_h3_cell	https://www.openstreetmap.org/way/439464122	osmplace	891f0149a63ffff	h3place	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
72	located_on_h3_cell	891f03b36dbffff	h3place	https://www.openstreetmap.org/way/439462765	osmplace	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
73	located_on_h3_cell	https://www.openstreetmap.org/way/312919455	osmplace	891f0386167ffff	h3place	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
74	located_on_h3_cell	https://www.openstreetmap.org/way/823184536	osmplace	891f03b1373ffff	h3place	False	6.0	Environment_NEG_geological around (Stralsund) radius=15.0	
75	located_on_h3_cell	https://www.openstreetmap.org/way/439463825	osmplace	891f03869a7ffff	h3place	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
76	located_on_h3_cell	891f03869afffff	h3place	https://www.openstreetmap.org/way/439463824	osmplace	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
77	hasOSMTag	891f0384c83ffff	h3place	primary	osmtag	False		Transport_NEG_aeroway around (Stralsund) radius=15.0	1.0
78	located_on_h3_cell	https://www.openstreetmap.org/way/457751292	osmplace	891f03b060bffff	h3place	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
79	hasOSMTag	891f0384c3bffff	h3place	primary	osmtag	False		Transport_NEG_aeroway around (Stralsund) radius=15.0	1.0
80	located_on_h3_cell	891f03b36dbffff	h3place	https://www.openstreetmap.org/way/439462771	osmplace	False	6.0	Transport_NEG_aeroway around (Stralsund) radius=15.0	
