index	e_type	Source	from_type	Target	to_type	directed	attributes.res	attributes.layer_id	attributes.tagCount
0	hasOSMTag	platform	osmtag	891f03b0603ffff	h3place	False		Transport_POS_amenity around (Stralsund) radius=15.0	1.0
1	hasOSMTag	platform	osmtag	891f014d677ffff	h3place	False		Transport_POS_amenity around (Stralsund) radius=15.0	1.0
2	hasOSMTag	platform	osmtag	891f0386a93ffff	h3place	False		Transport_POS_amenity around (Stralsund) radius=15.0	1.0
3	located_on_h3_cell	891f038683bffff	h3place	https://www.openstreetmap.org/way/242147390	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
4	located_on_h3_cell	https://www.openstreetmap.org/way/242406824	osmplace	891f038680fffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
5	located_on_h3_cell	891f038683bffff	h3place	https://www.openstreetmap.org/way/242403960	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
6	hasOSMTag	platform	osmtag	891f0386a9bffff	h3place	False		Transport_POS_amenity around (Stralsund) radius=15.0	1.0
7	located_on_h3_cell	https://www.openstreetmap.org/way/383816795	osmplace	891f0386397ffff	h3place	False	6.0	Services_POS_amenity around (Stralsund) radius=15.0	
8	located_on_h3_cell	891f038680fffff	h3place	https://www.openstreetmap.org/way/694207226	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
9	located_on_h3_cell	https://www.openstreetmap.org/way/242147374	osmplace	891f038683bffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
10	located_on_h3_cell	891f038683bffff	h3place	https://www.openstreetmap.org/way/242147371	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
11	located_on_h3_cell	https://www.openstreetmap.org/way/303347839	osmplace	891f0386323ffff	h3place	False	6.0	Services_POS_amenity around (Stralsund) radius=15.0	
12	located_on_h3_cell	891f03959b7ffff	h3place	https://www.openstreetmap.org/way/484908834	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
13	hasOSMTag	platform	osmtag	891f03b011bffff	h3place	False		Transport_POS_amenity around (Stralsund) radius=15.0	1.0
14	located_on_h3_cell	https://www.openstreetmap.org/way/365119343	osmplace	891f03b3387ffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
15	located_on_h3_cell	https://www.openstreetmap.org/way/477175775	osmplace	891f03b268bffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
16	located_on_h3_cell	https://www.openstreetmap.org/way/242147385	osmplace	891f038683bffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
17	hasOSMTag	891f038680fffff	h3place	golf	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
18	located_on_h3_cell	891f038683bffff	h3place	https://www.openstreetmap.org/way/242147374	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
19	located_on_h3_cell	891f038493bffff	h3place	https://www.openstreetmap.org/way/379722021	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
20	hasOSMTag	platform	osmtag	891f0386397ffff	h3place	False		Transport_POS_amenity around (Stralsund) radius=15.0	1.0
21	hasOSMTag	platform	osmtag	891f014d293ffff	h3place	False		Transport_POS_amenity around (Stralsund) radius=15.0	2.0
22	located_on_h3_cell	891f0386803ffff	h3place	https://www.openstreetmap.org/way/242375933	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
23	located_on_h3_cell	https://www.openstreetmap.org/way/378162527	osmplace	891f03baba3ffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
24	hasOSMTag	891f0148b0bffff	h3place	stop_area	osmtag	False		Transport_POS_amenity around (Stralsund) radius=15.0	1.0
25	hasOSMTag	platform	osmtag	891f014d20bffff	h3place	False		Transport_POS_amenity around (Stralsund) radius=15.0	2.0
26	located_on_h3_cell	https://www.openstreetmap.org/node/333322476	osmplace	891f014d20bffff	h3place	False	6.0	Transport_POS_amenity around (Stralsund) radius=15.0	
27	located_on_h3_cell	https://www.openstreetmap.org/way/449660797	osmplace	891f03b1147ffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
28	located_on_h3_cell	https://www.openstreetmap.org/way/242147387	osmplace	891f038683bffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
