index	e_type	Source	from_type	Target	to_type	directed	attributes.res	attributes.layer_id	attributes.tagCount
0	hasOSMTag	sports_centre	osmtag	891f02bac47ffff	h3place	False		Leisure_POS_amenity around (Wismar) radius=15.0	1.0
1	hasOSMTag	891f02aa46fffff	h3place	multi	osmtag	False		Leisure_POS_amenity around (Wismar) radius=15.0	1.0
2	hasOSMTag	sports_centre	osmtag	891f02aa0d7ffff	h3place	False		Leisure_POS_amenity around (Wismar) radius=15.0	1.0
3	hasOSMTag	sports_centre	osmtag	891f02b2e43ffff	h3place	False		Leisure_POS_amenity around (Wismar) radius=15.0	1.0
4	hasOSMTag	sports_centre	osmtag	891f0049b27ffff	h3place	False		Leisure_POS_amenity around (Wismar) radius=15.0	1.0
5	located_on_h3_cell	891f02b80c7ffff	h3place	https://www.openstreetmap.org/way/882036718	osmplace	False	6.0	Transport_POS_amenity around (Wismar) radius=15.0	
6	hasOSMTag	garden	osmtag	891f02ba207ffff	h3place	False		Leisure_POS_amenity around (Wismar) radius=15.0	1.0
7	hasOSMTag	garden	osmtag	891f02b021bffff	h3place	False		Leisure_POS_amenity around (Wismar) radius=15.0	1.0
8	hasOSMTag	kindergarten	osmtag	891f02b3593ffff	h3place	False		Services_POS_amenity around (Wismar) radius=15.0	1.0
9	hasOSMTag	slipway	osmtag	891f02b358fffff	h3place	False		Leisure_POS_amenity around (Wismar) radius=15.0	1.0
10	hasOSMTag	slipway	osmtag	891f02aa08bffff	h3place	False		Leisure_POS_amenity around (Wismar) radius=15.0	1.0
11	located_on_h3_cell	https://www.openstreetmap.org/way/666249905	osmplace	891f02a205bffff	h3place	False	6.0	Leisure_POS_amenity around (Wismar) radius=15.0	
12	located_on_h3_cell	https://www.openstreetmap.org/way/402374981	osmplace	891f02b8a0bffff	h3place	False	6.0	Transport_POS_amenity around (Wismar) radius=15.0	
13	located_on_h3_cell	https://www.openstreetmap.org/way/365539368	osmplace	891f02b058fffff	h3place	False	6.0	Leisure_POS_amenity around (Wismar) radius=15.0	
14	hasOSMTag	891f02a3107ffff	h3place	stop_area	osmtag	False		Transport_POS_amenity around (Wismar) radius=15.0	1.0
15	located_on_h3_cell	891f02baa7bffff	h3place	https://www.openstreetmap.org/way/880810231	osmplace	False	6.0	Transport_POS_amenity around (Wismar) radius=15.0	
16	located_on_h3_cell	https://www.openstreetmap.org/way/880986375	osmplace	891f02b9dcfffff	h3place	False	6.0	Transport_POS_amenity around (Wismar) radius=15.0	
17	hasOSMTag	sports_centre	osmtag	891f02b8cdbffff	h3place	False		Leisure_POS_amenity around (Wismar) radius=15.0	1.0
18	located_on_h3_cell	https://www.openstreetmap.org/way/329624403	osmplace	891f02bac4fffff	h3place	False	6.0	Leisure_POS_amenity around (Wismar) radius=15.0	
19	located_on_h3_cell	https://www.openstreetmap.org/way/551166629	osmplace	891f02aaccbffff	h3place	False	6.0	Leisure_POS_amenity around (Wismar) radius=15.0	
20	hasOSMTag	891f02b3507ffff	h3place	stop_area	osmtag	False		Transport_POS_amenity around (Wismar) radius=15.0	1.0
21	located_on_h3_cell	https://www.openstreetmap.org/way/340450372	osmplace	891f0285db7ffff	h3place	False	6.0	Lifestyle_POS_amenity around (Wismar) radius=15.0	
22	located_on_h3_cell	https://www.openstreetmap.org/relation/11976313	osmplace	891f02bac37ffff	h3place	False	6.0	Transport_POS_amenity around (Wismar) radius=15.0	
23	located_on_h3_cell	https://www.openstreetmap.org/node/8638880189	osmplace	891f02aa617ffff	h3place	False	6.0	Transport_POS_amenity around (Wismar) radius=15.0	
24	located_on_h3_cell	891f02a02bbffff	h3place	https://www.openstreetmap.org/way/880685171	osmplace	False	6.0	Transport_POS_amenity around (Wismar) radius=15.0	
