index	e_type	Source	from_type	Target	to_type	directed	attributes.res	attributes.layer_id	attributes.tagCount
0	hasOSMTag	891f1a656abffff	h3place	primary	osmtag	False		Transport_NEG_aeroway around (Zwickau) radius=15.0	3.0
1	hasOSMTag	891f1a61d0fffff	h3place	depot	osmtag	False		Environment_NEG_geological around (Zwickau) radius=15.0	1.0
2	hasOSMTag	891f1a61d13ffff	h3place	industrial	osmtag	False		Environment_NEG_geological around (Zwickau) radius=15.0	1.0
3	located_on_h3_cell	891f1a61d13ffff	h3place	https://www.openstreetmap.org/way/355961101	osmplace	False	6.0	Environment_NEG_geological around (Zwickau) radius=15.0	
4	located_on_h3_cell	891f1a6033bffff	h3place	https://www.openstreetmap.org/way/368594930	osmplace	False	6.0	Environment_NEG_geological around (Zwickau) radius=15.0	
5	located_on_h3_cell	891f1a6ae6fffff	h3place	https://www.openstreetmap.org/way/324230666	osmplace	False	6.0	Transport_NEG_aeroway around (Zwickau) radius=15.0	
6	located_on_h3_cell	891f1a6c6a3ffff	h3place	https://www.openstreetmap.org/way/612353234	osmplace	False	6.0	Transport_NEG_aeroway around (Zwickau) radius=15.0	
7	located_on_h3_cell	891f1a62873ffff	h3place	https://www.openstreetmap.org/way/314474952	osmplace	False	6.0	Environment_NEG_geological around (Zwickau) radius=15.0	
8	located_on_h3_cell	891f1a6e41bffff	h3place	https://www.openstreetmap.org/way/362244331	osmplace	False	6.0	Transport_NEG_aeroway around (Zwickau) radius=15.0	
9	located_on_h3_cell	891f1a60593ffff	h3place	https://www.openstreetmap.org/way/813470711	osmplace	False	6.0	Transport_NEG_aeroway around (Zwickau) radius=15.0	
10	hasOSMTag	891f1a6281bffff	h3place	industrial	osmtag	False		Environment_NEG_geological around (Zwickau) radius=15.0	1.0
11	hasOSMTag	891f1a621d7ffff	h3place	trunk	osmtag	False		Transport_NEG_aeroway around (Zwickau) radius=15.0	1.0
12	located_on_h3_cell	891f1a6193bffff	h3place	https://www.openstreetmap.org/way/356271231	osmplace	False	6.0	Environment_NEG_geological around (Zwickau) radius=15.0	
13	hasOSMTag	891f1a6ada3ffff	h3place	trunk	osmtag	False		Transport_NEG_aeroway around (Zwickau) radius=15.0	1.0
14	hasOSMTag	891f1a60527ffff	h3place	trunk	osmtag	False		Transport_NEG_aeroway around (Zwickau) radius=15.0	2.0
15	located_on_h3_cell	891f1a62d3bffff	h3place	https://www.openstreetmap.org/way/111530386	osmplace	False	6.0	Lifestyle_NEG_shop around (Zwickau) radius=15.0	
16	hasOSMTag	891f1a680b7ffff	h3place	primary	osmtag	False		Transport_NEG_aeroway around (Zwickau) radius=15.0	1.0
17	hasOSMTag	891f1a62d3bffff	h3place	fast_food	osmtag	False		Lifestyle_NEG_shop around (Zwickau) radius=15.0	1.0
18	hasOSMTag	891f1a6e037ffff	h3place	primary	osmtag	False		Transport_NEG_aeroway around (Zwickau) radius=15.0	1.0
19	hasOSMTag	891f1a60127ffff	h3place	trunk	osmtag	False		Transport_NEG_aeroway around (Zwickau) radius=15.0	2.0
20	located_on_h3_cell	891f1a65507ffff	h3place	https://www.openstreetmap.org/way/359528966	osmplace	False	6.0	Transport_NEG_aeroway around (Zwickau) radius=15.0	
21	located_on_h3_cell	891f1a6eed3ffff	h3place	https://www.openstreetmap.org/way/813388661	osmplace	False	6.0	Transport_NEG_aeroway around (Zwickau) radius=15.0	
22	hasOSMTag	891f1a6f69bffff	h3place	industrial	osmtag	False		Environment_NEG_geological around (Zwickau) radius=15.0	1.0
23	located_on_h3_cell	891f1a65507ffff	h3place	https://www.openstreetmap.org/way/359528967	osmplace	False	6.0	Transport_NEG_aeroway around (Zwickau) radius=15.0	
24	located_on_h3_cell	891f1a6c253ffff	h3place	https://www.openstreetmap.org/way/665072127	osmplace	False	6.0	Environment_NEG_geological around (Zwickau) radius=15.0	
25	hasOSMTag	891f1a65507ffff	h3place	primary	osmtag	False		Transport_NEG_aeroway around (Zwickau) radius=15.0	3.0
26	located_on_h3_cell	891f1a6f19bffff	h3place	https://www.openstreetmap.org/way/235623693	osmplace	False	6.0	Environment_NEG_geological around (Zwickau) radius=15.0	
27	located_on_h3_cell	891f1a642c3ffff	h3place	https://www.openstreetmap.org/way/418307232	osmplace	False	6.0	Transport_NEG_aeroway around (Zwickau) radius=15.0	
28	hasOSMTag	891f1a62583ffff	h3place	trunk	osmtag	False		Transport_NEG_aeroway around (Zwickau) radius=15.0	2.0
29	located_on_h3_cell	891f1a61983ffff	h3place	https://www.openstreetmap.org/way/9970276	osmplace	False	6.0	Transport_NEG_aeroway around (Zwickau) radius=15.0	
30	located_on_h3_cell	891f1a6c04bffff	h3place	https://www.openstreetmap.org/way/320966700	osmplace	False	6.0	Transport_NEG_aeroway around (Zwickau) radius=15.0	
31	located_on_h3_cell	891f1a621d7ffff	h3place	https://www.openstreetmap.org/way/317210380	osmplace	False	6.0	Transport_NEG_aeroway around (Zwickau) radius=15.0	
32	hasOSMTag	891f1a6c04bffff	h3place	primary	osmtag	False		Transport_NEG_aeroway around (Zwickau) radius=15.0	3.0
33	located_on_h3_cell	891f1a6e327ffff	h3place	https://www.openstreetmap.org/way/810567646	osmplace	False	6.0	Transport_NEG_aeroway around (Zwickau) radius=15.0	
34	located_on_h3_cell	891f1a65533ffff	h3place	https://www.openstreetmap.org/way/212710088	osmplace	False	6.0	Transport_NEG_aeroway around (Zwickau) radius=15.0	
35	located_on_h3_cell	https://www.openstreetmap.org/way/235810507	osmplace	891f1a60327ffff	h3place	False	6.0	Environment_NEG_geological around (Zwickau) radius=15.0	
36	located_on_h3_cell	891f1a62ebbffff	h3place	https://www.openstreetmap.org/way/953821650	osmplace	False	6.0	Environment_NEG_geological around (Zwickau) radius=15.0	
37	located_on_h3_cell	891f1a62453ffff	h3place	https://www.openstreetmap.org/way/660875374	osmplace	False	6.0	Environment_NEG_geological around (Zwickau) radius=15.0	
38	located_on_h3_cell	891f1a6184bffff	h3place	https://www.openstreetmap.org/way/353507430	osmplace	False	6.0	Transport_NEG_aeroway around (Zwickau) radius=15.0	
39	located_on_h3_cell	https://www.openstreetmap.org/way/313994071	osmplace	891f1a6f18fffff	h3place	False	6.0	Environment_NEG_geological around (Zwickau) radius=15.0	
40	located_on_h3_cell	891f1a6e377ffff	h3place	https://www.openstreetmap.org/way/239625981	osmplace	False	6.0	Transport_NEG_aeroway around (Zwickau) radius=15.0	
41	located_on_h3_cell	891f1a60ac7ffff	h3place	https://www.openstreetmap.org/way/484782517	osmplace	False	6.0	Environment_NEG_geological around (Zwickau) radius=15.0	
42	hasOSMTag	891f1a6f19bffff	h3place	primary	osmtag	False		Transport_NEG_aeroway around (Zwickau) radius=15.0	1.0
43	hasOSMTag	891f1a6ad27ffff	h3place	trunk	osmtag	False		Transport_NEG_aeroway around (Zwickau) radius=15.0	3.0
44	located_on_h3_cell	891f1a61d67ffff	h3place	https://www.openstreetmap.org/way/362456923	osmplace	False	6.0	Transport_NEG_aeroway around (Zwickau) radius=15.0	
45	located_on_h3_cell	891f1a60137ffff	h3place	https://www.openstreetmap.org/way/385615749	osmplace	False	6.0	Transport_NEG_aeroway around (Zwickau) radius=15.0	
46	located_on_h3_cell	https://www.openstreetmap.org/way/798967247	osmplace	891f1a6a847ffff	h3place	False	6.0	Transport_NEG_aeroway around (Zwickau) radius=15.0	
47	hasOSMTag	891f1a6f5d7ffff	h3place	primary	osmtag	False		Transport_NEG_aeroway around (Zwickau) radius=15.0	1.0
48	located_on_h3_cell	891f1a6a8cfffff	h3place	https://www.openstreetmap.org/way/744446415	osmplace	False	6.0	Environment_NEG_geological around (Zwickau) radius=15.0	
49	located_on_h3_cell	891f1a60527ffff	h3place	https://www.openstreetmap.org/way/385615745	osmplace	False	6.0	Transport_NEG_aeroway around (Zwickau) radius=15.0	
50	located_on_h3_cell	891f1a680c3ffff	h3place	https://www.openstreetmap.org/way/949092728	osmplace	False	6.0	Transport_NEG_aeroway around (Zwickau) radius=15.0	
51	hasOSMTag	891f1a6e357ffff	h3place	primary	osmtag	False		Transport_NEG_aeroway around (Zwickau) radius=15.0	1.0
52	hasOSMTag	891f1a61837ffff	h3place	casino	osmtag	False		Services_NEG_amenity around (Zwickau) radius=15.0	1.0
53	located_on_h3_cell	891f1a65517ffff	h3place	https://www.openstreetmap.org/way/359528965	osmplace	False	6.0	Transport_NEG_aeroway around (Zwickau) radius=15.0	
54	located_on_h3_cell	891f1a6f5d7ffff	h3place	https://www.openstreetmap.org/way/429457163	osmplace	False	6.0	Environment_NEG_geological around (Zwickau) radius=15.0	
55	located_on_h3_cell	891f1a60127ffff	h3place	https://www.openstreetmap.org/way/385615747	osmplace	False	6.0	Transport_NEG_aeroway around (Zwickau) radius=15.0	
56	located_on_h3_cell	891f1a642c3ffff	h3place	https://www.openstreetmap.org/way/673949276	osmplace	False	6.0	Environment_NEG_geological around (Zwickau) radius=15.0	
57	hasOSMTag	891f1a6d3a7ffff	h3place	industrial	osmtag	False		Environment_NEG_geological around (Zwickau) radius=15.0	1.0
