index	Id	v_type	attributes.osmid	attributes.tagvalue	attributes.tagname	Lon	Lat	attributes.resolution	attributes.h3index	lat	lon
0	891f1a6dc63ffff	h3place				12.58458	50.61051	9.0		50.610508715444944	12.584579911325335
1	891f1a6d16fffff	h3place				12.55296	50.60582	9.0		50.60581548602877	12.55295974643734
2	891f1a6d383ffff	h3place				12.52848	50.60414	9.0		50.604137545102155	12.528478497195511
3	891f1a6f30fffff	h3place				12.51262	50.64611	9.0		50.64610900384473	12.512615162214654
4	891f1a6d557ffff	h3place				12.52145	50.62899	9.0		50.628988603210196	12.521453966609656
5	891f1a61953ffff	h3place				12.49193	50.71555	9.0		50.71555183233411	12.49192768744493
6	891f1a6f56fffff	h3place				12.51272	50.67397	9.0		50.67396545405306	12.512718058400079
7	891f1a6f567ffff	h3place				12.51495	50.67665	9.0		50.6766505136591	12.514954958142665
8	891f1a6281bffff	h3place				12.50875	50.80772	9.0		50.80772179708517	12.508751613682126
9	891f1a62873ffff	h3place				12.51409	50.80304	9.0		50.8030358996226	12.514088811830817
10	891f1a60147ffff	h3place				12.47783	50.76515	9.0		50.765154731988055	12.477827740156885
11	891f1a6033bffff	h3place				12.47421	50.74974	9.0		50.74973582102933	12.47421195595727
12	891f1a6186bffff	h3place				12.47051	50.70648	9.0		50.70648325804213	12.47051153024197
13	891f1a6c05bffff	h3place				12.56427	50.64712	9.0		50.64711800871001	12.564268022626687
14	891f1a6d073ffff	h3place				12.51337	50.60817	9.0		50.60816647892611	12.51336512726126
15	891f1a65abbffff	h3place				12.6988	50.71951	9.0		50.71951199684471	12.69879633960095
16	891f1a6544bffff	h3place				12.59239	50.75279	9.0		50.75278612148365	12.592388184828499
17	891f1a6e58bffff	h3place				12.5673	50.72831	9.0		50.728314077087944	12.567302897573917
18	891f1a61873ffff	h3place				12.47008	50.71151	9.0		50.71151332540268	12.470081577458041
19	891f1a6250fffff	h3place				12.44458	50.83612	9.0		50.836123876569296	12.44458204846344
20	891f1a61d23ffff	h3place				12.49778	50.73366	9.0		50.73366135606936	12.49778376244443
21	891f1a62e77ffff	h3place				12.48463	50.80101	9.0		50.80100650908969	12.484634749642971
22	891f1a603b7ffff	h3place				12.47826	50.76013	9.0		50.760128438529925	12.478257479584874
23	891f1a614b7ffff	h3place				12.37527	50.75297	9.0		50.75296715906747	12.375271703673278
24	891f1a635bbffff	h3place				12.38071	50.80389	9.0		50.803891362846535	12.380712213739452
25	891f1a6f59bffff	h3place				12.49897	50.69074	9.0		50.69073561011657	12.498970483524193
26	891f1a61d5bffff	h3place				12.47103	50.72929	9.0		50.72928520729676	12.471027867841064
27	891f1a61287ffff	h3place				12.36853	50.71709	9.0		50.717092857570435	12.368528135324716
28	891f1a6125bffff	h3place				12.35247	50.70332	9.0		50.7033192995143	12.352474852051776
29	891f1a6c59bffff	h3place				12.58624	50.679	9.0		50.678998962895385	12.586239564390532
30	891f1a6d5bbffff	h3place				12.53306	50.63738	9.0		50.63738375470023	12.53306042707149
31	891f1a6554fffff	h3place				12.63165	50.75545	9.0		50.75545292871822	12.631654886491448
32	891f1a65513ffff	h3place				12.63573	50.76584	9.0		50.76584244955713	12.635726533170551
33	891f1a635a7ffff	h3place				12.39053	50.80458	9.0		50.804577239351104	12.390525071038345
34	891f1a6a3cbffff	h3place				12.32083	50.67073	9.0		50.670729514889885	12.320830409492041
35	891f1a6058fffff	h3place				12.46319	50.79194	9.0		50.791944173123	12.46319404821729
36	891f1a68dbbffff	h3place				12.44585	50.64909	9.0		50.64909349540744	12.445852159994308
37	891f1a75ad3ffff	h3place				12.54858	50.83319	9.0		50.8331897478469	12.548575668798806
38	891f1a60e97ffff	h3place				12.50012	50.76416	9.0		50.76416476208481	12.500119892509607
39	891f1a7ab6fffff	h3place				12.29775	50.76521	9.0		50.765209753781505	12.297750822974672
40	891f1a614dbffff	h3place				12.3463	50.74588	9.0		50.74587929359284	12.346297605519144
41	891f1a613b7ffff	h3place				12.41263	50.72017	9.0		50.720173782423295	12.412633210576617
42	891f1a6121bffff	h3place				12.36183	50.70904	9.0		50.70903532015078	12.361834781343196
43	891f1a78dd3ffff	h3place				12.29552	50.76252	9.0		50.7625246786796	12.295521318446687
44	891f1a6f127ffff	h3place				12.54297	50.66592	9.0		50.66591670564046	12.542972220538523
45	891e349b44bffff	h3place				12.70128	50.68931	9.0		50.689311229030615	12.701279438295485
46	891f1a6c5cbffff	h3place				12.57952	50.67095	9.0		50.6709466385846	12.579519192103943
47	891f1a656a3ffff	h3place				12.59772	50.74809	9.0		50.7480914127442	12.597717338321301
48	891f1a6558bffff	h3place				12.63306	50.76819	9.0		50.768190239007254	12.633062239500696
49	891f1a65097ffff	h3place				12.62184	50.75479	9.0		50.754787434733124	12.621837374817304
50	891f1a61da7ffff	h3place				12.49959	50.74137	9.0		50.741372916523545	12.499593791349996
51	891f1a6183bffff	h3place				12.47722	50.71454	9.0		50.714536542843014	12.477219963889452
52	891f1a61ccbffff	h3place				12.43628	50.73194	9.0		50.7319350272143	12.436276181365674
53	891f1a612b3ffff	h3place				12.37343	50.71744	9.0		50.717435984371505	12.373428129694691
54	891f1a6187bffff	h3place				12.46785	50.70883	9.0		50.70882881764141	12.467845673837745
55	891f1a68887ffff	h3place				12.42756	50.63263	9.0		50.632629710987295	12.42756277860296
56	891f1a605afffff	h3place				12.47568	50.79028	9.0		50.79028065513538	12.475678129700555
57	891f1a62d57ffff	h3place				12.5222	50.8238	9.0		50.82380353541299	12.522200359608494
58	891f1a62d43ffff	h3place				12.51996	50.82112	9.0		50.82112355104766	12.519958424294973
59	891f1a61473ffff	h3place				12.36411	50.73954	9.0		50.73954383944406	12.364109776619841
60	891f1a6188fffff	h3place				12.46922	50.72157	9.0		50.721572352634695	12.469221489319873
61	891f1a61a8bffff	h3place				12.44867	50.70244	9.0		50.702440786065765	12.448671299462456
62	891f1a6d16bffff	h3place				12.54806	50.60548	9.0		50.60548029869819	12.548063217044822
63	891f1a611dbffff	h3place				12.39929	50.73189	9.0		50.73188938029648	12.399293192637954
64	891f1a7ab6bffff	h3place				12.29285	50.76486	9.0		50.7648632777408	12.292849331394901
65	891f1a6205bffff	h3place				12.41195	50.81365	9.0		50.81365049807108	12.411954135942144
66	891f1a6c45bffff	h3place				12.54563	50.66357	9.0		50.66356743936242	12.545634721838718
67	891f1a6f117ffff	h3place				12.52785	50.66994	9.0		50.669942291876346	12.52784556013539
68	891f1a6c58bffff	h3place				12.5889	50.67665	9.0		50.67664901719963	12.588901561739645
69	891f1a6736fffff	h3place				12.62549	50.77021	9.0		50.77020509599569	12.625487943618216
70	891f1a6736bffff	h3place				12.62058	50.76987	9.0		50.76987212537435	12.6205782317418
71	891f1a78d2fffff	h3place				12.32581	50.75455	9.0		50.75455092080649	12.325812628399996
72	891f1a67167ffff	h3place				12.64346	50.79164	9.0		50.79164352777475	12.64345533502808
73	891f1a61d6bffff	h3place				12.48617	50.72527	9.0		50.72527255290671	12.486167208481296
74	891f1a6f083ffff	h3place				12.48822	50.67228	9.0		50.6722775829857	12.488217901889524
75	891f1a6e0afffff	h3place				12.569	50.70819	9.0		50.70819122635558	12.568995555332165
76	891f1a6f573ffff	h3place				12.50739	50.67866	9.0		50.67866122314776	12.507390601668783
77	891f1a6f50bffff	h3place				12.50473	50.68101	9.0		50.68100886290965	12.50472664794798
78	891f1a63533ffff	h3place				12.38606	50.79921	9.0		50.79921218662643	12.386055003925078
79	891f1a61bafffff	h3place				12.50035	50.70348	9.0		50.70348277572829	12.500351758025914
80	891f1a6198bffff	h3place				12.49864	50.7236	9.0		50.72360330623122	12.498640003326523
81	891f1a601afffff	h3place				12.49436	50.77388	9.0		50.7738787789766	12.4943563729725
82	891f1a60e63ffff	h3place				12.50407	50.74674	9.0		50.746738730130865	12.504070843795008
83	891f1a6a873ffff	h3place				12.40451	50.67153	9.0		50.67153339230421	12.40450945732975
84	891f1a60327ffff	h3place				12.48402	50.75041	9.0		50.750413464260255	12.484021737031123
85	891f1a618cbffff	h3place				12.45495	50.71552	9.0		50.71552496202046	12.454945234904413
86	891f1a68d4bffff	h3place				12.42979	50.63532	9.0		50.63531734265795	12.429794370717294
87	891f1a62e07ffff	h3place				12.48421	50.80603	9.0		50.806029928080555	12.48420520611762
88	891f1a62eb7ffff	h3place				12.49093	50.81407	9.0		50.81407254518274	12.490925097057673
89	891f1a62143ffff	h3place				12.45122	50.81638	9.0		50.81637923473513	12.451220484898938
90	891f1a6f24bffff	h3place				12.46407	50.63769	9.0		50.637694596629466	12.464067768767196
91	891f1a605a7ffff	h3place				12.47792	50.79296	9.0		50.79296230154074	12.477916998351407
92	891f1a6f6cbffff	h3place				12.44232	50.66151	9.0		50.6615075566597	12.442324801883531
93	891f1a61d37ffff	h3place				12.50002	50.73634	9.0		50.73634460949885	12.50002186249732
94	891f1a61477ffff	h3place				12.36901	50.73989	9.0		50.73988725593909	12.36901123132736
95	891f1a61a83ffff	h3place				12.45091	50.70513	9.0		50.705125775244234	12.450906099447307
96	891f1a61ecbffff	h3place				12.42064	50.71314	9.0		50.71314246285758	12.420635420142684
97	891f1a62eabffff	h3place				12.48644	50.80871	9.0		50.808710922471306	12.486444978783217
98	891f1a6854bffff	h3place				12.34261	50.64695	9.0		50.64694837454382	12.342606911740248
99	891f1a6e6b3ffff	h3place				12.52934	50.71054	9.0		50.71053643892649	12.529341358071342
100	891f1a62a9bffff	h3place				12.48997	50.79632	9.0		50.79632141341856	12.48997254805295
101	891f1a61297ffff	h3place				12.36586	50.71944	9.0		50.719435212695714	12.365859540723495
102	891f1a6e32fffff	h3place				12.59072	50.68437	9.0		50.68436656997072	12.59072076455631
103	891f1a6d39bffff	h3place				12.52358	50.6038	9.0		50.60380135571506	12.523582666990967
104	891f1a610a3ffff	h3place				12.39172	50.73389	9.0		50.73388975903415	12.391723010910496
105	891f1a61927ffff	h3place				12.52135	50.71758	9.0		50.71757699023868	12.521346937429279
106	891f1a61bb7ffff	h3place				12.49992	50.70851	9.0		50.708513462113046	12.499923910202112
107	891f1a6adb7ffff	h3place				12.4313	50.70377	9.0		50.70376508292318	12.431302931562795
108	891f1a61913ffff	h3place				12.50131	50.72126	9.0		50.721257472429016	12.501305712355286
109	891f1a620a7ffff	h3place				12.44054	50.82574	9.0		50.825741428602875	12.4405376616471
110	891f1a60ad3ffff	h3place				12.5045	50.74171	9.0		50.74171075097723	12.504498634418814
111	891e349b45bffff	h3place				12.69862	50.69166	9.0		50.691663753777874	12.698619569591836
112	891f1a6e3cfffff	h3place				12.56578	50.68773	9.0		50.6877276216729	12.565784579437723
113	891f1a6f123ffff	h3place				12.53807	50.66558	9.0		50.66558081968917	12.53807174747911
114	891f1a6ce87ffff	h3place				12.6333	50.64675	9.0		50.64674921654962	12.63329625113285
115	891f1a6581bffff	h3place				12.70512	50.73259	9.0		50.732586053628374	12.70512447327278
116	891f1a6258fffff	h3place				12.44148	50.84348	9.0		50.84348385239562	12.441477896584288
117	891f1a6256fffff	h3place				12.44769	50.82876	9.0		50.82876295536486	12.447685585233991
118	891f1a61d6fffff	h3place				12.49107	50.72561	9.0		50.72561086522109	12.491070605706842
119	891f1a789bbffff	h3place				12.33382	50.74753	9.0		50.747530722648435	12.333824709941709
120	891f1a62d2bffff	h3place				12.5396	50.82247	9.0		50.822471824525564	12.539602917780986
121	891f1a6f5d3ffff	h3place				12.49183	50.68771	9.0		50.68771290318089	12.491832973166233
122	891f1a619cbffff	h3place				12.48926	50.7179	9.0		50.71789762916362	12.489261979173605
123	891f1a601a3ffff	h3place				12.49169	50.77622	9.0		50.77622239447486	12.49168850431975
124	891f1a6a987ffff	h3place				12.44017	50.68667	9.0		50.686668527054906	12.440165955369205
125	891f1a6f643ffff	h3place				12.44765	50.65681	9.0		50.656814031533955	12.44765394763914
126	891f1a68097ffff	h3place				12.33771	50.6466	9.0		50.64660431631194	12.337712575237644
