index	e_type	Source	from_type	Target	to_type	directed	attributes.tagCount	attributes.res	attributes.layer_id
0	located_on_h3_cell	https://www.openstreetmap.org/way/156131903	osmplace	891f1a6143bffff	h3place	False		6.0	Transport_POS_amenity around (Zwickau) radius=15.0
1	located_on_h3_cell	https://www.openstreetmap.org/relation/10711524	osmplace	891f1a61dbbffff	h3place	False		6.0	Transport_POS_amenity around (Zwickau) radius=15.0
2	located_on_h3_cell	https://www.openstreetmap.org/way/567377264	osmplace	891f1a6a847ffff	h3place	False		6.0	Leisure_POS_amenity around (Zwickau) radius=15.0
3	located_on_h3_cell	https://www.openstreetmap.org/way/834984878	osmplace	891f1a6565bffff	h3place	False		6.0	Leisure_POS_amenity around (Zwickau) radius=15.0
4	located_on_h3_cell	891f1a61d87ffff	h3place	https://www.openstreetmap.org/way/585156744	osmplace	False		6.0	Transport_POS_amenity around (Zwickau) radius=15.0
5	located_on_h3_cell	https://www.openstreetmap.org/way/237031861	osmplace	891f1a658cfffff	h3place	False		6.0	Leisure_POS_amenity around (Zwickau) radius=15.0
6	located_on_h3_cell	https://www.openstreetmap.org/way/210457734	osmplace	891f1a65ebbffff	h3place	False		6.0	Leisure_POS_amenity around (Zwickau) radius=15.0
7	hasOSMTag	891f1a61993ffff	h3place	playground	osmtag	False	1.0		Leisure_POS_amenity around (Zwickau) radius=15.0
8	hasOSMTag	multi	osmtag	891f1a60ed7ffff	h3place	False	1.0		Leisure_POS_amenity around (Zwickau) radius=15.0
9	hasOSMTag	stop_area	osmtag	891f1a61e4bffff	h3place	False	2.0		Transport_POS_amenity around (Zwickau) radius=15.0
10	located_on_h3_cell	https://www.openstreetmap.org/way/314478666	osmplace	891f1a6f127ffff	h3place	False		6.0	Leisure_POS_amenity around (Zwickau) radius=15.0
11	located_on_h3_cell	https://www.openstreetmap.org/way/329160728	osmplace	891f1a6c883ffff	h3place	False		6.0	Leisure_POS_amenity around (Zwickau) radius=15.0
12	located_on_h3_cell	https://www.openstreetmap.org/node/3402418586	osmplace	891f1a6e4cbffff	h3place	False		6.0	Services_POS_amenity around (Zwickau) radius=15.0
13	hasOSMTag	891f1a6143bffff	h3place	stop_area	osmtag	False	1.0		Transport_POS_amenity around (Zwickau) radius=15.0
14	located_on_h3_cell	https://www.openstreetmap.org/way/352967897	osmplace	891f1a75287ffff	h3place	False		6.0	Leisure_POS_amenity around (Zwickau) radius=15.0
15	located_on_h3_cell	https://www.openstreetmap.org/way/567062720	osmplace	891f1a621afffff	h3place	False		6.0	Leisure_POS_amenity around (Zwickau) radius=15.0
16	located_on_h3_cell	https://www.openstreetmap.org/relation/10344660	osmplace	891f1a6e293ffff	h3place	False		6.0	Transport_POS_amenity around (Zwickau) radius=15.0
17	located_on_h3_cell	https://www.openstreetmap.org/relation/10377570	osmplace	891f1a6f1c3ffff	h3place	False		6.0	Transport_POS_amenity around (Zwickau) radius=15.0
18	located_on_h3_cell	891f1a6d3d7ffff	h3place	https://www.openstreetmap.org/relation/9877865	osmplace	False		6.0	Transport_POS_amenity around (Zwickau) radius=15.0
19	located_on_h3_cell	https://www.openstreetmap.org/relation/10773123	osmplace	891f1a6f18fffff	h3place	False		6.0	Transport_POS_amenity around (Zwickau) radius=15.0
20	located_on_h3_cell	https://www.openstreetmap.org/relation/12725587	osmplace	891f1a6a3cbffff	h3place	False		6.0	Transport_POS_amenity around (Zwickau) radius=15.0
21	located_on_h3_cell	https://www.openstreetmap.org/relation/10367225	osmplace	891f1a63633ffff	h3place	False		6.0	Transport_POS_amenity around (Zwickau) radius=15.0
22	located_on_h3_cell	https://www.openstreetmap.org/node/3725438898	osmplace	891f1a68503ffff	h3place	False		6.0	Transport_POS_amenity around (Zwickau) radius=15.0
23	located_on_h3_cell	891f1a6143bffff	h3place	https://www.openstreetmap.org/way/156131904	osmplace	False		6.0	Transport_POS_amenity around (Zwickau) radius=15.0
