h3index,osmtag,z,layer_id
891e34d0bbbffff,industrial,1,Environment_NEG_geological around (Aue) radius=15.0
891e34d560bffff,industrial,1,Environment_NEG_geological around (Aue) radius=15.0
891e34d0847ffff,industrial,1,Environment_NEG_geological around (Aue) radius=15.0
891e34d54d7ffff,industrial,1,Environment_NEG_geological around (Aue) radius=15.0
891e34d721bffff,industrial,1,Environment_NEG_geological around (Aue) radius=15.0
891e34d2a63ffff,industrial,1,Environment_NEG_geological around (Aue) radius=15.0
891e34d21a7ffff,industrial,1,Environment_NEG_geological around (Aue) radius=15.0
891e34d2d4bffff,industrial,1,Environment_NEG_geological around (Aue) radius=15.0
891e34d2d47ffff,industrial,2,Environment_NEG_geological around (Aue) radius=15.0
891e34d2d8bffff,industrial,1,Environment_NEG_geological around (Aue) radius=15.0
891f1a6d3a7ffff,industrial,1,Environment_NEG_geological around (Aue) radius=15.0
891f1a6d557ffff,industrial,1,Environment_NEG_geological around (Aue) radius=15.0
891f1a6d503ffff,industrial,1,Environment_NEG_geological around (Aue) radius=15.0
891f1a6f30fffff,industrial,1,Environment_NEG_geological around (Aue) radius=15.0
891f1a6f323ffff,industrial,1,Environment_NEG_geological around (Aue) radius=15.0
891f1a6c253ffff,industrial,1,Environment_NEG_geological around (Aue) radius=15.0
891f1a6c443ffff,industrial,1,Environment_NEG_geological around (Aue) radius=15.0
891f1a6c44fffff,industrial,1,Environment_NEG_geological around (Aue) radius=15.0
891f1a6c46fffff,industrial,1,Environment_NEG_geological around (Aue) radius=15.0
891f1a6f137ffff,industrial,1,Environment_NEG_geological around (Aue) radius=15.0
891f1a6c5cbffff,industrial,1,Environment_NEG_geological around (Aue) radius=15.0
891f1a6e353ffff,industrial,1,Environment_NEG_geological around (Aue) radius=15.0
891f1a6e31bffff,industrial,1,Environment_NEG_geological around (Aue) radius=15.0
891f1a6c59bffff,industrial,1,Environment_NEG_geological around (Aue) radius=15.0
891e34d539bffff,industrial,1,Environment_NEG_geological around (Aue) radius=15.0
891e34d540fffff,industrial,1,Environment_NEG_geological around (Aue) radius=15.0
891e34d5013ffff,industrial,1,Environment_NEG_geological around (Aue) radius=15.0
891e34d54abffff,industrial,1,Environment_NEG_geological around (Aue) radius=15.0
891e34d7503ffff,industrial,1,Environment_NEG_geological around (Aue) radius=15.0
891e34d66cbffff,industrial,1,Environment_NEG_geological around (Aue) radius=15.0
891f1a6d92fffff,industrial,1,Environment_NEG_geological around (Aue) radius=15.0
891e34d62a7ffff,industrial,1,Environment_NEG_geological around (Aue) radius=15.0
891e34d6063ffff,industrial,1,Environment_NEG_geological around (Aue) radius=15.0
891e34d60b3ffff,industrial,1,Environment_NEG_geological around (Aue) radius=15.0
891e34d616bffff,industrial,1,Environment_NEG_geological around (Aue) radius=15.0
891e34d6147ffff,industrial,1,Environment_NEG_geological around (Aue) radius=15.0
891e34d6e67ffff,industrial,1,Environment_NEG_geological around (Aue) radius=15.0
891e34d4a2fffff,industrial,1,Environment_NEG_geological around (Aue) radius=15.0
891e34d48cfffff,industrial,2,Environment_NEG_geological around (Aue) radius=15.0
891e34d4c8bffff,industrial,1,Environment_NEG_geological around (Aue) radius=15.0
891e34d4c9bffff,industrial,1,Environment_NEG_geological around (Aue) radius=15.0
891e34d6bcfffff,industrial,1,Environment_NEG_geological around (Aue) radius=15.0
891e34d489bffff,industrial,1,Environment_NEG_geological around (Aue) radius=15.0
