h3index,osmtag,z,layer_id
891e34d288bffff,place_of_worship,2,Leisure_POS_amenity around (Aue) radius=15.0
891e34d2dd7ffff,place_of_worship,1,Leisure_POS_amenity around (Aue) radius=15.0
891e34d2d8bffff,place_of_worship,1,Leisure_POS_amenity around (Aue) radius=15.0
891f1a6d327ffff,place_of_worship,1,Leisure_POS_amenity around (Aue) radius=15.0
891e34d2b27ffff,place_of_worship,1,Leisure_POS_amenity around (Aue) radius=15.0
891f1a6d0a7ffff,place_of_worship,1,Leisure_POS_amenity around (Aue) radius=15.0
891f1a6d0b7ffff,place_of_worship,1,Leisure_POS_amenity around (Aue) radius=15.0
891f1a6d57bffff,place_of_worship,1,Leisure_POS_amenity around (Aue) radius=15.0
891f1a6d193ffff,place_of_worship,1,Leisure_POS_amenity around (Aue) radius=15.0
891f1a6c08bffff,place_of_worship,1,Leisure_POS_amenity around (Aue) radius=15.0
891f1a6c193ffff,place_of_worship,1,Leisure_POS_amenity around (Aue) radius=15.0
891f1a6e34bffff,place_of_worship,1,Leisure_POS_amenity around (Aue) radius=15.0
891f1a6eadbffff,place_of_worship,1,Leisure_POS_amenity around (Aue) radius=15.0
891f1a6e1b7ffff,place_of_worship,1,Leisure_POS_amenity around (Aue) radius=15.0
891e34d5033ffff,place_of_worship,2,Leisure_POS_amenity around (Aue) radius=15.0
891e34d540fffff,place_of_worship,1,Leisure_POS_amenity around (Aue) radius=15.0
891e34d5d63ffff,place_of_worship,1,Leisure_POS_amenity around (Aue) radius=15.0
891e34d46a3ffff,place_of_worship,1,Leisure_POS_amenity around (Aue) radius=15.0
891e34d66d7ffff,place_of_worship,1,Leisure_POS_amenity around (Aue) radius=15.0
891e34d662fffff,place_of_worship,1,Leisure_POS_amenity around (Aue) radius=15.0
891e34d4637ffff,place_of_worship,1,Leisure_POS_amenity around (Aue) radius=15.0
891e34d615bffff,place_of_worship,1,Leisure_POS_amenity around (Aue) radius=15.0
891e34d61cbffff,place_of_worship,1,Leisure_POS_amenity around (Aue) radius=15.0
891e34d5bafffff,place_of_worship,1,Leisure_POS_amenity around (Aue) radius=15.0
891e34c66d3ffff,place_of_worship,1,Leisure_POS_amenity around (Aue) radius=15.0
