h3index,osmtag,z,layer_id
891e34d56cfffff,fast_food,1,Lifestyle_NEG_shop around (Aue) radius=15.0
891e34d56c7ffff,fast_food,1,Lifestyle_NEG_shop around (Aue) radius=15.0
891e34d54d7ffff,fast_food,1,Lifestyle_NEG_shop around (Aue) radius=15.0
891e34d2a27ffff,fast_food,1,Lifestyle_NEG_shop around (Aue) radius=15.0
891e34d72c7ffff,fast_food,1,Lifestyle_NEG_shop around (Aue) radius=15.0
891e34d539bffff,fast_food,1,Lifestyle_NEG_shop around (Aue) radius=15.0
891e34d5a9bffff,fast_food,1,Lifestyle_NEG_shop around (Aue) radius=15.0
891e34d753bffff,fast_food,1,Lifestyle_NEG_shop around (Aue) radius=15.0
891e34d608fffff,fast_food,1,Lifestyle_NEG_shop around (Aue) radius=15.0
891e34d489bffff,fast_food,1,Lifestyle_NEG_shop around (Aue) radius=15.0
891e34d49cfffff,fast_food,1,Lifestyle_NEG_shop around (Aue) radius=15.0
891e34d4c83ffff,fast_food,1,Lifestyle_NEG_shop around (Aue) radius=15.0
891e34d4c33ffff,fast_food,1,Lifestyle_NEG_shop around (Aue) radius=15.0
891e348b617ffff,fast_food,1,Lifestyle_NEG_shop around (Aue) radius=15.0
891f1a6cd0bffff,fast_food,1,Lifestyle_NEG_shop around (Aue) radius=15.0
891e34991abffff,fast_food,1,Lifestyle_NEG_shop around (Aue) radius=15.0
891e349a6cfffff,fast_food,1,Lifestyle_NEG_shop around (Aue) radius=15.0
891e349a687ffff,fast_food,1,Lifestyle_NEG_shop around (Aue) radius=15.0
