h3index,osmtag,z,layer_id
891e34d5643ffff,biergarten,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891e34d561bffff,biergarten,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891e34d5a9bffff,biergarten,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891e34d43bbffff,biergarten,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891e34d614bffff,biergarten,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891e34d4dcbffff,biergarten,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891e34d4da3ffff,biergarten,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891e34985afffff,biergarten,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891e34d2b27ffff,cafe,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891e34d5017ffff,cafe,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891e34d6b57ffff,cafe,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891e349a2cfffff,cafe,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891f1a6d96fffff,ice_cream,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891e3499c53ffff,ice_cream,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891e34d0c8bffff,restaurant,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891e34d0967ffff,restaurant,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891e34d2c93ffff,restaurant,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891e34d2d4bffff,restaurant,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891e34d2c8fffff,restaurant,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891f1a6d35bffff,restaurant,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891f1a6d543ffff,restaurant,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891f1a6e35bffff,restaurant,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891e34d5403ffff,restaurant,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891e34d753bffff,restaurant,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891f1a6d96fffff,restaurant,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891f1a6d967ffff,restaurant,2,Lifestyle_POS_amenity around (Aue) radius=15.0
891e34d46afffff,restaurant,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891e34d46b7ffff,restaurant,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891e34d5d33ffff,restaurant,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891e34d4917ffff,restaurant,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891e34d4d27ffff,restaurant,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891e34d4db7ffff,restaurant,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891e348b617ffff,restaurant,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891e34895dbffff,restaurant,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891f1a6c82fffff,restaurant,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891f1a6eb5bffff,restaurant,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891f1a6ec57ffff,restaurant,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891f1a6ed0fffff,restaurant,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891f1a65b63ffff,restaurant,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891e3499c47ffff,restaurant,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891e34995cfffff,restaurant,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891e348b1abffff,restaurant,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891e34d608bffff,pub,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891e34d4c77ffff,pub,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891f1a6ec33ffff,pub,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891f1a65ad7ffff,pub,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891f1a6c013ffff,sawmill,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891f1a6e20fffff,brewery,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891f1a6e20fffff,blacksmith,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891f1a6c4cfffff,tanner,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891f1a6e343ffff,gardener,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891f1a6c5a7ffff,beekeeper,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891e34d7573ffff,plumber,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891e34d7577ffff,electrician,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891e34d750bffff,handicraft,2,Lifestyle_POS_amenity around (Aue) radius=15.0
891f1a6d977ffff,gardener,2,Lifestyle_POS_amenity around (Aue) radius=15.0
891e34d46afffff,plumber,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891e34d4053ffff,floorer,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891e34d444fffff,floorer,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891e34d602fffff,glaziery,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891e34d4c77ffff,watchmaker,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891e34d4c37ffff,tiler,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891e34d690fffff,sawmill,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891f1a6d90fffff,cleaning,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891f1a6ec57ffff,blacksmith,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891f1a65a9bffff,plumber,1,Lifestyle_POS_amenity around (Aue) radius=15.0
891e349a647ffff,carpenter,1,Lifestyle_POS_amenity around (Aue) radius=15.0
