h3index,osmtag,z,layer_id
891f1a6e277ffff,kindergarten,1,Services_POS_amenity around (Aue) radius=15.0
891f1a6ec43ffff,kindergarten,1,Services_POS_amenity around (Aue) radius=15.0
891e34d46b3ffff,kindergarten,1,Services_POS_amenity around (Aue) radius=15.0
891e34d753bffff,kindergarten,1,Services_POS_amenity around (Aue) radius=15.0
891f1a6d963ffff,kindergarten,1,Services_POS_amenity around (Aue) radius=15.0
891e34d60d7ffff,kindergarten,1,Services_POS_amenity around (Aue) radius=15.0
891e34d6077ffff,kindergarten,1,Services_POS_amenity around (Aue) radius=15.0
891e34d603bffff,kindergarten,1,Services_POS_amenity around (Aue) radius=15.0
891e34d6393ffff,kindergarten,1,Services_POS_amenity around (Aue) radius=15.0
891e34d602fffff,kindergarten,1,Services_POS_amenity around (Aue) radius=15.0
891e34d6153ffff,kindergarten,1,Services_POS_amenity around (Aue) radius=15.0
891e34d4b1bffff,kindergarten,1,Services_POS_amenity around (Aue) radius=15.0
891e34d4c23ffff,kindergarten,1,Services_POS_amenity around (Aue) radius=15.0
891e34d4dcbffff,kindergarten,1,Services_POS_amenity around (Aue) radius=15.0
891e34d6917ffff,kindergarten,1,Services_POS_amenity around (Aue) radius=15.0
891f1a6d91bffff,kindergarten,1,Services_POS_amenity around (Aue) radius=15.0
891f1a6d907ffff,kindergarten,1,Services_POS_amenity around (Aue) radius=15.0
891e34d65b3ffff,kindergarten,1,Services_POS_amenity around (Aue) radius=15.0
891e349b2abffff,kindergarten,1,Services_POS_amenity around (Aue) radius=15.0
891f1a65a87ffff,kindergarten,1,Services_POS_amenity around (Aue) radius=15.0
891e349b5d3ffff,kindergarten,1,Services_POS_amenity around (Aue) radius=15.0
891e3499ccfffff,kindergarten,1,Services_POS_amenity around (Aue) radius=15.0
891e349a677ffff,kindergarten,1,Services_POS_amenity around (Aue) radius=15.0
891e349a2abffff,kindergarten,1,Services_POS_amenity around (Aue) radius=15.0
891e3499c43ffff,library,1,Services_POS_amenity around (Aue) radius=15.0
891e34d0c1bffff,school,1,Services_POS_amenity around (Aue) radius=15.0
891f1a6d327ffff,school,1,Services_POS_amenity around (Aue) radius=15.0
891f1a6d573ffff,school,1,Services_POS_amenity around (Aue) radius=15.0
891f1a6c197ffff,school,1,Services_POS_amenity around (Aue) radius=15.0
891e34d5033ffff,school,1,Services_POS_amenity around (Aue) radius=15.0
891e34d46b3ffff,school,1,Services_POS_amenity around (Aue) radius=15.0
891e34d7537ffff,school,1,Services_POS_amenity around (Aue) radius=15.0
891f1a6d977ffff,school,1,Services_POS_amenity around (Aue) radius=15.0
891e34d60d7ffff,school,1,Services_POS_amenity around (Aue) radius=15.0
891e34d45afffff,school,1,Services_POS_amenity around (Aue) radius=15.0
891e34d638fffff,school,1,Services_POS_amenity around (Aue) radius=15.0
891e34d602fffff,school,1,Services_POS_amenity around (Aue) radius=15.0
891e34d614bffff,school,1,Services_POS_amenity around (Aue) radius=15.0
891e34d6023ffff,school,1,Services_POS_amenity around (Aue) radius=15.0
891e34d6153ffff,school,1,Services_POS_amenity around (Aue) radius=15.0
891e34d4c63ffff,school,1,Services_POS_amenity around (Aue) radius=15.0
891e34d4c77ffff,school,1,Services_POS_amenity around (Aue) radius=15.0
891e34d4d53ffff,school,2,Services_POS_amenity around (Aue) radius=15.0
891e34d4d43ffff,school,1,Services_POS_amenity around (Aue) radius=15.0
891e34d690fffff,school,1,Services_POS_amenity around (Aue) radius=15.0
891f1a6d903ffff,school,1,Services_POS_amenity around (Aue) radius=15.0
891e34d65afffff,school,1,Services_POS_amenity around (Aue) radius=15.0
891f1a6e94bffff,school,1,Services_POS_amenity around (Aue) radius=15.0
891f1a65ad7ffff,school,2,Services_POS_amenity around (Aue) radius=15.0
891f1a65b63ffff,school,2,Services_POS_amenity around (Aue) radius=15.0
891f1a65b83ffff,school,2,Services_POS_amenity around (Aue) radius=15.0
891e3499c43ffff,school,1,Services_POS_amenity around (Aue) radius=15.0
891e3499ccfffff,school,1,Services_POS_amenity around (Aue) radius=15.0
891e3499ccbffff,school,1,Services_POS_amenity around (Aue) radius=15.0
891e3498437ffff,school,1,Services_POS_amenity around (Aue) radius=15.0
891e349a29bffff,school,1,Services_POS_amenity around (Aue) radius=15.0
891e349a667ffff,school,1,Services_POS_amenity around (Aue) radius=15.0
891e34d7533ffff,dentist,1,Services_POS_amenity around (Aue) radius=15.0
891f1a6d973ffff,dentist,1,Services_POS_amenity around (Aue) radius=15.0
891e34d46afffff,dentist,1,Services_POS_amenity around (Aue) radius=15.0
891e34d46a7ffff,dentist,1,Services_POS_amenity around (Aue) radius=15.0
891e34d56cfffff,doctors,1,Services_POS_amenity around (Aue) radius=15.0
891f1a6d973ffff,doctors,1,Services_POS_amenity around (Aue) radius=15.0
891e34d5d23ffff,doctors,1,Services_POS_amenity around (Aue) radius=15.0
891e34d4c4bffff,doctors,1,Services_POS_amenity around (Aue) radius=15.0
891e34d4c67ffff,doctors,1,Services_POS_amenity around (Aue) radius=15.0
891e34d4c2bffff,doctors,1,Services_POS_amenity around (Aue) radius=15.0
891e34d7573ffff,pharmacy,1,Services_POS_amenity around (Aue) radius=15.0
891f1a6d973ffff,pharmacy,1,Services_POS_amenity around (Aue) radius=15.0
891e34d7537ffff,pharmacy,1,Services_POS_amenity around (Aue) radius=15.0
891e34d46a3ffff,pharmacy,1,Services_POS_amenity around (Aue) radius=15.0
891e34d4c77ffff,pharmacy,1,Services_POS_amenity around (Aue) radius=15.0
891f1a65843ffff,pharmacy,1,Services_POS_amenity around (Aue) radius=15.0
891e34d6907ffff,theatre,1,Services_POS_amenity around (Aue) radius=15.0
891e348b6abffff,theatre,1,Services_POS_amenity around (Aue) radius=15.0
891e349a257ffff,theatre,1,Services_POS_amenity around (Aue) radius=15.0
891e34d7533ffff,childcare,1,Services_POS_amenity around (Aue) radius=15.0
