h3index,osmtag,z,layer_id
891e34d0873ffff,primary,2,Transport_NEG_aeroway around (Aue) radius=15.0
891e34d0b93ffff,primary,1,Transport_NEG_aeroway around (Aue) radius=15.0
891e34d094bffff,primary,1,Transport_NEG_aeroway around (Aue) radius=15.0
891e34d545bffff,primary,2,Transport_NEG_aeroway around (Aue) radius=15.0
891e34d54dbffff,primary,1,Transport_NEG_aeroway around (Aue) radius=15.0
891e34d54d7ffff,primary,6,Transport_NEG_aeroway around (Aue) radius=15.0
891e34d2a63ffff,primary,1,Transport_NEG_aeroway around (Aue) radius=15.0
891e34d0c9bffff,primary,1,Transport_NEG_aeroway around (Aue) radius=15.0
891e34d2a2fffff,primary,1,Transport_NEG_aeroway around (Aue) radius=15.0
891e34d2a27ffff,primary,1,Transport_NEG_aeroway around (Aue) radius=15.0
891e34d2b57ffff,primary,1,Transport_NEG_aeroway around (Aue) radius=15.0
891e34d2b07ffff,primary,1,Transport_NEG_aeroway around (Aue) radius=15.0
891e34d2ba3ffff,primary,1,Transport_NEG_aeroway around (Aue) radius=15.0
891e34d768bffff,primary,2,Transport_NEG_aeroway around (Aue) radius=15.0
891e34d76d7ffff,primary,1,Transport_NEG_aeroway around (Aue) radius=15.0
891e34d7423ffff,primary,1,Transport_NEG_aeroway around (Aue) radius=15.0
891e34d76b7ffff,primary,1,Transport_NEG_aeroway around (Aue) radius=15.0
891e34d7463ffff,primary,1,Transport_NEG_aeroway around (Aue) radius=15.0
891e34d768fffff,primary,1,Transport_NEG_aeroway around (Aue) radius=15.0
891e34d7687ffff,primary,1,Transport_NEG_aeroway around (Aue) radius=15.0
891f1a6d073ffff,primary,2,Transport_NEG_aeroway around (Aue) radius=15.0
891f1a6d01bffff,primary,1,Transport_NEG_aeroway around (Aue) radius=15.0
891f1a6d0d3ffff,primary,1,Transport_NEG_aeroway around (Aue) radius=15.0
891f1a6d0d7ffff,primary,1,Transport_NEG_aeroway around (Aue) radius=15.0
891f1a6d00bffff,primary,1,Transport_NEG_aeroway around (Aue) radius=15.0
891f1a6d39bffff,primary,2,Transport_NEG_aeroway around (Aue) radius=15.0
891f1a6d067ffff,primary,1,Transport_NEG_aeroway around (Aue) radius=15.0
891f1a6d383ffff,primary,3,Transport_NEG_aeroway around (Aue) radius=15.0
891f1a6d3a7ffff,primary,1,Transport_NEG_aeroway around (Aue) radius=15.0
891f1a6d3bbffff,primary,1,Transport_NEG_aeroway around (Aue) radius=15.0
891f1a6d16bffff,primary,2,Transport_NEG_aeroway around (Aue) radius=15.0
891f1a6f123ffff,primary,1,Transport_NEG_aeroway around (Aue) radius=15.0
891f1a6f127ffff,primary,1,Transport_NEG_aeroway around (Aue) radius=15.0
891f1a6c45bffff,primary,1,Transport_NEG_aeroway around (Aue) radius=15.0
891f1a6d167ffff,primary,1,Transport_NEG_aeroway around (Aue) radius=15.0
891f1a6d12bffff,primary,1,Transport_NEG_aeroway around (Aue) radius=15.0
891f1a6d16fffff,primary,1,Transport_NEG_aeroway around (Aue) radius=15.0
891f1a6d12fffff,primary,3,Transport_NEG_aeroway around (Aue) radius=15.0
891f1a6dc0bffff,primary,2,Transport_NEG_aeroway around (Aue) radius=15.0
891f1a6dc5bffff,primary,1,Transport_NEG_aeroway around (Aue) radius=15.0
891f1a6dc43ffff,primary,3,Transport_NEG_aeroway around (Aue) radius=15.0
891f1a6dc6bffff,primary,1,Transport_NEG_aeroway around (Aue) radius=15.0
891f1a6dc7bffff,primary,1,Transport_NEG_aeroway around (Aue) radius=15.0
891f1a6dc9bffff,primary,2,Transport_NEG_aeroway around (Aue) radius=15.0
891f1a6dc0fffff,primary,1,Transport_NEG_aeroway around (Aue) radius=15.0
891f1a6dc63ffff,primary,1,Transport_NEG_aeroway around (Aue) radius=15.0
891f1a6dc67ffff,primary,2,Transport_NEG_aeroway around (Aue) radius=15.0
891f1a6d893ffff,primary,9,Transport_NEG_aeroway around (Aue) radius=15.0
891f1a6d837ffff,primary,3,Transport_NEG_aeroway around (Aue) radius=15.0
891f1a6d833ffff,primary,1,Transport_NEG_aeroway around (Aue) radius=15.0
891f1a6dc13ffff,primary,1,Transport_NEG_aeroway around (Aue) radius=15.0
891f1a6c267ffff,primary,4,Transport_NEG_aeroway around (Aue) radius=15.0
891f1a6c277ffff,primary,1,Transport_NEG_aeroway around (Aue) radius=15.0
891f1a6c207ffff,primary,1,Transport_NEG_aeroway around (Aue) radius=15.0
891f1a6c04bffff,primary,3,Transport_NEG_aeroway around (Aue) radius=15.0
891f1a6c05bffff,primary,1,Transport_NEG_aeroway around (Aue) radius=15.0
891f1a6c6a3ffff,primary,1,Transport_NEG_aeroway around (Aue) radius=15.0
891f1a6c44fffff,primary,3,Transport_NEG_aeroway around (Aue) radius=15.0
891f1a6c6b7ffff,primary,1,Transport_NEG_aeroway around (Aue) radius=15.0
891f1a6f1bbffff,primary,1,Transport_NEG_aeroway around (Aue) radius=15.0
891f1a6e377ffff,primary,1,Transport_NEG_aeroway around (Aue) radius=15.0
891f1a6e363ffff,primary,1,Transport_NEG_aeroway around (Aue) radius=15.0
891f1a6e367ffff,primary,3,Transport_NEG_aeroway around (Aue) radius=15.0
891f1a6e3cfffff,primary,2,Transport_NEG_aeroway around (Aue) radius=15.0
891f1a6e357ffff,primary,1,Transport_NEG_aeroway around (Aue) radius=15.0
891f1a6c58bffff,primary,4,Transport_NEG_aeroway around (Aue) radius=15.0
891f1a6c59bffff,primary,2,Transport_NEG_aeroway around (Aue) radius=15.0
891f1a6e32fffff,primary,1,Transport_NEG_aeroway around (Aue) radius=15.0
891f1a6c583ffff,primary,1,Transport_NEG_aeroway around (Aue) radius=15.0
891f1a6e327ffff,primary,1,Transport_NEG_aeroway around (Aue) radius=15.0
