h3index,osmtag,z,layer_id
891e34d721bffff,bicycle_parking,1,Transport_POS_amenity around (Aue) radius=15.0
891e34d4cafffff,bicycle_parking,1,Transport_POS_amenity around (Aue) radius=15.0
891f1a65aafffff,bicycle_parking,1,Transport_POS_amenity around (Aue) radius=15.0
891f1a65bdbffff,bicycle_parking,1,Transport_POS_amenity around (Aue) radius=15.0
891f1a65a87ffff,bicycle_parking,1,Transport_POS_amenity around (Aue) radius=15.0
891f1a65b83ffff,bicycle_parking,1,Transport_POS_amenity around (Aue) radius=15.0
891e349a62fffff,bicycle_parking,1,Transport_POS_amenity around (Aue) radius=15.0
891e349a6c7ffff,bicycle_parking,1,Transport_POS_amenity around (Aue) radius=15.0
891e3499913ffff,bicycle_repair_station,1,Transport_POS_amenity around (Aue) radius=15.0
891e34d6023ffff,bus_station,1,Transport_POS_amenity around (Aue) radius=15.0
891e34d4cafffff,bus_station,1,Transport_POS_amenity around (Aue) radius=15.0
891e349a29bffff,bus_station,1,Transport_POS_amenity around (Aue) radius=15.0
891f1a6d037ffff,charging_station,1,Transport_POS_amenity around (Aue) radius=15.0
891e34d752bffff,charging_station,1,Transport_POS_amenity around (Aue) radius=15.0
891e34d4c2bffff,charging_station,1,Transport_POS_amenity around (Aue) radius=15.0
891e34d0857ffff,stop_area,1,Transport_POS_amenity around (Aue) radius=15.0
891e34d0857ffff,stop_position,1,Transport_POS_amenity around (Aue) radius=15.0
891e34d0857ffff,platform,2,Transport_POS_amenity around (Aue) radius=15.0
891e34d2a6fffff,stop_area,3,Transport_POS_amenity around (Aue) radius=15.0
891e34d0c9bffff,stop_area,1,Transport_POS_amenity around (Aue) radius=15.0
891e34d0c8bffff,stop_area,2,Transport_POS_amenity around (Aue) radius=15.0
891e34d0c9bffff,stop_position,1,Transport_POS_amenity around (Aue) radius=15.0
891e34d0c8bffff,stop_position,2,Transport_POS_amenity around (Aue) radius=15.0
891e34d0c8bffff,platform,2,Transport_POS_amenity around (Aue) radius=15.0
891e34d0c33ffff,stop_area,1,Transport_POS_amenity around (Aue) radius=15.0
891e34d0c0bffff,stop_area,1,Transport_POS_amenity around (Aue) radius=15.0
891e34d0cabffff,stop_area,1,Transport_POS_amenity around (Aue) radius=15.0
891e34d0cabffff,stop_position,1,Transport_POS_amenity around (Aue) radius=15.0
891e34d0cabffff,platform,1,Transport_POS_amenity around (Aue) radius=15.0
891e34d0873ffff,stop_position,1,Transport_POS_amenity around (Aue) radius=15.0
891e34d0873ffff,platform,1,Transport_POS_amenity around (Aue) radius=15.0
891e34d0873ffff,stop_area,1,Transport_POS_amenity around (Aue) radius=15.0
891e34d2a9bffff,stop_area,1,Transport_POS_amenity around (Aue) radius=15.0
891e34d2a9bffff,stop_position,2,Transport_POS_amenity around (Aue) radius=15.0
891e34d2a9bffff,platform,2,Transport_POS_amenity around (Aue) radius=15.0
891e34d2a67ffff,stop_area,3,Transport_POS_amenity around (Aue) radius=15.0
891e34d2a27ffff,stop_area,1,Transport_POS_amenity around (Aue) radius=15.0
891e34d2a23ffff,stop_area,1,Transport_POS_amenity around (Aue) radius=15.0
891e34d0c93ffff,stop_area,2,Transport_POS_amenity around (Aue) radius=15.0
891e34d2bdbffff,stop_area,2,Transport_POS_amenity around (Aue) radius=15.0
