h3index,osmtag,z,layer_id
891e349a8dbffff,industrial,1,Environment_NEG_geological around (Chemnitz) radius=15.0
891e349a887ffff,industrial,1,Environment_NEG_geological around (Chemnitz) radius=15.0
891e349a89bffff,industrial,1,Environment_NEG_geological around (Chemnitz) radius=15.0
891f1a64ccfffff,industrial,1,Environment_NEG_geological around (Chemnitz) radius=15.0
891f1a29343ffff,industrial,1,Environment_NEG_geological around (Chemnitz) radius=15.0
891f1a64dcfffff,industrial,1,Environment_NEG_geological around (Chemnitz) radius=15.0
891f1a66b63ffff,industrial,1,Environment_NEG_geological around (Chemnitz) radius=15.0
891f1a64d47ffff,industrial,1,Environment_NEG_geological around (Chemnitz) radius=15.0
891e3491293ffff,industrial,3,Environment_NEG_geological around (Chemnitz) radius=15.0
891e3491607ffff,industrial,1,Environment_NEG_geological around (Chemnitz) radius=15.0
891e349100bffff,industrial,1,Environment_NEG_geological around (Chemnitz) radius=15.0
891e349322bffff,industrial,1,Environment_NEG_geological around (Chemnitz) radius=15.0
891e349142bffff,industrial,1,Environment_NEG_geological around (Chemnitz) radius=15.0
891e349155bffff,industrial,6,Environment_NEG_geological around (Chemnitz) radius=15.0
891e349142fffff,industrial,2,Environment_NEG_geological around (Chemnitz) radius=15.0
891e3491097ffff,industrial,1,Environment_NEG_geological around (Chemnitz) radius=15.0
891e3491543ffff,industrial,2,Environment_NEG_geological around (Chemnitz) radius=15.0
891e349332bffff,industrial,2,Environment_NEG_geological around (Chemnitz) radius=15.0
891e34906cfffff,industrial,1,Environment_NEG_geological around (Chemnitz) radius=15.0
891f1a66ba3ffff,industrial,1,Environment_NEG_geological around (Chemnitz) radius=15.0
891f1a6688fffff,industrial,1,Environment_NEG_geological around (Chemnitz) radius=15.0
891e349367bffff,industrial,1,Environment_NEG_geological around (Chemnitz) radius=15.0
891e349348bffff,industrial,1,Environment_NEG_geological around (Chemnitz) radius=15.0
891f1a66dafffff,industrial,1,Environment_NEG_geological around (Chemnitz) radius=15.0
891f1a29e57ffff,industrial,2,Environment_NEG_geological around (Chemnitz) radius=15.0
891f1a66da7ffff,industrial,1,Environment_NEG_geological around (Chemnitz) radius=15.0
891f1a29e73ffff,industrial,1,Environment_NEG_geological around (Chemnitz) radius=15.0
891f1a29e23ffff,industrial,1,Environment_NEG_geological around (Chemnitz) radius=15.0
891e349307bffff,industrial,1,Environment_NEG_geological around (Chemnitz) radius=15.0
891e3493067ffff,industrial,2,Environment_NEG_geological around (Chemnitz) radius=15.0
