h3index,osmtag,z,layer_id
891e3491047ffff,fountain,1,Environment_POS_amenity around (Chemnitz) radius=15.0
891f1a2992bffff,fountain,1,Environment_POS_amenity around (Chemnitz) radius=15.0
891e349ad4bffff,fountain,1,Environment_POS_amenity around (Chemnitz) radius=15.0
891e3491ad3ffff,fountain,1,Environment_POS_amenity around (Chemnitz) radius=15.0
891e34902d7ffff,fountain,1,Environment_POS_amenity around (Chemnitz) radius=15.0
891e3492343ffff,fountain,1,Environment_POS_amenity around (Chemnitz) radius=15.0
891e3492357ffff,fountain,1,Environment_POS_amenity around (Chemnitz) radius=15.0
891e349230bffff,fountain,1,Environment_POS_amenity around (Chemnitz) radius=15.0
891e34923d3ffff,fountain,1,Environment_POS_amenity around (Chemnitz) radius=15.0
891e3492067ffff,fountain,1,Environment_POS_amenity around (Chemnitz) radius=15.0
891e349238fffff,fountain,1,Environment_POS_amenity around (Chemnitz) radius=15.0
891e3492397ffff,fountain,1,Environment_POS_amenity around (Chemnitz) radius=15.0
891f1a2d3a7ffff,fountain,1,Environment_POS_amenity around (Chemnitz) radius=15.0
891f1a2d16bffff,fountain,2,Environment_POS_amenity around (Chemnitz) radius=15.0
