h3index,osmtag,z,layer_id
891e349a80bffff,place_of_worship,1,Leisure_POS_amenity around (Chemnitz) radius=15.0
891f1a64883ffff,place_of_worship,1,Leisure_POS_amenity around (Chemnitz) radius=15.0
891f1a29323ffff,place_of_worship,1,Leisure_POS_amenity around (Chemnitz) radius=15.0
891f1a29327ffff,place_of_worship,1,Leisure_POS_amenity around (Chemnitz) radius=15.0
891f1a29e5bffff,place_of_worship,1,Leisure_POS_amenity around (Chemnitz) radius=15.0
891f1a29e6fffff,place_of_worship,1,Leisure_POS_amenity around (Chemnitz) radius=15.0
891e349311bffff,place_of_worship,1,Leisure_POS_amenity around (Chemnitz) radius=15.0
891f1a2867bffff,place_of_worship,1,Leisure_POS_amenity around (Chemnitz) radius=15.0
891f1a280abffff,place_of_worship,1,Leisure_POS_amenity around (Chemnitz) radius=15.0
891f1a28017ffff,place_of_worship,1,Leisure_POS_amenity around (Chemnitz) radius=15.0
891f1a280bbffff,place_of_worship,1,Leisure_POS_amenity around (Chemnitz) radius=15.0
891f1a29dcfffff,place_of_worship,1,Leisure_POS_amenity around (Chemnitz) radius=15.0
891f1a28107ffff,place_of_worship,1,Leisure_POS_amenity around (Chemnitz) radius=15.0
891f1a2ab0bffff,place_of_worship,1,Leisure_POS_amenity around (Chemnitz) radius=15.0
891e34836a3ffff,place_of_worship,1,Leisure_POS_amenity around (Chemnitz) radius=15.0
891e3483543ffff,place_of_worship,1,Leisure_POS_amenity around (Chemnitz) radius=15.0
891e34906bbffff,place_of_worship,1,Leisure_POS_amenity around (Chemnitz) radius=15.0
891e3493127ffff,place_of_worship,1,Leisure_POS_amenity around (Chemnitz) radius=15.0
891e349048fffff,place_of_worship,1,Leisure_POS_amenity around (Chemnitz) radius=15.0
891e3492223ffff,place_of_worship,1,Leisure_POS_amenity around (Chemnitz) radius=15.0
891e3492377ffff,place_of_worship,2,Leisure_POS_amenity around (Chemnitz) radius=15.0
891e34905c7ffff,place_of_worship,1,Leisure_POS_amenity around (Chemnitz) radius=15.0
891e349059bffff,place_of_worship,1,Leisure_POS_amenity around (Chemnitz) radius=15.0
891e34905abffff,place_of_worship,1,Leisure_POS_amenity around (Chemnitz) radius=15.0
891e3492e4fffff,place_of_worship,1,Leisure_POS_amenity around (Chemnitz) radius=15.0
891e3492e6bffff,place_of_worship,1,Leisure_POS_amenity around (Chemnitz) radius=15.0
891e348258bffff,place_of_worship,1,Leisure_POS_amenity around (Chemnitz) radius=15.0
891e3482193ffff,place_of_worship,1,Leisure_POS_amenity around (Chemnitz) radius=15.0
891e349096bffff,place_of_worship,1,Leisure_POS_amenity around (Chemnitz) radius=15.0
891e3495617ffff,place_of_worship,1,Leisure_POS_amenity around (Chemnitz) radius=15.0
891e3495633ffff,place_of_worship,1,Leisure_POS_amenity around (Chemnitz) radius=15.0
891f1a2db53ffff,place_of_worship,1,Leisure_POS_amenity around (Chemnitz) radius=15.0
891e3497313ffff,place_of_worship,1,Leisure_POS_amenity around (Chemnitz) radius=15.0
891f1a28943ffff,place_of_worship,1,Leisure_POS_amenity around (Chemnitz) radius=15.0
891f1a2d3dbffff,place_of_worship,1,Leisure_POS_amenity around (Chemnitz) radius=15.0
891f1a2f5dbffff,place_of_worship,2,Leisure_POS_amenity around (Chemnitz) radius=15.0
891f1a2f397ffff,place_of_worship,1,Leisure_POS_amenity around (Chemnitz) radius=15.0
891f1a2dca3ffff,place_of_worship,1,Leisure_POS_amenity around (Chemnitz) radius=15.0
891f1a2c23bffff,place_of_worship,1,Leisure_POS_amenity around (Chemnitz) radius=15.0
