h3index,osmtag,z,layer_id
891e3492347ffff,department_store,1,Lifestyle_NEG_shop around (Chemnitz) radius=15.0
891f1a2990fffff,wholesale,1,Lifestyle_NEG_shop around (Chemnitz) radius=15.0
891e3490043ffff,erotic,1,Lifestyle_NEG_shop around (Chemnitz) radius=15.0
891f1a29373ffff,fast_food,1,Lifestyle_NEG_shop around (Chemnitz) radius=15.0
891f1a29323ffff,fast_food,2,Lifestyle_NEG_shop around (Chemnitz) radius=15.0
891f1a29a67ffff,fast_food,2,Lifestyle_NEG_shop around (Chemnitz) radius=15.0
891e349310bffff,fast_food,1,Lifestyle_NEG_shop around (Chemnitz) radius=15.0
891e3493563ffff,fast_food,1,Lifestyle_NEG_shop around (Chemnitz) radius=15.0
891f1a29973ffff,fast_food,1,Lifestyle_NEG_shop around (Chemnitz) radius=15.0
891f1a29923ffff,fast_food,2,Lifestyle_NEG_shop around (Chemnitz) radius=15.0
891e349ad47ffff,fast_food,1,Lifestyle_NEG_shop around (Chemnitz) radius=15.0
891e34902dbffff,fast_food,1,Lifestyle_NEG_shop around (Chemnitz) radius=15.0
891e349060fffff,fast_food,1,Lifestyle_NEG_shop around (Chemnitz) radius=15.0
891e349003bffff,fast_food,1,Lifestyle_NEG_shop around (Chemnitz) radius=15.0
891e3490e53ffff,fast_food,1,Lifestyle_NEG_shop around (Chemnitz) radius=15.0
891e3490473ffff,fast_food,1,Lifestyle_NEG_shop around (Chemnitz) radius=15.0
891e3490483ffff,fast_food,2,Lifestyle_NEG_shop around (Chemnitz) radius=15.0
891e3490497ffff,fast_food,1,Lifestyle_NEG_shop around (Chemnitz) radius=15.0
891e349055bffff,fast_food,1,Lifestyle_NEG_shop around (Chemnitz) radius=15.0
891e34905cbffff,fast_food,1,Lifestyle_NEG_shop around (Chemnitz) radius=15.0
891e349053bffff,fast_food,1,Lifestyle_NEG_shop around (Chemnitz) radius=15.0
891e34905dbffff,fast_food,1,Lifestyle_NEG_shop around (Chemnitz) radius=15.0
891e34905c3ffff,fast_food,1,Lifestyle_NEG_shop around (Chemnitz) radius=15.0
891e349237bffff,fast_food,1,Lifestyle_NEG_shop around (Chemnitz) radius=15.0
891e3492347ffff,fast_food,1,Lifestyle_NEG_shop around (Chemnitz) radius=15.0
891e3492303ffff,fast_food,1,Lifestyle_NEG_shop around (Chemnitz) radius=15.0
891e34905cfffff,fast_food,1,Lifestyle_NEG_shop around (Chemnitz) radius=15.0
891e349051bffff,fast_food,2,Lifestyle_NEG_shop around (Chemnitz) radius=15.0
891e3490583ffff,fast_food,1,Lifestyle_NEG_shop around (Chemnitz) radius=15.0
891e3492217ffff,fast_food,1,Lifestyle_NEG_shop around (Chemnitz) radius=15.0
891e3492053ffff,fast_food,1,Lifestyle_NEG_shop around (Chemnitz) radius=15.0
891e34923c7ffff,fast_food,1,Lifestyle_NEG_shop around (Chemnitz) radius=15.0
891e3492073ffff,fast_food,1,Lifestyle_NEG_shop around (Chemnitz) radius=15.0
891e34923bbffff,fast_food,1,Lifestyle_NEG_shop around (Chemnitz) radius=15.0
891e34923abffff,fast_food,1,Lifestyle_NEG_shop around (Chemnitz) radius=15.0
891e3492ec7ffff,fast_food,1,Lifestyle_NEG_shop around (Chemnitz) radius=15.0
891e349217bffff,fast_food,1,Lifestyle_NEG_shop around (Chemnitz) radius=15.0
891e349052bffff,fast_food,1,Lifestyle_NEG_shop around (Chemnitz) radius=15.0
891e34905afffff,fast_food,3,Lifestyle_NEG_shop around (Chemnitz) radius=15.0
891e3492adbffff,fast_food,1,Lifestyle_NEG_shop around (Chemnitz) radius=15.0
891e3492e4fffff,fast_food,1,Lifestyle_NEG_shop around (Chemnitz) radius=15.0
891e3492e7bffff,fast_food,1,Lifestyle_NEG_shop around (Chemnitz) radius=15.0
891e3492e47ffff,fast_food,2,Lifestyle_NEG_shop around (Chemnitz) radius=15.0
891e3492e6bffff,fast_food,1,Lifestyle_NEG_shop around (Chemnitz) radius=15.0
891e3492e87ffff,fast_food,1,Lifestyle_NEG_shop around (Chemnitz) radius=15.0
891e3497427ffff,fast_food,1,Lifestyle_NEG_shop around (Chemnitz) radius=15.0
891e34974b3ffff,fast_food,1,Lifestyle_NEG_shop around (Chemnitz) radius=15.0
891f1a2db47ffff,fast_food,1,Lifestyle_NEG_shop around (Chemnitz) radius=15.0
891f1a288afffff,fast_food,1,Lifestyle_NEG_shop around (Chemnitz) radius=15.0
891f1a2c34fffff,fast_food,1,Lifestyle_NEG_shop around (Chemnitz) radius=15.0
