h3index,osmtag,z,layer_id
891e3490433ffff,bar,1,Lifestyle_POS_amenity around (Chemnitz) radius=15.0
891e34904a7ffff,bar,1,Lifestyle_POS_amenity around (Chemnitz) radius=15.0
891e349231bffff,bar,1,Lifestyle_POS_amenity around (Chemnitz) radius=15.0
891e3492363ffff,bar,1,Lifestyle_POS_amenity around (Chemnitz) radius=15.0
891e34905cfffff,bar,1,Lifestyle_POS_amenity around (Chemnitz) radius=15.0
891e3492383ffff,bar,1,Lifestyle_POS_amenity around (Chemnitz) radius=15.0
891f1a64973ffff,biergarten,1,Lifestyle_POS_amenity around (Chemnitz) radius=15.0
891e34906bbffff,biergarten,1,Lifestyle_POS_amenity around (Chemnitz) radius=15.0
891e349212fffff,biergarten,1,Lifestyle_POS_amenity around (Chemnitz) radius=15.0
891e3490d07ffff,biergarten,1,Lifestyle_POS_amenity around (Chemnitz) radius=15.0
891e349055bffff,cafe,1,Lifestyle_POS_amenity around (Chemnitz) radius=15.0
891e34905cfffff,cafe,2,Lifestyle_POS_amenity around (Chemnitz) radius=15.0
891e3492343ffff,cafe,1,Lifestyle_POS_amenity around (Chemnitz) radius=15.0
891e349233bffff,cafe,1,Lifestyle_POS_amenity around (Chemnitz) radius=15.0
891e3490503ffff,cafe,1,Lifestyle_POS_amenity around (Chemnitz) radius=15.0
891e349232fffff,cafe,1,Lifestyle_POS_amenity around (Chemnitz) radius=15.0
891e3492307ffff,cafe,1,Lifestyle_POS_amenity around (Chemnitz) radius=15.0
891e34923abffff,cafe,1,Lifestyle_POS_amenity around (Chemnitz) radius=15.0
891e349052bffff,cafe,1,Lifestyle_POS_amenity around (Chemnitz) radius=15.0
891e3497313ffff,cafe,1,Lifestyle_POS_amenity around (Chemnitz) radius=15.0
891f1a66a33ffff,ice_cream,1,Lifestyle_POS_amenity around (Chemnitz) radius=15.0
891e3490043ffff,ice_cream,1,Lifestyle_POS_amenity around (Chemnitz) radius=15.0
891e3490503ffff,ice_cream,1,Lifestyle_POS_amenity around (Chemnitz) radius=15.0
891e3492e6bffff,ice_cream,1,Lifestyle_POS_amenity around (Chemnitz) radius=15.0
891f1a2d273ffff,ice_cream,1,Lifestyle_POS_amenity around (Chemnitz) radius=15.0
891f1a2d16bffff,ice_cream,1,Lifestyle_POS_amenity around (Chemnitz) radius=15.0
891e34933c7ffff,restaurant,1,Lifestyle_POS_amenity around (Chemnitz) radius=15.0
891f1a2937bffff,restaurant,1,Lifestyle_POS_amenity around (Chemnitz) radius=15.0
891f1a29327ffff,restaurant,1,Lifestyle_POS_amenity around (Chemnitz) radius=15.0
891f1a29323ffff,restaurant,2,Lifestyle_POS_amenity around (Chemnitz) radius=15.0
891f1a293abffff,restaurant,1,Lifestyle_POS_amenity around (Chemnitz) radius=15.0
891f1a29e43ffff,restaurant,1,Lifestyle_POS_amenity around (Chemnitz) radius=15.0
891e34930d7ffff,restaurant,1,Lifestyle_POS_amenity around (Chemnitz) radius=15.0
