h3index,osmtag,z,layer_id
891f1a66a5bffff,kindergarten,1,Services_POS_amenity around (Chemnitz) radius=15.0
891f1a66a47ffff,kindergarten,1,Services_POS_amenity around (Chemnitz) radius=15.0
891f1a2938bffff,kindergarten,1,Services_POS_amenity around (Chemnitz) radius=15.0
891e3491693ffff,kindergarten,1,Services_POS_amenity around (Chemnitz) radius=15.0
891e3491073ffff,kindergarten,1,Services_POS_amenity around (Chemnitz) radius=15.0
891e34915cfffff,kindergarten,1,Services_POS_amenity around (Chemnitz) radius=15.0
891f1a2932fffff,kindergarten,1,Services_POS_amenity around (Chemnitz) radius=15.0
891f1a29edbffff,kindergarten,1,Services_POS_amenity around (Chemnitz) radius=15.0
891f1a29e4bffff,kindergarten,1,Services_POS_amenity around (Chemnitz) radius=15.0
891f1a66db3ffff,kindergarten,1,Services_POS_amenity around (Chemnitz) radius=15.0
891e34930dbffff,kindergarten,1,Services_POS_amenity around (Chemnitz) radius=15.0
891e3493423ffff,kindergarten,1,Services_POS_amenity around (Chemnitz) radius=15.0
891e349316fffff,kindergarten,1,Services_POS_amenity around (Chemnitz) radius=15.0
891e3492667ffff,kindergarten,2,Services_POS_amenity around (Chemnitz) radius=15.0
891e34922d7ffff,kindergarten,1,Services_POS_amenity around (Chemnitz) radius=15.0
891e34922c3ffff,kindergarten,1,Services_POS_amenity around (Chemnitz) radius=15.0
891f1a290afffff,kindergarten,1,Services_POS_amenity around (Chemnitz) radius=15.0
891f1a2832bffff,kindergarten,1,Services_POS_amenity around (Chemnitz) radius=15.0
891f1a2853bffff,kindergarten,1,Services_POS_amenity around (Chemnitz) radius=15.0
891e349ada7ffff,kindergarten,1,Services_POS_amenity around (Chemnitz) radius=15.0
891e3491ac3ffff,kindergarten,1,Services_POS_amenity around (Chemnitz) radius=15.0
891e349112bffff,kindergarten,1,Services_POS_amenity around (Chemnitz) radius=15.0
891e3490673ffff,kindergarten,1,Services_POS_amenity around (Chemnitz) radius=15.0
891e349028bffff,kindergarten,1,Services_POS_amenity around (Chemnitz) radius=15.0
891e349193bffff,kindergarten,1,Services_POS_amenity around (Chemnitz) radius=15.0
891e3482637ffff,kindergarten,1,Services_POS_amenity around (Chemnitz) radius=15.0
891e3490693ffff,kindergarten,1,Services_POS_amenity around (Chemnitz) radius=15.0
891e349312fffff,kindergarten,1,Services_POS_amenity around (Chemnitz) radius=15.0
891e3493127ffff,kindergarten,1,Services_POS_amenity around (Chemnitz) radius=15.0
891e34904dbffff,kindergarten,1,Services_POS_amenity around (Chemnitz) radius=15.0
891e3490483ffff,kindergarten,2,Services_POS_amenity around (Chemnitz) radius=15.0
891e3492227ffff,kindergarten,1,Services_POS_amenity around (Chemnitz) radius=15.0
891e349235bffff,kindergarten,1,Services_POS_amenity around (Chemnitz) radius=15.0
891e3490557ffff,kindergarten,1,Services_POS_amenity around (Chemnitz) radius=15.0
891e34904b7ffff,kindergarten,1,Services_POS_amenity around (Chemnitz) radius=15.0
891e34905dbffff,kindergarten,1,Services_POS_amenity around (Chemnitz) radius=15.0
891e34905cbffff,kindergarten,2,Services_POS_amenity around (Chemnitz) radius=15.0
891e3492347ffff,kindergarten,1,Services_POS_amenity around (Chemnitz) radius=15.0
891e3492373ffff,kindergarten,1,Services_POS_amenity around (Chemnitz) radius=15.0
891e3492363ffff,kindergarten,1,Services_POS_amenity around (Chemnitz) radius=15.0
891e349058bffff,kindergarten,1,Services_POS_amenity around (Chemnitz) radius=15.0
891e3492327ffff,kindergarten,1,Services_POS_amenity around (Chemnitz) radius=15.0
891e3492293ffff,kindergarten,1,Services_POS_amenity around (Chemnitz) radius=15.0
891e3492237ffff,kindergarten,1,Services_POS_amenity around (Chemnitz) radius=15.0
891e34920cfffff,kindergarten,1,Services_POS_amenity around (Chemnitz) radius=15.0
891e34923dbffff,kindergarten,1,Services_POS_amenity around (Chemnitz) radius=15.0
891e34922b7ffff,kindergarten,1,Services_POS_amenity around (Chemnitz) radius=15.0
891e349206bffff,kindergarten,1,Services_POS_amenity around (Chemnitz) radius=15.0
891e3492077ffff,kindergarten,1,Services_POS_amenity around (Chemnitz) radius=15.0
891e34825c7ffff,kindergarten,1,Services_POS_amenity around (Chemnitz) radius=15.0
891e349525bffff,kindergarten,1,Services_POS_amenity around (Chemnitz) radius=15.0
891e3495633ffff,kindergarten,1,Services_POS_amenity around (Chemnitz) radius=15.0
891e34953d3ffff,kindergarten,1,Services_POS_amenity around (Chemnitz) radius=15.0
891e349707bffff,kindergarten,1,Services_POS_amenity around (Chemnitz) radius=15.0
891f1a2d17bffff,kindergarten,1,Services_POS_amenity around (Chemnitz) radius=15.0
891f1a2f3b3ffff,kindergarten,1,Services_POS_amenity around (Chemnitz) radius=15.0
891f1a2c17bffff,kindergarten,1,Services_POS_amenity around (Chemnitz) radius=15.0
891e3492e47ffff,library,1,Services_POS_amenity around (Chemnitz) radius=15.0
