h3index,osmtag,z,layer_id
891e349129bffff,apron,2,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891e3491293ffff,apron,1,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891e3491e6fffff,taxiway,1,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891e3492a23ffff,model_aerodrome,1,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891e3492a23ffff,model_runway,1,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891e3492a2fffff,model_runway,1,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891e3492e17ffff,helipad,1,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891e34925dbffff,helipad,1,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891e349a093ffff,primary,2,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891e349ae33ffff,primary,1,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891e349a8dbffff,primary,4,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891e349aeafffff,primary,2,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891e349ae3bffff,primary,1,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891e349a8c3ffff,primary,1,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891e349a8d7ffff,primary,1,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891e349a897ffff,primary,3,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891f1a64ccfffff,primary,1,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891e349a553ffff,primary,1,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891e349a58fffff,primary,1,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891e349a513ffff,primary,1,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891f1a64c37ffff,primary,1,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891f1a64dc3ffff,primary,3,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891f1a64dcbffff,primary,1,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891f1a64cabffff,primary,1,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891f1a64c07ffff,primary,1,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891f1a64c17ffff,primary,3,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891f1a64dc7ffff,primary,3,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891f1a64db3ffff,primary,1,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891e349164fffff,primary,4,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891e3491607ffff,primary,2,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891e34916abffff,primary,2,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891e3491477ffff,primary,1,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891e34915c3ffff,primary,1,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891e34915d7ffff,primary,1,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891e349158bffff,primary,2,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891e349159bffff,primary,1,Transport_NEG_aeroway around (Chemnitz) radius=15.0
