h3index,osmtag,z,layer_id
891e3491047ffff,bicycle_parking,1,Transport_POS_amenity around (Chemnitz) radius=15.0
891f1a66d47ffff,bicycle_parking,1,Transport_POS_amenity around (Chemnitz) radius=15.0
891f1a2933bffff,bicycle_parking,2,Transport_POS_amenity around (Chemnitz) radius=15.0
891f1a29327ffff,bicycle_parking,1,Transport_POS_amenity around (Chemnitz) radius=15.0
891e349346fffff,bicycle_parking,1,Transport_POS_amenity around (Chemnitz) radius=15.0
891e349309bffff,bicycle_parking,1,Transport_POS_amenity around (Chemnitz) radius=15.0
891f1a66d87ffff,bicycle_parking,1,Transport_POS_amenity around (Chemnitz) radius=15.0
891e3493387ffff,bicycle_parking,1,Transport_POS_amenity around (Chemnitz) radius=15.0
891e349318fffff,bicycle_parking,1,Transport_POS_amenity around (Chemnitz) radius=15.0
891e3493117ffff,bicycle_parking,2,Transport_POS_amenity around (Chemnitz) radius=15.0
891f1a29c8bffff,bicycle_parking,1,Transport_POS_amenity around (Chemnitz) radius=15.0
891f1a28a47ffff,bicycle_parking,1,Transport_POS_amenity around (Chemnitz) radius=15.0
891f1a2aa6fffff,bicycle_parking,2,Transport_POS_amenity around (Chemnitz) radius=15.0
891e3491183ffff,bicycle_parking,2,Transport_POS_amenity around (Chemnitz) radius=15.0
891e34902b7ffff,bicycle_parking,1,Transport_POS_amenity around (Chemnitz) radius=15.0
891e349002bffff,bicycle_parking,1,Transport_POS_amenity around (Chemnitz) radius=15.0
891e34902afffff,bicycle_parking,1,Transport_POS_amenity around (Chemnitz) radius=15.0
891e34905cbffff,bicycle_parking,3,Transport_POS_amenity around (Chemnitz) radius=15.0
891e3490427ffff,bicycle_parking,4,Transport_POS_amenity around (Chemnitz) radius=15.0
891e34900abffff,bicycle_parking,2,Transport_POS_amenity around (Chemnitz) radius=15.0
891e349055bffff,bicycle_parking,4,Transport_POS_amenity around (Chemnitz) radius=15.0
891e349042fffff,bicycle_parking,4,Transport_POS_amenity around (Chemnitz) radius=15.0
891e3490553ffff,bicycle_parking,1,Transport_POS_amenity around (Chemnitz) radius=15.0
891e3492223ffff,bicycle_parking,1,Transport_POS_amenity around (Chemnitz) radius=15.0
891e349056fffff,bicycle_parking,2,Transport_POS_amenity around (Chemnitz) radius=15.0
891e3492343ffff,bicycle_parking,1,Transport_POS_amenity around (Chemnitz) radius=15.0
891e349236bffff,bicycle_parking,1,Transport_POS_amenity around (Chemnitz) radius=15.0
891e3492237ffff,bicycle_parking,1,Transport_POS_amenity around (Chemnitz) radius=15.0
891e349050bffff,bicycle_parking,1,Transport_POS_amenity around (Chemnitz) radius=15.0
891e3492357ffff,bicycle_parking,2,Transport_POS_amenity around (Chemnitz) radius=15.0
891e3492347ffff,bicycle_parking,3,Transport_POS_amenity around (Chemnitz) radius=15.0
