h3index,osmtag,z,layer_id
891f1a6c46fffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891f1a6c5cbffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891f1a6e353ffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891f1a6e31bffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891f1a6c59bffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891f1a6e017ffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891f1a6e58bffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891f1a6d92fffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891e34d6063ffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891e34d60b3ffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891e34d616bffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891e34d6147ffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891e34d68c7ffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891e34d688bffff,industrial,2,Environment_NEG_geological around (Stollberg) radius=15.0
891e34d6983ffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891f1a6d9abffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891f1a6d987ffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891f1a6d9bbffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891f1a6d9b3ffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891f1a6d9b7ffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891f1a6d9a7ffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891e34d6453ffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891f1a6cbd7ffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891f1a6ce87ffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891f1a6cb6bffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891f1a6cbafffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891e34d652fffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891e34990c3ffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891f1a65bcbffff,industrial,2,Environment_NEG_geological around (Stollberg) radius=15.0
891f1a65bc3ffff,industrial,5,Environment_NEG_geological around (Stollberg) radius=15.0
891f1a65abbffff,industrial,2,Environment_NEG_geological around (Stollberg) radius=15.0
891f1a6581bffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891f1a65bcfffff,industrial,2,Environment_NEG_geological around (Stollberg) radius=15.0
891f1a65b2fffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891f1a65947ffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891f1a6590bffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891f1a65977ffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891e3499163ffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891e3499177ffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891e349912fffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891e3499123ffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891e349952bffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891e349958fffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891e349b33bffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891e3499c77ffff,industrial,2,Environment_NEG_geological around (Stollberg) radius=15.0
891e349989bffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891e349a67bffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891e349a647ffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891e349a64fffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891e349a653ffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891e349b533ffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891e349a2cbffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891e349a62fffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891e349a46fffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891e3498577ffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891e3498533ffff,industrial,2,Environment_NEG_geological around (Stollberg) radius=15.0
891e3498c57ffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891e349ae2bffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891e349a8dbffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891e349a89bffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891e349a887ffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891f1a60963ffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891f1a6563bffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891f1a656b7ffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891f1a6544bffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891f1a65097ffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891f1a650b7ffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891f1a6732bffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891f1a67167ffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891f1a642c3ffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891f1a65917ffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891f1a659abffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891f1a6598fffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891f1a65d2fffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891f1a659b3ffff,industrial,2,Environment_NEG_geological around (Stollberg) radius=15.0
891f1a659bbffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891f1a64003ffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891f1a64ccfffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891f1a6456fffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891f1a6637bffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891f1a6448fffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891f1a6593bffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891f1a64a47ffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891f1a64a6bffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891f1a66b63ffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891f1a64dcfffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891f1a64d47ffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891e3491293ffff,industrial,3,Environment_NEG_geological around (Stollberg) radius=15.0
891e3491607ffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891e349100bffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891e349322bffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891e349155bffff,industrial,6,Environment_NEG_geological around (Stollberg) radius=15.0
891e349142fffff,industrial,2,Environment_NEG_geological around (Stollberg) radius=15.0
891e3491097ffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891e349142bffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891e3491543ffff,industrial,2,Environment_NEG_geological around (Stollberg) radius=15.0
891e349332bffff,industrial,2,Environment_NEG_geological around (Stollberg) radius=15.0
891e34906cfffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891f1a66ba3ffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891f1a6688fffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
891e349367bffff,industrial,1,Environment_NEG_geological around (Stollberg) radius=15.0
