h3index,osmtag,z,layer_id
891f1a6c08bffff,place_of_worship,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a6c193ffff,place_of_worship,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a6e34bffff,place_of_worship,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a6eadbffff,place_of_worship,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a6e5a3ffff,place_of_worship,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a6564bffff,place_of_worship,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a6e1b7ffff,place_of_worship,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a65243ffff,place_of_worship,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891e34d615bffff,place_of_worship,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891e34d61cbffff,place_of_worship,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891e34d680bffff,place_of_worship,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a6d977ffff,place_of_worship,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a6ce03ffff,place_of_worship,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a6cdd7ffff,place_of_worship,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a6cd8fffff,place_of_worship,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891e349962fffff,place_of_worship,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891e349b233ffff,place_of_worship,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a6eb5bffff,place_of_worship,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a6ec57ffff,place_of_worship,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a6ec43ffff,place_of_worship,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a65303ffff,place_of_worship,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891e349b407ffff,place_of_worship,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a65873ffff,place_of_worship,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891e3499c13ffff,place_of_worship,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891e3498027ffff,place_of_worship,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891e349b16bffff,place_of_worship,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891e3498427ffff,place_of_worship,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891e349ae0fffff,place_of_worship,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891e349a80bffff,place_of_worship,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a650b3ffff,place_of_worship,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a6554fffff,place_of_worship,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a6557bffff,place_of_worship,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a6510bffff,place_of_worship,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a65127ffff,place_of_worship,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a65d6fffff,place_of_worship,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a65917ffff,place_of_worship,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a66177ffff,place_of_worship,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a64883ffff,place_of_worship,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891e349311bffff,place_of_worship,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891e348a4afffff,place_of_worship,2,Leisure_POS_amenity around (Stollberg) radius=15.0
891e348a437ffff,place_of_worship,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891e348a4a3ffff,place_of_worship,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891e349ab1bffff,place_of_worship,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891e3498d93ffff,place_of_worship,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891e349ab03ffff,place_of_worship,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891e348324fffff,place_of_worship,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891e3483607ffff,place_of_worship,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891e34836a3ffff,place_of_worship,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891e34906bbffff,place_of_worship,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a6c0cbffff,locomotive,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a6c52fffff,ruins,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a6ecd3ffff,railway_station,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a6e523ffff,railway_station,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a6e533ffff,ruins,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a6e5afffff,ruins,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a6d963ffff,memorial,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a6d967ffff,milestone,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a6d977ffff,tomb,2,Leisure_POS_amenity around (Stollberg) radius=15.0
891e34d690fffff,yes,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a6d993ffff,yes,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a6d93bffff,memorial,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a6ca57ffff,yes,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891e34d640fffff,train_station,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a6cbabffff,yes,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891e3499613ffff,castle,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a65b87ffff,locomotive,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891e3498437ffff,memorial,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891e349a347ffff,memorial,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891e349a21bffff,building,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891e349a217ffff,castle,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891e3498c0bffff,memorial,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891e349aa43ffff,boundary_stone,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891e349aa47ffff,boundary_stone,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a65653ffff,ruins,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a6565bffff,ruins,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a6096bffff,railway_station,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a6739bffff,building,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a65d6fffff,yes,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a659d7ffff,memorial,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a6599bffff,memorial,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a659bbffff,railway_station,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a64577ffff,memorial,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a64833ffff,railway_station,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891e349348bffff,castle,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891e3493413ffff,bridge,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891e3498b23ffff,yes,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891e34989b7ffff,railway_station,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891e349119bffff,yes,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891e349119bffff,castle,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891e349119bffff,building,3,Leisure_POS_amenity around (Stollberg) radius=15.0
891e349119bffff,manor,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a6c353ffff,swimming_pool,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a6c357ffff,swimming_pool,3,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a6c34fffff,swimming_pool,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a6c0c7ffff,swimming_pool,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a6c013ffff,swimming_pool,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a6c08bffff,swimming_pool,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a6c00bffff,swimming_pool,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a6c353ffff,pitch,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a6c393ffff,swimming_pool,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a6c3b7ffff,playground,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a6c103ffff,picnic_table,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a6c567ffff,park,2,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a6c52bffff,playground,1,Leisure_POS_amenity around (Stollberg) radius=15.0
891f1a6c183ffff,pitch,2,Leisure_POS_amenity around (Stollberg) radius=15.0
