h3index,osmtag,z,layer_id
891e34d608fffff,fast_food,1,Lifestyle_NEG_shop around (Stollberg) radius=15.0
891f1a6cd0bffff,fast_food,1,Lifestyle_NEG_shop around (Stollberg) radius=15.0
891f1a65803ffff,fast_food,1,Lifestyle_NEG_shop around (Stollberg) radius=15.0
891e34991abffff,fast_food,1,Lifestyle_NEG_shop around (Stollberg) radius=15.0
891e349a6cfffff,fast_food,1,Lifestyle_NEG_shop around (Stollberg) radius=15.0
891e349a687ffff,fast_food,1,Lifestyle_NEG_shop around (Stollberg) radius=15.0
891f1a6554fffff,fast_food,1,Lifestyle_NEG_shop around (Stollberg) radius=15.0
891f1a67377ffff,fast_food,1,Lifestyle_NEG_shop around (Stollberg) radius=15.0
891f1a65917ffff,fast_food,1,Lifestyle_NEG_shop around (Stollberg) radius=15.0
891f1a65987ffff,fast_food,1,Lifestyle_NEG_shop around (Stollberg) radius=15.0
891f1a64577ffff,fast_food,1,Lifestyle_NEG_shop around (Stollberg) radius=15.0
891f1a64493ffff,fast_food,1,Lifestyle_NEG_shop around (Stollberg) radius=15.0
891e349310bffff,fast_food,1,Lifestyle_NEG_shop around (Stollberg) radius=15.0
891e3498bc3ffff,fast_food,1,Lifestyle_NEG_shop around (Stollberg) radius=15.0
891e3498bb3ffff,fast_food,1,Lifestyle_NEG_shop around (Stollberg) radius=15.0
891e349ad47ffff,fast_food,1,Lifestyle_NEG_shop around (Stollberg) radius=15.0
891e34902dbffff,fast_food,1,Lifestyle_NEG_shop around (Stollberg) radius=15.0
891e349060fffff,fast_food,1,Lifestyle_NEG_shop around (Stollberg) radius=15.0
891f1a6e197ffff,agricultural_engines,1,Lifestyle_NEG_shop around (Stollberg) radius=15.0
