h3index,osmtag,z,layer_id
891f1a6542bffff,bar,1,Lifestyle_POS_amenity around (Stollberg) radius=15.0
891f1a65423ffff,bar,1,Lifestyle_POS_amenity around (Stollberg) radius=15.0
891e34d614bffff,biergarten,1,Lifestyle_POS_amenity around (Stollberg) radius=15.0
891e34985afffff,biergarten,1,Lifestyle_POS_amenity around (Stollberg) radius=15.0
891f1a64973ffff,biergarten,1,Lifestyle_POS_amenity around (Stollberg) radius=15.0
891e34906bbffff,biergarten,1,Lifestyle_POS_amenity around (Stollberg) radius=15.0
891e349a2cfffff,cafe,1,Lifestyle_POS_amenity around (Stollberg) radius=15.0
891f1a659b3ffff,cafe,1,Lifestyle_POS_amenity around (Stollberg) radius=15.0
891e3498bc3ffff,cafe,1,Lifestyle_POS_amenity around (Stollberg) radius=15.0
891f1a6d96fffff,ice_cream,1,Lifestyle_POS_amenity around (Stollberg) radius=15.0
891e3499c53ffff,ice_cream,1,Lifestyle_POS_amenity around (Stollberg) radius=15.0
891f1a66a33ffff,ice_cream,1,Lifestyle_POS_amenity around (Stollberg) radius=15.0
891f1a6e35bffff,restaurant,1,Lifestyle_POS_amenity around (Stollberg) radius=15.0
891f1a6524bffff,restaurant,1,Lifestyle_POS_amenity around (Stollberg) radius=15.0
891f1a6e5afffff,restaurant,1,Lifestyle_POS_amenity around (Stollberg) radius=15.0
891f1a6d96fffff,restaurant,1,Lifestyle_POS_amenity around (Stollberg) radius=15.0
891f1a6d967ffff,restaurant,2,Lifestyle_POS_amenity around (Stollberg) radius=15.0
891f1a6c82fffff,restaurant,1,Lifestyle_POS_amenity around (Stollberg) radius=15.0
891f1a6eb5bffff,restaurant,1,Lifestyle_POS_amenity around (Stollberg) radius=15.0
891f1a6ec57ffff,restaurant,1,Lifestyle_POS_amenity around (Stollberg) radius=15.0
891f1a6ed0fffff,restaurant,1,Lifestyle_POS_amenity around (Stollberg) radius=15.0
891f1a658cfffff,restaurant,1,Lifestyle_POS_amenity around (Stollberg) radius=15.0
891f1a65b63ffff,restaurant,1,Lifestyle_POS_amenity around (Stollberg) radius=15.0
891e3499c47ffff,restaurant,1,Lifestyle_POS_amenity around (Stollberg) radius=15.0
891e34995cfffff,restaurant,1,Lifestyle_POS_amenity around (Stollberg) radius=15.0
891f1a6097bffff,restaurant,1,Lifestyle_POS_amenity around (Stollberg) radius=15.0
891f1a656d3ffff,restaurant,1,Lifestyle_POS_amenity around (Stollberg) radius=15.0
891f1a6091bffff,restaurant,1,Lifestyle_POS_amenity around (Stollberg) radius=15.0
891f1a6507bffff,restaurant,1,Lifestyle_POS_amenity around (Stollberg) radius=15.0
891f1a655cbffff,restaurant,1,Lifestyle_POS_amenity around (Stollberg) radius=15.0
891f1a655dbffff,restaurant,1,Lifestyle_POS_amenity around (Stollberg) radius=15.0
891f1a6551bffff,restaurant,1,Lifestyle_POS_amenity around (Stollberg) radius=15.0
891f1a64363ffff,restaurant,1,Lifestyle_POS_amenity around (Stollberg) radius=15.0
891f1a65987ffff,restaurant,1,Lifestyle_POS_amenity around (Stollberg) radius=15.0
891f1a6450fffff,restaurant,3,Lifestyle_POS_amenity around (Stollberg) radius=15.0
891f1a64523ffff,restaurant,1,Lifestyle_POS_amenity around (Stollberg) radius=15.0
891f1a6453bffff,restaurant,1,Lifestyle_POS_amenity around (Stollberg) radius=15.0
891f1a6452bffff,restaurant,1,Lifestyle_POS_amenity around (Stollberg) radius=15.0
891f1a6450bffff,restaurant,1,Lifestyle_POS_amenity around (Stollberg) radius=15.0
891e34933c7ffff,restaurant,1,Lifestyle_POS_amenity around (Stollberg) radius=15.0
891e3493067ffff,restaurant,1,Lifestyle_POS_amenity around (Stollberg) radius=15.0
891e34930d7ffff,restaurant,1,Lifestyle_POS_amenity around (Stollberg) radius=15.0
