h3index,osmtag,z,layer_id
891f1a6e04fffff,kindergarten,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a6e5b3ffff,kindergarten,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a6ec43ffff,kindergarten,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a6d963ffff,kindergarten,1,Services_POS_amenity around (Stollberg) radius=15.0
891e34d60d7ffff,kindergarten,1,Services_POS_amenity around (Stollberg) radius=15.0
891e34d603bffff,kindergarten,1,Services_POS_amenity around (Stollberg) radius=15.0
891e34d6077ffff,kindergarten,1,Services_POS_amenity around (Stollberg) radius=15.0
891e34d602fffff,kindergarten,1,Services_POS_amenity around (Stollberg) radius=15.0
891e34d6393ffff,kindergarten,1,Services_POS_amenity around (Stollberg) radius=15.0
891e34d6153ffff,kindergarten,1,Services_POS_amenity around (Stollberg) radius=15.0
891e34d6917ffff,kindergarten,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a6d91bffff,kindergarten,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a6d907ffff,kindergarten,1,Services_POS_amenity around (Stollberg) radius=15.0
891e34d65b3ffff,kindergarten,1,Services_POS_amenity around (Stollberg) radius=15.0
891e349b2abffff,kindergarten,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a65a87ffff,kindergarten,1,Services_POS_amenity around (Stollberg) radius=15.0
891e349b5d3ffff,kindergarten,1,Services_POS_amenity around (Stollberg) radius=15.0
891e3499ccfffff,kindergarten,1,Services_POS_amenity around (Stollberg) radius=15.0
891e349a677ffff,kindergarten,1,Services_POS_amenity around (Stollberg) radius=15.0
891e349a2abffff,kindergarten,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a65087ffff,kindergarten,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a67383ffff,kindergarten,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a67387ffff,kindergarten,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a65987ffff,kindergarten,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a6457bffff,kindergarten,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a66a5bffff,kindergarten,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a66a47ffff,kindergarten,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a659b3ffff,kindergarten,1,Services_POS_amenity around (Stollberg) radius=15.0
891e3491693ffff,kindergarten,1,Services_POS_amenity around (Stollberg) radius=15.0
891e3491073ffff,kindergarten,1,Services_POS_amenity around (Stollberg) radius=15.0
891e34915cfffff,kindergarten,1,Services_POS_amenity around (Stollberg) radius=15.0
891e34930dbffff,kindergarten,1,Services_POS_amenity around (Stollberg) radius=15.0
891e3493423ffff,kindergarten,1,Services_POS_amenity around (Stollberg) radius=15.0
891e349316fffff,kindergarten,1,Services_POS_amenity around (Stollberg) radius=15.0
891e349ab0fffff,kindergarten,1,Services_POS_amenity around (Stollberg) radius=15.0
891e349ada7ffff,kindergarten,1,Services_POS_amenity around (Stollberg) radius=15.0
891e3491ac3ffff,kindergarten,1,Services_POS_amenity around (Stollberg) radius=15.0
891e349112bffff,kindergarten,1,Services_POS_amenity around (Stollberg) radius=15.0
891e3490673ffff,kindergarten,1,Services_POS_amenity around (Stollberg) radius=15.0
891e349028bffff,kindergarten,1,Services_POS_amenity around (Stollberg) radius=15.0
891e3490693ffff,kindergarten,1,Services_POS_amenity around (Stollberg) radius=15.0
891e349312fffff,kindergarten,1,Services_POS_amenity around (Stollberg) radius=15.0
891e3499c43ffff,library,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a6554fffff,library,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a6453bffff,music_school,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a6c197ffff,school,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a6e043ffff,school,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a6e04bffff,school,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a6d977ffff,school,1,Services_POS_amenity around (Stollberg) radius=15.0
891e34d60d7ffff,school,1,Services_POS_amenity around (Stollberg) radius=15.0
891e34d638fffff,school,1,Services_POS_amenity around (Stollberg) radius=15.0
891e34d602fffff,school,1,Services_POS_amenity around (Stollberg) radius=15.0
891e34d6023ffff,school,1,Services_POS_amenity around (Stollberg) radius=15.0
891e34d614bffff,school,1,Services_POS_amenity around (Stollberg) radius=15.0
891e34d6153ffff,school,1,Services_POS_amenity around (Stollberg) radius=15.0
891e34d690fffff,school,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a6d903ffff,school,1,Services_POS_amenity around (Stollberg) radius=15.0
891e34d65afffff,school,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a6e94bffff,school,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a65ad7ffff,school,2,Services_POS_amenity around (Stollberg) radius=15.0
891f1a6581bffff,school,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a65b63ffff,school,2,Services_POS_amenity around (Stollberg) radius=15.0
891f1a65b83ffff,school,2,Services_POS_amenity around (Stollberg) radius=15.0
891f1a6590fffff,school,1,Services_POS_amenity around (Stollberg) radius=15.0
891e3499c43ffff,school,1,Services_POS_amenity around (Stollberg) radius=15.0
891e3499ccfffff,school,1,Services_POS_amenity around (Stollberg) radius=15.0
891e3499ccbffff,school,1,Services_POS_amenity around (Stollberg) radius=15.0
891e3498437ffff,school,1,Services_POS_amenity around (Stollberg) radius=15.0
891e349a29bffff,school,1,Services_POS_amenity around (Stollberg) radius=15.0
891e349a667ffff,school,1,Services_POS_amenity around (Stollberg) radius=15.0
891e349a803ffff,school,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a656d3ffff,school,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a6738bffff,school,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a650bbffff,school,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a65543ffff,school,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a65087ffff,school,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a65163ffff,school,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a65127ffff,school,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a67383ffff,school,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a64663ffff,school,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a6598bffff,school,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a64e7bffff,school,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a66a4bffff,school,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a644afffff,school,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a6453bffff,school,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a66aafffff,school,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a659abffff,school,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a64db3ffff,school,1,Services_POS_amenity around (Stollberg) radius=15.0
891e3491383ffff,school,1,Services_POS_amenity around (Stollberg) radius=15.0
891e3493423ffff,school,1,Services_POS_amenity around (Stollberg) radius=15.0
891e348324bffff,school,1,Services_POS_amenity around (Stollberg) radius=15.0
891e3483247ffff,school,1,Services_POS_amenity around (Stollberg) radius=15.0
891e3491ad3ffff,school,1,Services_POS_amenity around (Stollberg) radius=15.0
891e3490667ffff,school,1,Services_POS_amenity around (Stollberg) radius=15.0
891e3490637ffff,school,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a6d973ffff,dentist,1,Services_POS_amenity around (Stollberg) radius=15.0
891e349ae73ffff,dentist,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a65907ffff,dentist,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a6453bffff,dentist,1,Services_POS_amenity around (Stollberg) radius=15.0
891e3491437ffff,dentist,1,Services_POS_amenity around (Stollberg) radius=15.0
891e3490233ffff,dentist,1,Services_POS_amenity around (Stollberg) radius=15.0
891e3490687ffff,dentist,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a6d973ffff,doctors,1,Services_POS_amenity around (Stollberg) radius=15.0
891e349ae0fffff,doctors,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a655cfffff,doctors,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a6591bffff,doctors,1,Services_POS_amenity around (Stollberg) radius=15.0
891e349060fffff,doctors,1,Services_POS_amenity around (Stollberg) radius=15.0
891e3490693ffff,doctors,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a6d973ffff,pharmacy,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a65843ffff,pharmacy,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a65917ffff,pharmacy,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a65987ffff,pharmacy,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a64547ffff,pharmacy,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a64577ffff,pharmacy,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a64573ffff,pharmacy,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a66a43ffff,pharmacy,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a64507ffff,pharmacy,1,Services_POS_amenity around (Stollberg) radius=15.0
891e34936c3ffff,pharmacy,1,Services_POS_amenity around (Stollberg) radius=15.0
891e34902dbffff,pharmacy,1,Services_POS_amenity around (Stollberg) radius=15.0
891e349060fffff,pharmacy,1,Services_POS_amenity around (Stollberg) radius=15.0
891e34d6907ffff,theatre,1,Services_POS_amenity around (Stollberg) radius=15.0
891e349a257ffff,theatre,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a650b3ffff,theatre,1,Services_POS_amenity around (Stollberg) radius=15.0
891e3493097ffff,theatre,1,Services_POS_amenity around (Stollberg) radius=15.0
891e3490633ffff,theatre,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a6097bffff,childcare,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a6454bffff,childcare,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a66a5bffff,childcare,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a66a47ffff,childcare,1,Services_POS_amenity around (Stollberg) radius=15.0
891f1a66aafffff,childcare,2,Services_POS_amenity around (Stollberg) radius=15.0
891e3493473ffff,childcare,1,Services_POS_amenity around (Stollberg) radius=15.0
