h3index,osmtag,z,layer_id
891f1a6550fffff,apron,1,Transport_NEG_aeroway around (Stollberg) radius=15.0
891e349129bffff,apron,2,Transport_NEG_aeroway around (Stollberg) radius=15.0
891e3491293ffff,apron,1,Transport_NEG_aeroway around (Stollberg) radius=15.0
891e3491e6fffff,taxiway,1,Transport_NEG_aeroway around (Stollberg) radius=15.0
891f1a6e377ffff,primary,1,Transport_NEG_aeroway around (Stollberg) radius=15.0
891f1a6e363ffff,primary,1,Transport_NEG_aeroway around (Stollberg) radius=15.0
891f1a6e367ffff,primary,3,Transport_NEG_aeroway around (Stollberg) radius=15.0
891f1a6e2afffff,primary,1,Transport_NEG_aeroway around (Stollberg) radius=15.0
891f1a6e3cfffff,primary,2,Transport_NEG_aeroway around (Stollberg) radius=15.0
891f1a6e357ffff,primary,1,Transport_NEG_aeroway around (Stollberg) radius=15.0
891f1a6c58bffff,primary,4,Transport_NEG_aeroway around (Stollberg) radius=15.0
891f1a6c59bffff,primary,2,Transport_NEG_aeroway around (Stollberg) radius=15.0
891f1a6e32fffff,primary,1,Transport_NEG_aeroway around (Stollberg) radius=15.0
891f1a6c583ffff,primary,1,Transport_NEG_aeroway around (Stollberg) radius=15.0
891f1a6e17bffff,primary,1,Transport_NEG_aeroway around (Stollberg) radius=15.0
891f1a6eed3ffff,primary,2,Transport_NEG_aeroway around (Stollberg) radius=15.0
891f1a6e327ffff,primary,1,Transport_NEG_aeroway around (Stollberg) radius=15.0
891f1a6e5c3ffff,primary,3,Transport_NEG_aeroway around (Stollberg) radius=15.0
891f1a6e0afffff,primary,1,Transport_NEG_aeroway around (Stollberg) radius=15.0
891f1a6e143ffff,primary,2,Transport_NEG_aeroway around (Stollberg) radius=15.0
891f1a6e037ffff,primary,1,Transport_NEG_aeroway around (Stollberg) radius=15.0
891f1a6e153ffff,primary,3,Transport_NEG_aeroway around (Stollberg) radius=15.0
891f1a60b67ffff,primary,1,Transport_NEG_aeroway around (Stollberg) radius=15.0
891f1a6e147ffff,primary,1,Transport_NEG_aeroway around (Stollberg) radius=15.0
891f1a6e4a7ffff,primary,4,Transport_NEG_aeroway around (Stollberg) radius=15.0
891f1a60b6fffff,primary,1,Transport_NEG_aeroway around (Stollberg) radius=15.0
891f1a6e5d3ffff,primary,8,Transport_NEG_aeroway around (Stollberg) radius=15.0
891f1a6d97bffff,primary,3,Transport_NEG_aeroway around (Stollberg) radius=15.0
891f1a6d947ffff,primary,1,Transport_NEG_aeroway around (Stollberg) radius=15.0
891e34d668bffff,primary,1,Transport_NEG_aeroway around (Stollberg) radius=15.0
891e34d6693ffff,primary,2,Transport_NEG_aeroway around (Stollberg) radius=15.0
891e34d646fffff,primary,1,Transport_NEG_aeroway around (Stollberg) radius=15.0
891e34d646bffff,primary,1,Transport_NEG_aeroway around (Stollberg) radius=15.0
891e34d609bffff,primary,2,Transport_NEG_aeroway around (Stollberg) radius=15.0
891e34d63d3ffff,primary,1,Transport_NEG_aeroway around (Stollberg) radius=15.0
891e34d6393ffff,primary,2,Transport_NEG_aeroway around (Stollberg) radius=15.0
891e34d614bffff,primary,5,Transport_NEG_aeroway around (Stollberg) radius=15.0
891e34d6017ffff,primary,3,Transport_NEG_aeroway around (Stollberg) radius=15.0
891e34d6023ffff,primary,5,Transport_NEG_aeroway around (Stollberg) radius=15.0
891e34d6033ffff,primary,6,Transport_NEG_aeroway around (Stollberg) radius=15.0
891e34d6007ffff,primary,3,Transport_NEG_aeroway around (Stollberg) radius=15.0
891e34d6083ffff,primary,1,Transport_NEG_aeroway around (Stollberg) radius=15.0
891e34d602fffff,primary,5,Transport_NEG_aeroway around (Stollberg) radius=15.0
891e34d615bffff,primary,3,Transport_NEG_aeroway around (Stollberg) radius=15.0
891e34d60a7ffff,primary,3,Transport_NEG_aeroway around (Stollberg) radius=15.0
891e34d61d3ffff,primary,8,Transport_NEG_aeroway around (Stollberg) radius=15.0
891e34d61d7ffff,primary,2,Transport_NEG_aeroway around (Stollberg) radius=15.0
891e34d619bffff,primary,1,Transport_NEG_aeroway around (Stollberg) radius=15.0
891e34d6323ffff,primary,1,Transport_NEG_aeroway around (Stollberg) radius=15.0
891e348b5dbffff,primary,1,Transport_NEG_aeroway around (Stollberg) radius=15.0
891e34d657bffff,primary,1,Transport_NEG_aeroway around (Stollberg) radius=15.0
891e34d6583ffff,primary,4,Transport_NEG_aeroway around (Stollberg) radius=15.0
891e349965bffff,primary,2,Transport_NEG_aeroway around (Stollberg) radius=15.0
891e349964bffff,primary,1,Transport_NEG_aeroway around (Stollberg) radius=15.0
891e34d6597ffff,primary,1,Transport_NEG_aeroway around (Stollberg) radius=15.0
891e34996c3ffff,primary,1,Transport_NEG_aeroway around (Stollberg) radius=15.0
891e34996d7ffff,primary,1,Transport_NEG_aeroway around (Stollberg) radius=15.0
891f1a6c96fffff,primary,3,Transport_NEG_aeroway around (Stollberg) radius=15.0
891e34d652fffff,primary,1,Transport_NEG_aeroway around (Stollberg) radius=15.0
891e34992cbffff,primary,1,Transport_NEG_aeroway around (Stollberg) radius=15.0
891e34992c3ffff,primary,3,Transport_NEG_aeroway around (Stollberg) radius=15.0
891e34992d7ffff,primary,4,Transport_NEG_aeroway around (Stollberg) radius=15.0
891e34992d3ffff,primary,1,Transport_NEG_aeroway around (Stollberg) radius=15.0
891e3499293ffff,primary,1,Transport_NEG_aeroway around (Stollberg) radius=15.0
891e349962fffff,primary,1,Transport_NEG_aeroway around (Stollberg) radius=15.0
891e34990dbffff,primary,5,Transport_NEG_aeroway around (Stollberg) radius=15.0
891e34990cbffff,primary,1,Transport_NEG_aeroway around (Stollberg) radius=15.0
891f1a6c993ffff,primary,1,Transport_NEG_aeroway around (Stollberg) radius=15.0
891f1a6c983ffff,primary,1,Transport_NEG_aeroway around (Stollberg) radius=15.0
891f1a6cd2fffff,primary,2,Transport_NEG_aeroway around (Stollberg) radius=15.0
891f1a6cd23ffff,primary,1,Transport_NEG_aeroway around (Stollberg) radius=15.0
891f1a6cd27ffff,primary,1,Transport_NEG_aeroway around (Stollberg) radius=15.0
891f1a6c907ffff,primary,2,Transport_NEG_aeroway around (Stollberg) radius=15.0
891f1a6c977ffff,primary,1,Transport_NEG_aeroway around (Stollberg) radius=15.0
891f1a6c9abffff,primary,1,Transport_NEG_aeroway around (Stollberg) radius=15.0
891f1a6c917ffff,primary,1,Transport_NEG_aeroway around (Stollberg) radius=15.0
891f1a6cd37ffff,primary,1,Transport_NEG_aeroway around (Stollberg) radius=15.0
891e3499473ffff,primary,3,Transport_NEG_aeroway around (Stollberg) radius=15.0
891e349947bffff,primary,1,Transport_NEG_aeroway around (Stollberg) radius=15.0
891e34995dbffff,primary,2,Transport_NEG_aeroway around (Stollberg) radius=15.0
