h3index,osmtag,z,layer_id
891f1a6e043ffff,bicycle_parking,1,Transport_POS_amenity around (Stollberg) radius=15.0
891f1a65a87ffff,bicycle_parking,1,Transport_POS_amenity around (Stollberg) radius=15.0
891f1a65b83ffff,bicycle_parking,1,Transport_POS_amenity around (Stollberg) radius=15.0
891f1a65aafffff,bicycle_parking,1,Transport_POS_amenity around (Stollberg) radius=15.0
891f1a65bdbffff,bicycle_parking,1,Transport_POS_amenity around (Stollberg) radius=15.0
891e349a62fffff,bicycle_parking,1,Transport_POS_amenity around (Stollberg) radius=15.0
891e349a6c7ffff,bicycle_parking,1,Transport_POS_amenity around (Stollberg) radius=15.0
891f1a650afffff,bicycle_parking,2,Transport_POS_amenity around (Stollberg) radius=15.0
891f1a6714bffff,bicycle_parking,2,Transport_POS_amenity around (Stollberg) radius=15.0
891f1a658dbffff,bicycle_parking,1,Transport_POS_amenity around (Stollberg) radius=15.0
891f1a659bbffff,bicycle_parking,3,Transport_POS_amenity around (Stollberg) radius=15.0
891f1a64a4bffff,bicycle_parking,1,Transport_POS_amenity around (Stollberg) radius=15.0
891f1a659a3ffff,bicycle_parking,1,Transport_POS_amenity around (Stollberg) radius=15.0
891e3491047ffff,bicycle_parking,1,Transport_POS_amenity around (Stollberg) radius=15.0
891f1a66d47ffff,bicycle_parking,1,Transport_POS_amenity around (Stollberg) radius=15.0
891e3493387ffff,bicycle_parking,1,Transport_POS_amenity around (Stollberg) radius=15.0
891e349346fffff,bicycle_parking,1,Transport_POS_amenity around (Stollberg) radius=15.0
891e349309bffff,bicycle_parking,1,Transport_POS_amenity around (Stollberg) radius=15.0
891e3498bb3ffff,bicycle_parking,1,Transport_POS_amenity around (Stollberg) radius=15.0
891e3491183ffff,bicycle_parking,2,Transport_POS_amenity around (Stollberg) radius=15.0
891e34902afffff,bicycle_parking,1,Transport_POS_amenity around (Stollberg) radius=15.0
891e3499913ffff,bicycle_repair_station,1,Transport_POS_amenity around (Stollberg) radius=15.0
891e34d6023ffff,bus_station,1,Transport_POS_amenity around (Stollberg) radius=15.0
891e349a29bffff,bus_station,1,Transport_POS_amenity around (Stollberg) radius=15.0
891f1a656d3ffff,charging_station,1,Transport_POS_amenity around (Stollberg) radius=15.0
891e3498b87ffff,charging_station,1,Transport_POS_amenity around (Stollberg) radius=15.0
891e349894bffff,charging_station,1,Transport_POS_amenity around (Stollberg) radius=15.0
891f1a6c06bffff,stop_area,2,Transport_POS_amenity around (Stollberg) radius=15.0
891f1a6c3c3ffff,stop_area,2,Transport_POS_amenity around (Stollberg) radius=15.0
891f1a6c3cfffff,stop_area,2,Transport_POS_amenity around (Stollberg) radius=15.0
891f1a6c0cfffff,platform,1,Transport_POS_amenity around (Stollberg) radius=15.0
891f1a6c0cfffff,stop_area,1,Transport_POS_amenity around (Stollberg) radius=15.0
891f1a6c077ffff,stop_area,2,Transport_POS_amenity around (Stollberg) radius=15.0
891f1a6c17bffff,stop_area,2,Transport_POS_amenity around (Stollberg) radius=15.0
891f1a6c56fffff,stop_area,2,Transport_POS_amenity around (Stollberg) radius=15.0
891f1a6c11bffff,stop_area,2,Transport_POS_amenity around (Stollberg) radius=15.0
891f1a6c113ffff,stop_area,2,Transport_POS_amenity around (Stollberg) radius=15.0
891f1a6c197ffff,stop_area,1,Transport_POS_amenity around (Stollberg) radius=15.0
891f1a6e057ffff,stop_area,1,Transport_POS_amenity around (Stollberg) radius=15.0
891f1a6e22fffff,stop_area,1,Transport_POS_amenity around (Stollberg) radius=15.0
891f1a6e34bffff,stop_area,1,Transport_POS_amenity around (Stollberg) radius=15.0
891f1a6e23bffff,stop_area,1,Transport_POS_amenity around (Stollberg) radius=15.0
891f1a6e227ffff,stop_area,1,Transport_POS_amenity around (Stollberg) radius=15.0
891f1a6e3d3ffff,stop_area,1,Transport_POS_amenity around (Stollberg) radius=15.0
