h3index,osmtag,z,layer_id
891f038744bffff,industrial,1,Environment_NEG_geological around (Stralsund) radius=15.0
891f038499bffff,industrial,1,Environment_NEG_geological around (Stralsund) radius=15.0
891f0386093ffff,industrial,1,Environment_NEG_geological around (Stralsund) radius=15.0
891f0148217ffff,industrial,1,Environment_NEG_geological around (Stralsund) radius=15.0
891f01482afffff,industrial,1,Environment_NEG_geological around (Stralsund) radius=15.0
891f03b148fffff,industrial,1,Environment_NEG_geological around (Stralsund) radius=15.0
891f03b1373ffff,industrial,1,Environment_NEG_geological around (Stralsund) radius=15.0
891f014d2cbffff,industrial,1,Environment_NEG_geological around (Stralsund) radius=15.0
891f03bb6cbffff,military,1,Environment_NEG_geological around (Stralsund) radius=15.0
891f014d66fffff,quarry,1,Environment_NEG_geological around (Stralsund) radius=15.0
