h3index,osmtag,z,layer_id
891f03876bbffff,place_of_worship,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f03bb3cfffff,place_of_worship,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f0385b93ffff,place_of_worship,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f0384857ffff,place_of_worship,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f0386a63ffff,place_of_worship,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f03959b7ffff,place_of_worship,2,Leisure_POS_amenity around (Stralsund) radius=15.0
891f03863a3ffff,place_of_worship,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f014901bffff,place_of_worship,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f0386803ffff,place_of_worship,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f0149ac3ffff,place_of_worship,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f0394da7ffff,place_of_worship,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f03b8533ffff,place_of_worship,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f03babb7ffff,place_of_worship,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f0384977ffff,place_of_worship,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f03b124bffff,place_of_worship,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f03b1093ffff,place_of_worship,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f03b3387ffff,place_of_worship,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f03b1147ffff,place_of_worship,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f03b00c3ffff,place_of_worship,2,Leisure_POS_amenity around (Stralsund) radius=15.0
891f03b3633ffff,place_of_worship,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f03b268bffff,place_of_worship,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f03b2277ffff,place_of_worship,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f03b2433ffff,place_of_worship,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f03bb3cfffff,manor,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f038763bffff,milestone,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f038744bffff,manor,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f03876bbffff,memorial,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f0387073ffff,manor,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f0386a63ffff,manor,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f0386a63ffff,heritage,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f03959b7ffff,ruins,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f03860bbffff,manor,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f03863b3ffff,memorial,5,Leisure_POS_amenity around (Stralsund) radius=15.0
891f03b33bbffff,yes,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f038744bffff,pitch,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f038744bffff,sports_centre,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f0385133ffff,pitch,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f03876abffff,pitch,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f038707bffff,playground,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f038707bffff,park,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f038e93bffff,nature_reserve,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f03b8413ffff,sports_centre,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f03b8407ffff,pitch,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f03b8413ffff,pitch,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f038660bffff,swimming_pool,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f038661bffff,pitch,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f03948a7ffff,nature_reserve,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f0394dabffff,pitch,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f0386333ffff,playground,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f0386337ffff,sports_centre,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f038633bffff,sports_centre,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f0386323ffff,pitch,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f0386393ffff,sports_centre,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f038639bffff,track,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f038615bffff,playground,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f0386397ffff,sports_centre,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f0386163ffff,pitch,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f0386163ffff,pit,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f0386163ffff,track,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f038616bffff,playground,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f03863b3ffff,playground,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f03868d3ffff,pitch,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f0386ea7ffff,pitch,2,Leisure_POS_amenity around (Stralsund) radius=15.0
891f03868d3ffff,garden,5,Leisure_POS_amenity around (Stralsund) radius=15.0
891f0386ea7ffff,garden,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f038680bffff,pitch,4,Leisure_POS_amenity around (Stralsund) radius=15.0
891f0386a17ffff,playground,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f0386857ffff,pitch,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f038680bffff,garden,3,Leisure_POS_amenity around (Stralsund) radius=15.0
891f038681bffff,garden,5,Leisure_POS_amenity around (Stralsund) radius=15.0
891f0386847ffff,garden,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f0149003ffff,pitch,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f038680fffff,pitch,7,Leisure_POS_amenity around (Stralsund) radius=15.0
891f038682bffff,pitch,5,Leisure_POS_amenity around (Stralsund) radius=15.0
891f038683bffff,pitch,11,Leisure_POS_amenity around (Stralsund) radius=15.0
891f038680fffff,garden,2,Leisure_POS_amenity around (Stralsund) radius=15.0
891f0386823ffff,pitch,6,Leisure_POS_amenity around (Stralsund) radius=15.0
891f038683bffff,garden,4,Leisure_POS_amenity around (Stralsund) radius=15.0
891f038682bffff,garden,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f03868cfffff,pitch,2,Leisure_POS_amenity around (Stralsund) radius=15.0
891f03868c3ffff,pitch,2,Leisure_POS_amenity around (Stralsund) radius=15.0
891f03868d7ffff,pitch,2,Leisure_POS_amenity around (Stralsund) radius=15.0
891f0386c6fffff,pitch,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f03868c7ffff,pitch,2,Leisure_POS_amenity around (Stralsund) radius=15.0
891f03868c7ffff,garden,2,Leisure_POS_amenity around (Stralsund) radius=15.0
891f03868d7ffff,garden,2,Leisure_POS_amenity around (Stralsund) radius=15.0
891f03868c3ffff,garden,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f0386873ffff,garden,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f03868bbffff,pitch,3,Leisure_POS_amenity around (Stralsund) radius=15.0
891f0386837ffff,pitch,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f0386833ffff,pitch,2,Leisure_POS_amenity around (Stralsund) radius=15.0
891f0386817ffff,garden,4,Leisure_POS_amenity around (Stralsund) radius=15.0
891f03868abffff,pitch,2,Leisure_POS_amenity around (Stralsund) radius=15.0
891f0386807ffff,pitch,5,Leisure_POS_amenity around (Stralsund) radius=15.0
891f0386833ffff,garden,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f0386823ffff,garden,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f0386817ffff,pitch,5,Leisure_POS_amenity around (Stralsund) radius=15.0
891f0386803ffff,pitch,5,Leisure_POS_amenity around (Stralsund) radius=15.0
891f0386807ffff,garden,3,Leisure_POS_amenity around (Stralsund) radius=15.0
891f0386803ffff,garden,3,Leisure_POS_amenity around (Stralsund) radius=15.0
891f0386813ffff,pitch,2,Leisure_POS_amenity around (Stralsund) radius=15.0
891f038681bffff,pitch,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f014b023ffff,nature_reserve,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f03baba3ffff,pitch,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f03baba7ffff,pitch,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f038492bffff,pitch,4,Leisure_POS_amenity around (Stralsund) radius=15.0
891f0384903ffff,track,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f0384903ffff,pitch,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f03b1157ffff,garden,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f03b1c77ffff,pitch,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f03b1c2fffff,pitch,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f03b08dbffff,playground,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f03b36abffff,pitch,3,Leisure_POS_amenity around (Stralsund) radius=15.0
891f03b2447ffff,pitch,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f0148ebbffff,nature_reserve,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f0148163ffff,sports_centre,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f0148cdbffff,pitch,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f0148177ffff,track,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f03b2a0bffff,pitch,4,Leisure_POS_amenity around (Stralsund) radius=15.0
891f03b0cc7ffff,playground,1,Leisure_POS_amenity around (Stralsund) radius=15.0
891f03b2a73ffff,pitch,3,Leisure_POS_amenity around (Stralsund) radius=15.0
891f03b2a47ffff,pitch,1,Leisure_POS_amenity around (Stralsund) radius=15.0
