h3index,osmtag,z,layer_id
891f03863afffff,cafe,1,Lifestyle_POS_amenity around (Stralsund) radius=15.0
891f03863b7ffff,cafe,1,Lifestyle_POS_amenity around (Stralsund) radius=15.0
891f038633bffff,restaurant,1,Lifestyle_POS_amenity around (Stralsund) radius=15.0
891f0386383ffff,restaurant,1,Lifestyle_POS_amenity around (Stralsund) radius=15.0
891f0386397ffff,restaurant,1,Lifestyle_POS_amenity around (Stralsund) radius=15.0
891f03863b3ffff,restaurant,1,Lifestyle_POS_amenity around (Stralsund) radius=15.0
891f03863a3ffff,restaurant,2,Lifestyle_POS_amenity around (Stralsund) radius=15.0
891f038763bffff,fireworks,1,Lifestyle_POS_amenity around (Stralsund) radius=15.0
891f0387637ffff,joiner,1,Lifestyle_POS_amenity around (Stralsund) radius=15.0
891f0387607ffff,roofer,1,Lifestyle_POS_amenity around (Stralsund) radius=15.0
891f03b0607ffff,gardener,1,Lifestyle_POS_amenity around (Stralsund) radius=15.0
891f03b0c8bffff,gardener,1,Lifestyle_POS_amenity around (Stralsund) radius=15.0
