h3index,osmtag,z,layer_id
891f0386303ffff,kindergarten,1,Services_POS_amenity around (Stralsund) radius=15.0
891f0386337ffff,kindergarten,1,Services_POS_amenity around (Stralsund) radius=15.0
891f0386323ffff,kindergarten,1,Services_POS_amenity around (Stralsund) radius=15.0
891f0386397ffff,kindergarten,1,Services_POS_amenity around (Stralsund) radius=15.0
891f038616fffff,kindergarten,1,Services_POS_amenity around (Stralsund) radius=15.0
891f03b0eafffff,kindergarten,1,Services_POS_amenity around (Stralsund) radius=15.0
891f03b0c13ffff,kindergarten,1,Services_POS_amenity around (Stralsund) radius=15.0
891f03b8413ffff,school,1,Services_POS_amenity around (Stralsund) radius=15.0
891f03b841bffff,school,1,Services_POS_amenity around (Stralsund) radius=15.0
891f0386323ffff,school,1,Services_POS_amenity around (Stralsund) radius=15.0
891f0386397ffff,school,1,Services_POS_amenity around (Stralsund) radius=15.0
891f038617bffff,school,1,Services_POS_amenity around (Stralsund) radius=15.0
891f0384907ffff,school,1,Services_POS_amenity around (Stralsund) radius=15.0
891f03b0c13ffff,school,1,Services_POS_amenity around (Stralsund) radius=15.0
891f03b84cfffff,dentist,1,Services_POS_amenity around (Stralsund) radius=15.0
891f03863afffff,pharmacy,1,Services_POS_amenity around (Stralsund) radius=15.0
891f0384907ffff,childcare,1,Services_POS_amenity around (Stralsund) radius=15.0
891f03b0657ffff,childcare,1,Services_POS_amenity around (Stralsund) radius=15.0
