h3index,osmtag,z,layer_id
891f03bb237ffff,primary,1,Transport_NEG_aeroway around (Stralsund) radius=15.0
891f03bb3c3ffff,primary,1,Transport_NEG_aeroway around (Stralsund) radius=15.0
891f03bb3d7ffff,primary,2,Transport_NEG_aeroway around (Stralsund) radius=15.0
891f03bb14bffff,primary,1,Transport_NEG_aeroway around (Stralsund) radius=15.0
891f03bb387ffff,primary,1,Transport_NEG_aeroway around (Stralsund) radius=15.0
891f03bb38bffff,primary,1,Transport_NEG_aeroway around (Stralsund) radius=15.0
891f03bb113ffff,primary,1,Transport_NEG_aeroway around (Stralsund) radius=15.0
891f03bb18fffff,primary,1,Transport_NEG_aeroway around (Stralsund) radius=15.0
891f03bb17bffff,primary,4,Transport_NEG_aeroway around (Stralsund) radius=15.0
891f03bb14fffff,primary,3,Transport_NEG_aeroway around (Stralsund) radius=15.0
891f03ba23bffff,primary,1,Transport_NEG_aeroway around (Stralsund) radius=15.0
891f03ba3dbffff,primary,2,Transport_NEG_aeroway around (Stralsund) radius=15.0
891f03ba2a7ffff,primary,1,Transport_NEG_aeroway around (Stralsund) radius=15.0
891f03ba01bffff,primary,1,Transport_NEG_aeroway around (Stralsund) radius=15.0
891f0384847ffff,primary,2,Transport_NEG_aeroway around (Stralsund) radius=15.0
891f038484fffff,primary,1,Transport_NEG_aeroway around (Stralsund) radius=15.0
891f0384c83ffff,primary,1,Transport_NEG_aeroway around (Stralsund) radius=15.0
891f0384c3bffff,primary,1,Transport_NEG_aeroway around (Stralsund) radius=15.0
891f0386a07ffff,primary,2,Transport_NEG_aeroway around (Stralsund) radius=15.0
891f0386a3bffff,primary,1,Transport_NEG_aeroway around (Stralsund) radius=15.0
891f03ba487ffff,primary,1,Transport_NEG_aeroway around (Stralsund) radius=15.0
891f014b647ffff,primary,1,Transport_NEG_aeroway around (Stralsund) radius=15.0
891f038610bffff,primary,2,Transport_NEG_aeroway around (Stralsund) radius=15.0
891f0386173ffff,primary,1,Transport_NEG_aeroway around (Stralsund) radius=15.0
891f0386e1bffff,primary,1,Transport_NEG_aeroway around (Stralsund) radius=15.0
891f0386e0fffff,primary,2,Transport_NEG_aeroway around (Stralsund) radius=15.0
891f0386a9bffff,primary,1,Transport_NEG_aeroway around (Stralsund) radius=15.0
891f0386113ffff,primary,1,Transport_NEG_aeroway around (Stralsund) radius=15.0
891f0386e0bffff,primary,1,Transport_NEG_aeroway around (Stralsund) radius=15.0
891f03865afffff,primary,1,Transport_NEG_aeroway around (Stralsund) radius=15.0
891f0386e67ffff,primary,1,Transport_NEG_aeroway around (Stralsund) radius=15.0
891f0386a8bffff,primary,1,Transport_NEG_aeroway around (Stralsund) radius=15.0
891f0386a13ffff,primary,5,Transport_NEG_aeroway around (Stralsund) radius=15.0
891f0386e77ffff,primary,2,Transport_NEG_aeroway around (Stralsund) radius=15.0
891f0386a17ffff,primary,4,Transport_NEG_aeroway around (Stralsund) radius=15.0
891f0149657ffff,primary,1,Transport_NEG_aeroway around (Stralsund) radius=15.0
891f0386167ffff,primary,2,Transport_NEG_aeroway around (Stralsund) radius=15.0
891f0386e9bffff,primary,3,Transport_NEG_aeroway around (Stralsund) radius=15.0
891f0386e8bffff,primary,1,Transport_NEG_aeroway around (Stralsund) radius=15.0
891f0386ec7ffff,primary,1,Transport_NEG_aeroway around (Stralsund) radius=15.0
891f0386183ffff,primary,1,Transport_NEG_aeroway around (Stralsund) radius=15.0
891f038618fffff,primary,1,Transport_NEG_aeroway around (Stralsund) radius=15.0
