h3index,osmtag,z,layer_id
891f038721bffff,platform,1,Transport_POS_amenity around (Stralsund) radius=15.0
891f038721bffff,stop_area,1,Transport_POS_amenity around (Stralsund) radius=15.0
891f038721bffff,stop_position,1,Transport_POS_amenity around (Stralsund) radius=15.0
891f0387607ffff,platform,2,Transport_POS_amenity around (Stralsund) radius=15.0
891f0387607ffff,stop_area,1,Transport_POS_amenity around (Stralsund) radius=15.0
891f0387607ffff,stop_position,2,Transport_POS_amenity around (Stralsund) radius=15.0
891f03876b3ffff,stop_position,1,Transport_POS_amenity around (Stralsund) radius=15.0
891f03876b3ffff,platform,1,Transport_POS_amenity around (Stralsund) radius=15.0
891f03876b3ffff,stop_area,1,Transport_POS_amenity around (Stralsund) radius=15.0
891f0387063ffff,stop_position,2,Transport_POS_amenity around (Stralsund) radius=15.0
891f0387063ffff,platform,2,Transport_POS_amenity around (Stralsund) radius=15.0
891f0387063ffff,stop_area,1,Transport_POS_amenity around (Stralsund) radius=15.0
891f0384347ffff,stop_area,1,Transport_POS_amenity around (Stralsund) radius=15.0
891f0386377ffff,platform,1,Transport_POS_amenity around (Stralsund) radius=15.0
891f038633bffff,platform,1,Transport_POS_amenity around (Stralsund) radius=15.0
891f038616fffff,platform,1,Transport_POS_amenity around (Stralsund) radius=15.0
891f0386a13ffff,platform,1,Transport_POS_amenity around (Stralsund) radius=15.0
891f0386a93ffff,platform,1,Transport_POS_amenity around (Stralsund) radius=15.0
891f0386147ffff,platform,1,Transport_POS_amenity around (Stralsund) radius=15.0
891f0386a9bffff,platform,1,Transport_POS_amenity around (Stralsund) radius=15.0
891f0386397ffff,platform,1,Transport_POS_amenity around (Stralsund) radius=15.0
891f03863bbffff,stop_area,1,Transport_POS_amenity around (Stralsund) radius=15.0
891f014b1dbffff,platform,2,Transport_POS_amenity around (Stralsund) radius=15.0
891f014b1dbffff,stop_area,1,Transport_POS_amenity around (Stralsund) radius=15.0
891f014b22fffff,platform,1,Transport_POS_amenity around (Stralsund) radius=15.0
891f014b22fffff,stop_area,1,Transport_POS_amenity around (Stralsund) radius=15.0
891f03b0657ffff,platform,1,Transport_POS_amenity around (Stralsund) radius=15.0
891f03b001bffff,platform,1,Transport_POS_amenity around (Stralsund) radius=15.0
891f03b0603ffff,platform,1,Transport_POS_amenity around (Stralsund) radius=15.0
891f03b011bffff,platform,1,Transport_POS_amenity around (Stralsund) radius=15.0
891f0148b0bffff,stop_area,1,Transport_POS_amenity around (Stralsund) radius=15.0
891f03b0cd7ffff,stop_area,1,Transport_POS_amenity around (Stralsund) radius=15.0
891f03b0c8bffff,stop_area,1,Transport_POS_amenity around (Stralsund) radius=15.0
891f014d20bffff,platform,2,Transport_POS_amenity around (Stralsund) radius=15.0
891f014d677ffff,platform,1,Transport_POS_amenity around (Stralsund) radius=15.0
891f014d63bffff,platform,1,Transport_POS_amenity around (Stralsund) radius=15.0
891f014d293ffff,platform,2,Transport_POS_amenity around (Stralsund) radius=15.0
891f03b0c13ffff,stop_area,1,Transport_POS_amenity around (Stralsund) radius=15.0
