h3index,osmtag,z,layer_id
891f02ba553ffff,industrial,1,Environment_NEG_geological around (Wismar) radius=15.0
891f02baec3ffff,industrial,1,Environment_NEG_geological around (Wismar) radius=15.0
891f02b85afffff,industrial,1,Environment_NEG_geological around (Wismar) radius=15.0
891f02b1a4bffff,industrial,1,Environment_NEG_geological around (Wismar) radius=15.0
891f02a364bffff,industrial,1,Environment_NEG_geological around (Wismar) radius=15.0
891f02b8da3ffff,industrial,1,Environment_NEG_geological around (Wismar) radius=15.0
891f02b126fffff,industrial,1,Environment_NEG_geological around (Wismar) radius=15.0
891f02b1347ffff,industrial,2,Environment_NEG_geological around (Wismar) radius=15.0
891f02baca3ffff,industrial,1,Environment_NEG_geological around (Wismar) radius=15.0
891f02b13d7ffff,industrial,1,Environment_NEG_geological around (Wismar) radius=15.0
891f02badc7ffff,industrial,1,Environment_NEG_geological around (Wismar) radius=15.0
891f02b133bffff,industrial,1,Environment_NEG_geological around (Wismar) radius=15.0
891f02b1a2bffff,industrial,2,Environment_NEG_geological around (Wismar) radius=15.0
891f02a349bffff,industrial,1,Environment_NEG_geological around (Wismar) radius=15.0
891f02b1a23ffff,industrial,1,Environment_NEG_geological around (Wismar) radius=15.0
891f02b18cbffff,industrial,1,Environment_NEG_geological around (Wismar) radius=15.0
891f02b184bffff,industrial,1,Environment_NEG_geological around (Wismar) radius=15.0
891f02b1107ffff,industrial,1,Environment_NEG_geological around (Wismar) radius=15.0
891f02b113bffff,industrial,1,Environment_NEG_geological around (Wismar) radius=15.0
891f02b0203ffff,industrial,2,Environment_NEG_geological around (Wismar) radius=15.0
891f02aacd3ffff,industrial,1,Environment_NEG_geological around (Wismar) radius=15.0
891f02a111bffff,industrial,1,Environment_NEG_geological around (Wismar) radius=15.0
891f02a308fffff,industrial,1,Environment_NEG_geological around (Wismar) radius=15.0
891f02a3017ffff,industrial,2,Environment_NEG_geological around (Wismar) radius=15.0
891f02a332fffff,industrial,1,Environment_NEG_geological around (Wismar) radius=15.0
891f02a3517ffff,industrial,1,Environment_NEG_geological around (Wismar) radius=15.0
891f02a3547ffff,industrial,1,Environment_NEG_geological around (Wismar) radius=15.0
891f02a01dbffff,industrial,2,Environment_NEG_geological around (Wismar) radius=15.0
891f02a0563ffff,industrial,1,Environment_NEG_geological around (Wismar) radius=15.0
891f02b0bd3ffff,industrial,1,Environment_NEG_geological around (Wismar) radius=15.0
891f02a0507ffff,industrial,1,Environment_NEG_geological around (Wismar) radius=15.0
891f02b058bffff,industrial,1,Environment_NEG_geological around (Wismar) radius=15.0
891f02b0883ffff,industrial,1,Environment_NEG_geological around (Wismar) radius=15.0
891f02b0887ffff,industrial,1,Environment_NEG_geological around (Wismar) radius=15.0
891f02b0817ffff,industrial,1,Environment_NEG_geological around (Wismar) radius=15.0
891f0216d2fffff,quarry,1,Environment_NEG_geological around (Wismar) radius=15.0
891f02a124bffff,quarry,1,Environment_NEG_geological around (Wismar) radius=15.0
891f02a1017ffff,quarry,1,Environment_NEG_geological around (Wismar) radius=15.0
891f02a101bffff,quarry,1,Environment_NEG_geological around (Wismar) radius=15.0
891f02a1047ffff,quarry,1,Environment_NEG_geological around (Wismar) radius=15.0
891f02a319bffff,quarry,1,Environment_NEG_geological around (Wismar) radius=15.0
891f02a044bffff,quarry,1,Environment_NEG_geological around (Wismar) radius=15.0
891f02a26afffff,quarry,1,Environment_NEG_geological around (Wismar) radius=15.0
