h3index,osmtag,z,layer_id
891f02aa09bffff,place_of_worship,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f0285d83ffff,place_of_worship,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02ba4abffff,place_of_worship,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02b126fffff,place_of_worship,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02a262fffff,place_of_worship,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02a01d7ffff,place_of_worship,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f0049b67ffff,place_of_worship,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02b2e5bffff,place_of_worship,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f028cdb3ffff,manor,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02aa643ffff,industrial,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02aa617ffff,archaeological_site,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02aa207ffff,memorial,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02b8a63ffff,memorial,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02bb3c7ffff,memorial,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02859d7ffff,castle,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f0285db3ffff,castle,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f0284c43ffff,castle,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02b8cc3ffff,memorial,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02b8ccfffff,building,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02b8ccfffff,memorial,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02bac87ffff,building,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02bac17ffff,heritage,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02b1dcbffff,archaeological_site,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02b0e57ffff,castle,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02b198fffff,manor,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02a205bffff,manor,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02a240fffff,manor,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02b340fffff,manor,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02b35c7ffff,castle,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02b09d3ffff,manor,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f028cdb7ffff,garden,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f0285eb3ffff,pitch,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f028422fffff,playground,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02842bbffff,fishing,2,Leisure_POS_amenity around (Wismar) radius=15.0
891f02843dbffff,pitch,2,Leisure_POS_amenity around (Wismar) radius=15.0
891f02843dbffff,playground,2,Leisure_POS_amenity around (Wismar) radius=15.0
891f02843dbffff,miniature_golf,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02b93afffff,playground,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02b9e1bffff,nature_reserve,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02b95afffff,park,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02b9b23ffff,track,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02b9bafffff,park,2,Leisure_POS_amenity around (Wismar) radius=15.0
891f02aa6cbffff,pitch,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02aa6cbffff,track,3,Leisure_POS_amenity around (Wismar) radius=15.0
891f02aa653ffff,track,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02b9dabffff,pitch,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02b9d97ffff,pitch,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02aa46fffff,pitch,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02aa0c3ffff,pitch,2,Leisure_POS_amenity around (Wismar) radius=15.0
891f02aa08bffff,slipway,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02aa46fffff,playground,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02aa0d7ffff,sports_centre,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02aa0c3ffff,sports_centre,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02aa0d7ffff,park,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02aa00fffff,nature_reserve,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02aa0d7ffff,slipway,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f028cdb7ffff,pitch,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02bb06fffff,pitch,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02bb50bffff,garden,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02bb007ffff,swimming_area,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02bb50bffff,park,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02ba277ffff,pitch,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02ba207ffff,garden,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f0284123ffff,beach_resort,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f0284167ffff,beach_resort,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f028412bffff,playground,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f028412bffff,pitch,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02ba55bffff,pitch,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02ba513ffff,pitch,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f0284873ffff,pitch,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f0284c0fffff,slipway,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f0284833ffff,playground,2,Leisure_POS_amenity around (Wismar) radius=15.0
891f0284c3bffff,marina,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f0284833ffff,pitch,2,Leisure_POS_amenity around (Wismar) radius=15.0
891f028482fffff,playground,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f028482bffff,pitch,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f028495bffff,playground,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02b8cdbffff,sports_centre,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02b8cd7ffff,pitch,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02b8cd3ffff,pitch,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02b8507ffff,pitch,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02ba107ffff,pitch,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02ba16fffff,playground,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02bae8fffff,pitch,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02bae87ffff,playground,2,Leisure_POS_amenity around (Wismar) radius=15.0
891f02ba127ffff,park,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02ba86bffff,nature_reserve,1,Leisure_POS_amenity around (Wismar) radius=15.0
891f02bae87ffff,pitch,1,Leisure_POS_amenity around (Wismar) radius=15.0
