h3index,osmtag,z,layer_id
891f02842a7ffff,fast_food,1,Lifestyle_NEG_shop around (Wismar) radius=15.0
891f02aa08bffff,fast_food,1,Lifestyle_NEG_shop around (Wismar) radius=15.0
891f0284e93ffff,fast_food,1,Lifestyle_NEG_shop around (Wismar) radius=15.0
891f02baa7bffff,fast_food,1,Lifestyle_NEG_shop around (Wismar) radius=15.0
891f02bac33ffff,fast_food,1,Lifestyle_NEG_shop around (Wismar) radius=15.0
891f02bac37ffff,fast_food,1,Lifestyle_NEG_shop around (Wismar) radius=15.0
891f02b136fffff,fast_food,1,Lifestyle_NEG_shop around (Wismar) radius=15.0
891f02a019bffff,fast_food,1,Lifestyle_NEG_shop around (Wismar) radius=15.0
891f02869b3ffff,fast_food,1,Lifestyle_NEG_shop around (Wismar) radius=15.0
891f02b358bffff,fast_food,2,Lifestyle_NEG_shop around (Wismar) radius=15.0
