h3index,osmtag,z,layer_id
891f0284c0fffff,biergarten,1,Lifestyle_POS_amenity around (Wismar) radius=15.0
891f02b358bffff,biergarten,1,Lifestyle_POS_amenity around (Wismar) radius=15.0
891f02b06abffff,biergarten,1,Lifestyle_POS_amenity around (Wismar) radius=15.0
891f02843c3ffff,cafe,1,Lifestyle_POS_amenity around (Wismar) radius=15.0
891f0284c0fffff,cafe,1,Lifestyle_POS_amenity around (Wismar) radius=15.0
891f02bacafffff,cafe,1,Lifestyle_POS_amenity around (Wismar) radius=15.0
891f02b3583ffff,ice_cream,1,Lifestyle_POS_amenity around (Wismar) radius=15.0
891f02843dbffff,restaurant,2,Lifestyle_POS_amenity around (Wismar) radius=15.0
891f02aa653ffff,restaurant,1,Lifestyle_POS_amenity around (Wismar) radius=15.0
891f02bb433ffff,restaurant,1,Lifestyle_POS_amenity around (Wismar) radius=15.0
891f0285db7ffff,restaurant,1,Lifestyle_POS_amenity around (Wismar) radius=15.0
891f0284e07ffff,restaurant,1,Lifestyle_POS_amenity around (Wismar) radius=15.0
891f0284823ffff,restaurant,1,Lifestyle_POS_amenity around (Wismar) radius=15.0
891f0284837ffff,restaurant,1,Lifestyle_POS_amenity around (Wismar) radius=15.0
891f0284c0fffff,restaurant,1,Lifestyle_POS_amenity around (Wismar) radius=15.0
891f02b8cd3ffff,restaurant,1,Lifestyle_POS_amenity around (Wismar) radius=15.0
891f02baea3ffff,restaurant,1,Lifestyle_POS_amenity around (Wismar) radius=15.0
891f02bacabffff,restaurant,1,Lifestyle_POS_amenity around (Wismar) radius=15.0
891f02bac37ffff,restaurant,1,Lifestyle_POS_amenity around (Wismar) radius=15.0
891f02bac33ffff,restaurant,1,Lifestyle_POS_amenity around (Wismar) radius=15.0
891f02869bbffff,restaurant,1,Lifestyle_POS_amenity around (Wismar) radius=15.0
891f02b340bffff,restaurant,1,Lifestyle_POS_amenity around (Wismar) radius=15.0
891f02869b3ffff,restaurant,1,Lifestyle_POS_amenity around (Wismar) radius=15.0
891f02b358fffff,restaurant,2,Lifestyle_POS_amenity around (Wismar) radius=15.0
891f02bac8fffff,pub,1,Lifestyle_POS_amenity around (Wismar) radius=15.0
891f02b8c57ffff,tinsmith,1,Lifestyle_POS_amenity around (Wismar) radius=15.0
891f02bacafffff,bookbinder,1,Lifestyle_POS_amenity around (Wismar) radius=15.0
891f02b13d7ffff,sawmill,1,Lifestyle_POS_amenity around (Wismar) radius=15.0
891f02b1acbffff,distillery,1,Lifestyle_POS_amenity around (Wismar) radius=15.0
891f02a02bbffff,caterer,1,Lifestyle_POS_amenity around (Wismar) radius=15.0
