h3index,osmtag,z,layer_id
891f02b91cbffff,kindergarten,1,Services_POS_amenity around (Wismar) radius=15.0
891f02b8ccfffff,kindergarten,1,Services_POS_amenity around (Wismar) radius=15.0
891f02bae93ffff,kindergarten,1,Services_POS_amenity around (Wismar) radius=15.0
891f02bac2bffff,kindergarten,1,Services_POS_amenity around (Wismar) radius=15.0
891f02bac57ffff,kindergarten,1,Services_POS_amenity around (Wismar) radius=15.0
891f02bac8fffff,kindergarten,1,Services_POS_amenity around (Wismar) radius=15.0
891f02badc3ffff,kindergarten,1,Services_POS_amenity around (Wismar) radius=15.0
891f02b1a5bffff,kindergarten,1,Services_POS_amenity around (Wismar) radius=15.0
891f02b020bffff,kindergarten,1,Services_POS_amenity around (Wismar) radius=15.0
891f02b3593ffff,kindergarten,1,Services_POS_amenity around (Wismar) radius=15.0
891f02b232fffff,kindergarten,2,Services_POS_amenity around (Wismar) radius=15.0
891f02b0587ffff,kindergarten,1,Services_POS_amenity around (Wismar) radius=15.0
891f0284b9bffff,school,1,Services_POS_amenity around (Wismar) radius=15.0
891f02b8cc3ffff,school,1,Services_POS_amenity around (Wismar) radius=15.0
891f02b8cd3ffff,school,2,Services_POS_amenity around (Wismar) radius=15.0
891f02bae87ffff,school,2,Services_POS_amenity around (Wismar) radius=15.0
891f02ba527ffff,school,1,Services_POS_amenity around (Wismar) radius=15.0
891f02b2e53ffff,school,1,Services_POS_amenity around (Wismar) radius=15.0
891f02b12d7ffff,clinic,1,Services_POS_amenity around (Wismar) radius=15.0
891f02aa64fffff,doctors,1,Services_POS_amenity around (Wismar) radius=15.0
891f02aa643ffff,doctors,1,Services_POS_amenity around (Wismar) radius=15.0
891f02b8c57ffff,doctors,1,Services_POS_amenity around (Wismar) radius=15.0
891f02bac23ffff,doctors,4,Services_POS_amenity around (Wismar) radius=15.0
891f02bac3bffff,pharmacy,1,Services_POS_amenity around (Wismar) radius=15.0
891f02bac33ffff,pharmacy,1,Services_POS_amenity around (Wismar) radius=15.0
891f02badd3ffff,pharmacy,1,Services_POS_amenity around (Wismar) radius=15.0
891f02b3583ffff,pharmacy,1,Services_POS_amenity around (Wismar) radius=15.0
