h3index,osmtag,z,layer_id
891f02b1e8bffff,hangar,5,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02b1e8bffff,apron,1,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02b1e13ffff,taxiway,1,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02b1e8bffff,taxiway,2,Transport_NEG_aeroway around (Wismar) radius=15.0
891f028e9d7ffff,primary,1,Transport_NEG_aeroway around (Wismar) radius=15.0
891f028e917ffff,primary,1,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02b92b7ffff,primary,1,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02b91d3ffff,primary,1,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02b9073ffff,primary,2,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02b907bffff,primary,1,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02b919bffff,primary,1,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02b91dbffff,primary,2,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02b9077ffff,primary,1,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02b9a6bffff,primary,1,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02b9887ffff,primary,1,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02b9d53ffff,primary,1,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02bb40fffff,primary,1,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02bb433ffff,primary,1,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02bb5cfffff,primary,2,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02bb5cbffff,primary,1,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02bb51bffff,primary,1,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02bb513ffff,primary,1,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02b8093ffff,primary,1,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02b80d7ffff,primary,1,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02b8053ffff,primary,1,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02b8297ffff,primary,2,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02ba5cbffff,primary,2,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02ba5cfffff,primary,1,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02ba437ffff,primary,2,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02ba50bffff,primary,4,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02b850bffff,primary,1,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02b8543ffff,primary,1,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02b854bffff,primary,1,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02baa47ffff,primary,1,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02b8e8bffff,primary,1,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02b8cdbffff,primary,1,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02b8507ffff,primary,1,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02bae6bffff,primary,3,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02b85a7ffff,primary,2,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02b8533ffff,primary,3,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02bae2bffff,primary,5,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02bae3bffff,primary,3,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02bae63ffff,primary,3,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02bae67ffff,primary,1,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02b1a73ffff,primary,1,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02b1a77ffff,primary,7,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02b1a3bffff,primary,2,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02b1a0fffff,primary,2,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02b1a23ffff,primary,3,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02a1c13ffff,primary,2,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02a1c03ffff,primary,1,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02a3127ffff,primary,1,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02a312fffff,primary,3,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02a02bbffff,primary,2,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02a0697ffff,primary,1,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02b1bcbffff,primary,1,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02b1bbbffff,primary,2,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02b197bffff,primary,4,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02b19afffff,primary,1,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02b0a6fffff,primary,1,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02a24d3ffff,primary,1,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02b086bffff,primary,5,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02b0aa7ffff,primary,1,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02b0d57ffff,primary,2,Transport_NEG_aeroway around (Wismar) radius=15.0
891f02b0d43ffff,primary,1,Transport_NEG_aeroway around (Wismar) radius=15.0
