h3index,osmtag,z,layer_id
891f02aa617ffff,bicycle_parking,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02baca7ffff,bicycle_parking,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02bacbbffff,bicycle_parking,2,Transport_POS_amenity around (Wismar) radius=15.0
891f02bac33ffff,bicycle_parking,3,Transport_POS_amenity around (Wismar) radius=15.0
891f02b3597ffff,bicycle_parking,2,Transport_POS_amenity around (Wismar) radius=15.0
891f02b2463ffff,bicycle_parking,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02bac23ffff,charging_station,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02b358fffff,charging_station,1,Transport_POS_amenity around (Wismar) radius=15.0
891f028e917ffff,platform,2,Transport_POS_amenity around (Wismar) radius=15.0
891f028e917ffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f028422fffff,platform,1,Transport_POS_amenity around (Wismar) radius=15.0
891f0284297ffff,platform,1,Transport_POS_amenity around (Wismar) radius=15.0
891f028462fffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02843dbffff,platform,2,Transport_POS_amenity around (Wismar) radius=15.0
891f02b92b7ffff,platform,2,Transport_POS_amenity around (Wismar) radius=15.0
891f02843dbffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02b92b7ffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02b9077ffff,platform,2,Transport_POS_amenity around (Wismar) radius=15.0
891f02b9077ffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02b91dbffff,platform,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02b91dbffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02b91d7ffff,platform,2,Transport_POS_amenity around (Wismar) radius=15.0
891f02b952fffff,platform,2,Transport_POS_amenity around (Wismar) radius=15.0
891f02b91d7ffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02b952fffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02b988fffff,platform,2,Transport_POS_amenity around (Wismar) radius=15.0
891f02b988fffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02ab593ffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02b9dcfffff,platform,2,Transport_POS_amenity around (Wismar) radius=15.0
891f02b9d97ffff,platform,2,Transport_POS_amenity around (Wismar) radius=15.0
891f02b9dcfffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02b9d97ffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02b8a0bffff,platform,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02b8a0bffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02bb663ffff,platform,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02bb663ffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02bb403ffff,platform,2,Transport_POS_amenity around (Wismar) radius=15.0
891f02bb433ffff,platform,2,Transport_POS_amenity around (Wismar) radius=15.0
891f02bb433ffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02bb403ffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02b80c7ffff,platform,2,Transport_POS_amenity around (Wismar) radius=15.0
891f02b80c7ffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02ba677ffff,platform,2,Transport_POS_amenity around (Wismar) radius=15.0
891f02ba67bffff,platform,2,Transport_POS_amenity around (Wismar) radius=15.0
891f02ba677ffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02ba67bffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02b8297ffff,platform,2,Transport_POS_amenity around (Wismar) radius=15.0
891f02b8297ffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f0285da3ffff,platform,1,Transport_POS_amenity around (Wismar) radius=15.0
891f0285dbbffff,platform,1,Transport_POS_amenity around (Wismar) radius=15.0
891f0284313ffff,platform,3,Transport_POS_amenity around (Wismar) radius=15.0
891f0284a47ffff,platform,2,Transport_POS_amenity around (Wismar) radius=15.0
891f0285dbbffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f0284313ffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f0284a47ffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02ba4bbffff,platform,2,Transport_POS_amenity around (Wismar) radius=15.0
891f02ba4bbffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02ba49bffff,platform,2,Transport_POS_amenity around (Wismar) radius=15.0
891f02ba49bffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02ba46bffff,platform,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02ba46bffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02ba6a7ffff,platform,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02ba5dbffff,platform,2,Transport_POS_amenity around (Wismar) radius=15.0
891f02ba437ffff,platform,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02ba5dbffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02ba4afffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02ba4afffff,platform,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02b8543ffff,platform,2,Transport_POS_amenity around (Wismar) radius=15.0
891f02b8543ffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02baa7bffff,platform,2,Transport_POS_amenity around (Wismar) radius=15.0
891f02baa7bffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02b8cdbffff,platform,2,Transport_POS_amenity around (Wismar) radius=15.0
891f02b8cdbffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02baa0bffff,platform,2,Transport_POS_amenity around (Wismar) radius=15.0
891f02b8cd3ffff,platform,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02b8cc3ffff,platform,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02b8cc7ffff,platform,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02b8c1bffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02b85a7ffff,platform,2,Transport_POS_amenity around (Wismar) radius=15.0
891f02b8533ffff,platform,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02b85a7ffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02b8533ffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02bae93ffff,platform,2,Transport_POS_amenity around (Wismar) radius=15.0
891f02bae93ffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02baa9bffff,platform,2,Transport_POS_amenity around (Wismar) radius=15.0
891f02baa9bffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02bae3bffff,platform,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02baa0bffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02bae3bffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02bae33ffff,platform,2,Transport_POS_amenity around (Wismar) radius=15.0
891f02bae33ffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02baea7ffff,platform,2,Transport_POS_amenity around (Wismar) radius=15.0
891f02ba8d3ffff,platform,2,Transport_POS_amenity around (Wismar) radius=15.0
891f02baea7ffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02ba897ffff,platform,2,Transport_POS_amenity around (Wismar) radius=15.0
891f02ba883ffff,platform,2,Transport_POS_amenity around (Wismar) radius=15.0
891f02ba88bffff,platform,2,Transport_POS_amenity around (Wismar) radius=15.0
891f02ba897ffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02ba883ffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02ba88bffff,stop_area,2,Transport_POS_amenity around (Wismar) radius=15.0
891f02bac77ffff,platform,2,Transport_POS_amenity around (Wismar) radius=15.0
891f02ba89bffff,platform,2,Transport_POS_amenity around (Wismar) radius=15.0
891f02bac77ffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02ba8d3ffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02ba89bffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02a349bffff,platform,2,Transport_POS_amenity around (Wismar) radius=15.0
891f02a349bffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02ba187ffff,platform,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02b124bffff,platform,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02ba187ffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02ba197ffff,platform,2,Transport_POS_amenity around (Wismar) radius=15.0
891f02ba197ffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02ba1b3ffff,platform,2,Transport_POS_amenity around (Wismar) radius=15.0
891f02ba1b3ffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02bacd3ffff,platform,2,Transport_POS_amenity around (Wismar) radius=15.0
891f02bacd3ffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02bacd3ffff,stop_position,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02bac17ffff,platform,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02bac03ffff,platform,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02bac03ffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02bacc7ffff,platform,2,Transport_POS_amenity around (Wismar) radius=15.0
891f02bacc7ffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02bacbbffff,platform,2,Transport_POS_amenity around (Wismar) radius=15.0
891f02bacbbffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02bac37ffff,platform,4,Transport_POS_amenity around (Wismar) radius=15.0
891f02bac27ffff,platform,2,Transport_POS_amenity around (Wismar) radius=15.0
891f02bac37ffff,stop_area,2,Transport_POS_amenity around (Wismar) radius=15.0
891f02bac27ffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02bac23ffff,platform,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02baca3ffff,platform,3,Transport_POS_amenity around (Wismar) radius=15.0
891f02baca7ffff,platform,3,Transport_POS_amenity around (Wismar) radius=15.0
891f02baca7ffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02b1363ffff,platform,4,Transport_POS_amenity around (Wismar) radius=15.0
891f02b1363ffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02badc7ffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02badc3ffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02baca3ffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02bad3bffff,platform,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02badcfffff,platform,2,Transport_POS_amenity around (Wismar) radius=15.0
891f02badd3ffff,platform,2,Transport_POS_amenity around (Wismar) radius=15.0
891f02badcfffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02bad03ffff,platform,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02bad1bffff,platform,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02bad1bffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02badd3ffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02b133bffff,platform,2,Transport_POS_amenity around (Wismar) radius=15.0
891f02b133bffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02bad23ffff,platform,3,Transport_POS_amenity around (Wismar) radius=15.0
891f02bad3bffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02bad23ffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02b1333ffff,platform,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02b13afffff,platform,3,Transport_POS_amenity around (Wismar) radius=15.0
891f02b13afffff,stop_area,2,Transport_POS_amenity around (Wismar) radius=15.0
891f02b13b7ffff,platform,2,Transport_POS_amenity around (Wismar) radius=15.0
891f02b13b7ffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02b1a5bffff,platform,2,Transport_POS_amenity around (Wismar) radius=15.0
891f02b1a5bffff,stop_area,1,Transport_POS_amenity around (Wismar) radius=15.0
891f02b184fffff,platform,1,Transport_POS_amenity around (Wismar) radius=15.0
