h3index,osmtag,z,layer_id
891f1a6a34fffff,industrial,1,Environment_NEG_geological around (Zwickau) radius=15.0
891f1a6a637ffff,industrial,1,Environment_NEG_geological around (Zwickau) radius=15.0
891f1a6a3cbffff,industrial,1,Environment_NEG_geological around (Zwickau) radius=15.0
891f1a78dd3ffff,industrial,1,Environment_NEG_geological around (Zwickau) radius=15.0
891f1a68887ffff,industrial,1,Environment_NEG_geological around (Zwickau) radius=15.0
891f1a68d4bffff,industrial,2,Environment_NEG_geological around (Zwickau) radius=15.0
891f1a68d43ffff,industrial,1,Environment_NEG_geological around (Zwickau) radius=15.0
891f1a6ae5bffff,industrial,1,Environment_NEG_geological around (Zwickau) radius=15.0
891f1a6a12fffff,industrial,1,Environment_NEG_geological around (Zwickau) radius=15.0
891f1a6a8cfffff,industrial,2,Environment_NEG_geological around (Zwickau) radius=15.0
891f1a6a83bffff,industrial,1,Environment_NEG_geological around (Zwickau) radius=15.0
891f1a6125bffff,industrial,1,Environment_NEG_geological around (Zwickau) radius=15.0
891f1a6adc7ffff,industrial,1,Environment_NEG_geological around (Zwickau) radius=15.0
891f1a6121bffff,industrial,1,Environment_NEG_geological around (Zwickau) radius=15.0
891f1a6120bffff,industrial,1,Environment_NEG_geological around (Zwickau) radius=15.0
891f1a61287ffff,industrial,1,Environment_NEG_geological around (Zwickau) radius=15.0
891f1a6104bffff,industrial,1,Environment_NEG_geological around (Zwickau) radius=15.0
891f1a61297ffff,industrial,1,Environment_NEG_geological around (Zwickau) radius=15.0
891f1a612b3ffff,industrial,1,Environment_NEG_geological around (Zwickau) radius=15.0
891f1a6104fffff,industrial,1,Environment_NEG_geological around (Zwickau) radius=15.0
891f1a612b7ffff,industrial,1,Environment_NEG_geological around (Zwickau) radius=15.0
891f1a61043ffff,industrial,1,Environment_NEG_geological around (Zwickau) radius=15.0
891f1a6f69bffff,industrial,1,Environment_NEG_geological around (Zwickau) radius=15.0
891f1a61a27ffff,industrial,1,Environment_NEG_geological around (Zwickau) radius=15.0
891f1a61b57ffff,industrial,1,Environment_NEG_geological around (Zwickau) radius=15.0
891f1a61b1bffff,industrial,1,Environment_NEG_geological around (Zwickau) radius=15.0
891f1a61ea3ffff,industrial,1,Environment_NEG_geological around (Zwickau) radius=15.0
891f1a61ccfffff,industrial,1,Environment_NEG_geological around (Zwickau) radius=15.0
891f1a618cbffff,industrial,1,Environment_NEG_geological around (Zwickau) radius=15.0
891f1a61bd3ffff,industrial,1,Environment_NEG_geological around (Zwickau) radius=15.0
891f1a61bd7ffff,industrial,1,Environment_NEG_geological around (Zwickau) radius=15.0
891f1a6186bffff,industrial,1,Environment_NEG_geological around (Zwickau) radius=15.0
891f1a61b93ffff,industrial,3,Environment_NEG_geological around (Zwickau) radius=15.0
891f1a61873ffff,industrial,1,Environment_NEG_geological around (Zwickau) radius=15.0
891f1a6182bffff,industrial,1,Environment_NEG_geological around (Zwickau) radius=15.0
891f1a61877ffff,industrial,1,Environment_NEG_geological around (Zwickau) radius=15.0
891f1a6183bffff,industrial,1,Environment_NEG_geological around (Zwickau) radius=15.0
891f1a61887ffff,industrial,2,Environment_NEG_geological around (Zwickau) radius=15.0
891f1a61817ffff,industrial,1,Environment_NEG_geological around (Zwickau) radius=15.0
891f1a618abffff,industrial,1,Environment_NEG_geological around (Zwickau) radius=15.0
891f1a61d5bffff,industrial,1,Environment_NEG_geological around (Zwickau) radius=15.0
891f1a618a3ffff,industrial,1,Environment_NEG_geological around (Zwickau) radius=15.0
891f1a61d4fffff,industrial,1,Environment_NEG_geological around (Zwickau) radius=15.0
891f1a6d3a7ffff,industrial,1,Environment_NEG_geological around (Zwickau) radius=15.0
891f1a6d557ffff,industrial,1,Environment_NEG_geological around (Zwickau) radius=15.0
891f1a6d503ffff,industrial,1,Environment_NEG_geological around (Zwickau) radius=15.0
