h3index,osmtag,z,layer_id
891f1a6a217ffff,place_of_worship,1,Leisure_POS_amenity around (Zwickau) radius=15.0
891f1a6a3b7ffff,place_of_worship,1,Leisure_POS_amenity around (Zwickau) radius=15.0
891f1a788b3ffff,place_of_worship,1,Leisure_POS_amenity around (Zwickau) radius=15.0
891f1a78d7bffff,place_of_worship,1,Leisure_POS_amenity around (Zwickau) radius=15.0
891f1a78d23ffff,place_of_worship,1,Leisure_POS_amenity around (Zwickau) radius=15.0
891f1a63653ffff,place_of_worship,1,Leisure_POS_amenity around (Zwickau) radius=15.0
891f1a63633ffff,place_of_worship,1,Leisure_POS_amenity around (Zwickau) radius=15.0
891f1a6d327ffff,place_of_worship,1,Leisure_POS_amenity around (Zwickau) radius=15.0
891f1a68513ffff,place_of_worship,1,Leisure_POS_amenity around (Zwickau) radius=15.0
891f1a68aa7ffff,place_of_worship,1,Leisure_POS_amenity around (Zwickau) radius=15.0
891f1a68d83ffff,place_of_worship,1,Leisure_POS_amenity around (Zwickau) radius=15.0
891f1a6a80bffff,place_of_worship,1,Leisure_POS_amenity around (Zwickau) radius=15.0
891f1a610c7ffff,place_of_worship,1,Leisure_POS_amenity around (Zwickau) radius=15.0
891f1a6146bffff,place_of_worship,1,Leisure_POS_amenity around (Zwickau) radius=15.0
891f1a61313ffff,place_of_worship,1,Leisure_POS_amenity around (Zwickau) radius=15.0
891f1a6103bffff,place_of_worship,1,Leisure_POS_amenity around (Zwickau) radius=15.0
891f1a6a94fffff,place_of_worship,1,Leisure_POS_amenity around (Zwickau) radius=15.0
891f1a6f40fffff,place_of_worship,1,Leisure_POS_amenity around (Zwickau) radius=15.0
891f1a6f48fffff,place_of_worship,2,Leisure_POS_amenity around (Zwickau) radius=15.0
891f1a6f487ffff,place_of_worship,1,Leisure_POS_amenity around (Zwickau) radius=15.0
891f1a61a23ffff,place_of_worship,1,Leisure_POS_amenity around (Zwickau) radius=15.0
891f1a618a3ffff,place_of_worship,1,Leisure_POS_amenity around (Zwickau) radius=15.0
