h3index,osmtag,z,layer_id
891f1a6f56fffff,department_store,1,Lifestyle_NEG_shop around (Zwickau) radius=15.0
891f1a619d7ffff,department_store,1,Lifestyle_NEG_shop around (Zwickau) radius=15.0
891f1a61b83ffff,wholesale,1,Lifestyle_NEG_shop around (Zwickau) radius=15.0
891f1a620dbffff,wholesale,1,Lifestyle_NEG_shop around (Zwickau) radius=15.0
891f1a75a73ffff,wholesale,1,Lifestyle_NEG_shop around (Zwickau) radius=15.0
891f1a680d7ffff,fast_food,1,Lifestyle_NEG_shop around (Zwickau) radius=15.0
891f1a6f687ffff,fast_food,1,Lifestyle_NEG_shop around (Zwickau) radius=15.0
891f1a61957ffff,fast_food,1,Lifestyle_NEG_shop around (Zwickau) radius=15.0
891f1a61ba7ffff,fast_food,1,Lifestyle_NEG_shop around (Zwickau) radius=15.0
891f1a61bb7ffff,fast_food,1,Lifestyle_NEG_shop around (Zwickau) radius=15.0
891f1a619c3ffff,fast_food,1,Lifestyle_NEG_shop around (Zwickau) radius=15.0
891f1a619d7ffff,fast_food,1,Lifestyle_NEG_shop around (Zwickau) radius=15.0
891f1a6cd0bffff,fast_food,1,Lifestyle_NEG_shop around (Zwickau) radius=15.0
891f1a6032fffff,fast_food,2,Lifestyle_NEG_shop around (Zwickau) radius=15.0
891f1a62657ffff,fast_food,1,Lifestyle_NEG_shop around (Zwickau) radius=15.0
891f1a62517ffff,fast_food,2,Lifestyle_NEG_shop around (Zwickau) radius=15.0
891f1a61d97ffff,fast_food,1,Lifestyle_NEG_shop around (Zwickau) radius=15.0
891f1a60d4fffff,fast_food,1,Lifestyle_NEG_shop around (Zwickau) radius=15.0
891f1a62acfffff,fast_food,1,Lifestyle_NEG_shop around (Zwickau) radius=15.0
891f1a62d5bffff,fast_food,1,Lifestyle_NEG_shop around (Zwickau) radius=15.0
891f1a62d3bffff,fast_food,1,Lifestyle_NEG_shop around (Zwickau) radius=15.0
891f1a75e43ffff,fast_food,1,Lifestyle_NEG_shop around (Zwickau) radius=15.0
891f1a629bbffff,fast_food,1,Lifestyle_NEG_shop around (Zwickau) radius=15.0
891f1a6554fffff,fast_food,1,Lifestyle_NEG_shop around (Zwickau) radius=15.0
891f1a67377ffff,fast_food,1,Lifestyle_NEG_shop around (Zwickau) radius=15.0
891f1a61dabffff,food_court,1,Lifestyle_NEG_shop around (Zwickau) radius=15.0
891f1a6f083ffff,car_painter,1,Lifestyle_NEG_shop around (Zwickau) radius=15.0
891f1a6e197ffff,agricultural_engines,1,Lifestyle_NEG_shop around (Zwickau) radius=15.0
