h3index,osmtag,z,layer_id
891f1a60d6bffff,bar,1,Lifestyle_POS_amenity around (Zwickau) radius=15.0
891f1a6542bffff,bar,1,Lifestyle_POS_amenity around (Zwickau) radius=15.0
891f1a65423ffff,bar,1,Lifestyle_POS_amenity around (Zwickau) radius=15.0
891f1a6803bffff,biergarten,1,Lifestyle_POS_amenity around (Zwickau) radius=15.0
891f1a68837ffff,biergarten,1,Lifestyle_POS_amenity around (Zwickau) radius=15.0
891f1a61bb3ffff,biergarten,1,Lifestyle_POS_amenity around (Zwickau) radius=15.0
891f1a6763bffff,biergarten,1,Lifestyle_POS_amenity around (Zwickau) radius=15.0
891f1a62657ffff,cafe,1,Lifestyle_POS_amenity around (Zwickau) radius=15.0
891f1a6299bffff,cafe,1,Lifestyle_POS_amenity around (Zwickau) radius=15.0
891f1a62d23ffff,cafe,1,Lifestyle_POS_amenity around (Zwickau) radius=15.0
891f1a6803bffff,restaurant,1,Lifestyle_POS_amenity around (Zwickau) radius=15.0
891f1a616cbffff,restaurant,1,Lifestyle_POS_amenity around (Zwickau) radius=15.0
891f1a788b3ffff,restaurant,1,Lifestyle_POS_amenity around (Zwickau) radius=15.0
891f1a6d24fffff,restaurant,1,Lifestyle_POS_amenity around (Zwickau) radius=15.0
891e34d2c93ffff,restaurant,1,Lifestyle_POS_amenity around (Zwickau) radius=15.0
891f1a6d35bffff,restaurant,1,Lifestyle_POS_amenity around (Zwickau) radius=15.0
891f1a68aa7ffff,restaurant,1,Lifestyle_POS_amenity around (Zwickau) radius=15.0
891f1a68b93ffff,restaurant,1,Lifestyle_POS_amenity around (Zwickau) radius=15.0
891f1a68837ffff,restaurant,1,Lifestyle_POS_amenity around (Zwickau) radius=15.0
891f1a68d83ffff,restaurant,1,Lifestyle_POS_amenity around (Zwickau) radius=15.0
891f1a6a197ffff,restaurant,1,Lifestyle_POS_amenity around (Zwickau) radius=15.0
891f1a6130fffff,restaurant,1,Lifestyle_POS_amenity around (Zwickau) radius=15.0
891f1a6181bffff,restaurant,1,Lifestyle_POS_amenity around (Zwickau) radius=15.0
891f1a6d543ffff,restaurant,1,Lifestyle_POS_amenity around (Zwickau) radius=15.0
891f1a6f087ffff,restaurant,1,Lifestyle_POS_amenity around (Zwickau) radius=15.0
891f1a6f5cbffff,restaurant,1,Lifestyle_POS_amenity around (Zwickau) radius=15.0
891f1a6f1dbffff,restaurant,1,Lifestyle_POS_amenity around (Zwickau) radius=15.0
