h3index,osmtag,z,layer_id
891f1a6a35bffff,kindergarten,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a634bbffff,kindergarten,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a685bbffff,kindergarten,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a689cbffff,kindergarten,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a6162fffff,kindergarten,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a61017ffff,kindergarten,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a6f4bbffff,kindergarten,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a61a2fffff,kindergarten,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a618dbffff,kindergarten,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a61c6bffff,kindergarten,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a61d57ffff,kindergarten,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a6f1c3ffff,kindergarten,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a6f18fffff,kindergarten,2,Services_POS_amenity around (Zwickau) radius=15.0
891f1a6e277ffff,kindergarten,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a6e04fffff,kindergarten,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a61b33ffff,kindergarten,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a6182fffff,kindergarten,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a619c7ffff,kindergarten,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a61913ffff,kindergarten,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a60a63ffff,kindergarten,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a6e5b3ffff,kindergarten,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a6ec43ffff,kindergarten,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a65a87ffff,kindergarten,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a63357ffff,kindergarten,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a602cbffff,kindergarten,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a6265bffff,kindergarten,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a62657ffff,kindergarten,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a62613ffff,kindergarten,2,Services_POS_amenity around (Zwickau) radius=15.0
891f1a71927ffff,kindergarten,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a62537ffff,kindergarten,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a75673ffff,kindergarten,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a61d07ffff,kindergarten,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a608a3ffff,kindergarten,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a62a53ffff,kindergarten,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a62d23ffff,kindergarten,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a62917ffff,kindergarten,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a62907ffff,kindergarten,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a75ac7ffff,kindergarten,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a65087ffff,kindergarten,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a67383ffff,kindergarten,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a67387ffff,kindergarten,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a6261bffff,library,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a6554fffff,library,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a78d3bffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a6d327ffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a68507ffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a6120bffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a6100fffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a6a913ffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a6ad3bffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a6f48fffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a61137ffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a61c7bffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a6189bffff,school,2,Services_POS_amenity around (Zwickau) radius=15.0
891f1a6d573ffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a6c197ffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a6f55bffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a6f1c3ffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a6f1dbffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a6f50fffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a6e643ffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a6f183ffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a6e043ffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a6e04bffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a61943ffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a6191bffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a619c3ffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a61d73ffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a60a53ffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a6e94bffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a65ad7ffff,school,2,Services_POS_amenity around (Zwickau) radius=15.0
891f1a61097ffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a61093ffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a6143bffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a6350fffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a60193ffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a62643ffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a635b3ffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a62693ffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a62533ffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a7567bffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a75663ffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a7566fffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a75283ffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a75287ffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a61d07ffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a60ed3ffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a656d3ffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a6738bffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a62903ffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a6298bffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a62d67ffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a62d2bffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a62997ffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a62923ffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a75a53ffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a629b7ffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a650bbffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a65543ffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a65087ffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a67383ffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a65163ffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a65127ffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a64663ffff,school,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a6f1d7ffff,dentist,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a619d7ffff,dentist,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a61d17ffff,dentist,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a60d6bffff,dentist,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a6a803ffff,doctors,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a61c43ffff,doctors,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a61c6bffff,doctors,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a61dcfffff,doctors,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a6f5c3ffff,doctors,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a6e287ffff,doctors,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a6182fffff,doctors,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a619d7ffff,doctors,1,Services_POS_amenity around (Zwickau) radius=15.0
891f1a62647ffff,doctors,1,Services_POS_amenity around (Zwickau) radius=15.0
