h3index,osmtag,z,layer_id
891f1a61e8bffff,helipad,2,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6550fffff,apron,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a680c3ffff,primary,2,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6854bffff,primary,2,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a68097ffff,primary,2,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a68087ffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6809bffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a680d7ffff,primary,2,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a7ab6bffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a78d2bffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a78d3bffff,primary,2,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a614dbffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a789a3ffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a789bbffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a78d2fffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a7ab6fffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a78d03ffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a680b7ffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a68567ffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6ae6bffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a685a7ffff,primary,2,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a68537ffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6ae6fffff,primary,2,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6aa93ffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a689abffff,primary,2,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a68d0bffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a68d63ffff,primary,8,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a68d73ffff,primary,4,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6899bffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6ae2fffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6a873ffff,primary,4,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6a847ffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6a857ffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6a843ffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6a85bffff,primary,2,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a611dbffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6111bffff,primary,6,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a611c7ffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a610a7ffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6ad3bffff,primary,2,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6ad37ffff,primary,3,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a61adbffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6adb7ffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a61e4fffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a61ecbffff,primary,3,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a61e43ffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a61a8bffff,primary,2,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a61ad7ffff,primary,2,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a61ec3ffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a61a83ffff,primary,2,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a61c0bffff,primary,2,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a61c57ffff,primary,2,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a61137ffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a61ccfffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a61ccbffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6184bffff,primary,5,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a61ab3ffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a61c67ffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6182bffff,primary,3,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6188fffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a618bbffff,primary,3,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a618abffff,primary,6,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6187bffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a61823ffff,primary,3,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a618afffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6d3a7ffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a61c0fffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6d0d3ffff,primary,2,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6d073ffff,primary,2,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6d01bffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6d0d7ffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6d00bffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6d39bffff,primary,2,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6d067ffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6d16bffff,primary,2,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6d6a3ffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6d3bbffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6d383ffff,primary,3,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6f127ffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6f123ffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6c45bffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6d12fffff,primary,3,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6dc5bffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6dc43ffff,primary,3,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6dc6bffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6dc7bffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6dc0bffff,primary,2,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6d167ffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6d12bffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6d16fffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6dc13ffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6c267ffff,primary,4,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6dc9bffff,primary,2,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6c277ffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6dc63ffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6dc67ffff,primary,2,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6dc0fffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6d893ffff,primary,9,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6c207ffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6c04bffff,primary,3,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6c05bffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6c6a3ffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6c44fffff,primary,3,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6c6b7ffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6f573ffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6f567ffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6f5c7ffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6f5d7ffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
891f1a6f50bffff,primary,1,Transport_NEG_aeroway around (Zwickau) radius=15.0
