h3index,osmtag,z,layer_id
891f1a61d57ffff,bicycle_parking,2,Transport_POS_amenity around (Zwickau) radius=15.0
891f1a61babffff,bicycle_parking,1,Transport_POS_amenity around (Zwickau) radius=15.0
891f1a6e043ffff,bicycle_parking,1,Transport_POS_amenity around (Zwickau) radius=15.0
891f1a61d0bffff,bicycle_parking,1,Transport_POS_amenity around (Zwickau) radius=15.0
891f1a6e627ffff,bicycle_parking,1,Transport_POS_amenity around (Zwickau) radius=15.0
891f1a65a87ffff,bicycle_parking,1,Transport_POS_amenity around (Zwickau) radius=15.0
891f1a65aafffff,bicycle_parking,1,Transport_POS_amenity around (Zwickau) radius=15.0
891f1a63533ffff,bicycle_parking,1,Transport_POS_amenity around (Zwickau) radius=15.0
891f1a75673ffff,bicycle_parking,1,Transport_POS_amenity around (Zwickau) radius=15.0
891f1a62ad3ffff,bicycle_parking,1,Transport_POS_amenity around (Zwickau) radius=15.0
891f1a62dcfffff,bicycle_parking,1,Transport_POS_amenity around (Zwickau) radius=15.0
891f1a650afffff,bicycle_parking,2,Transport_POS_amenity around (Zwickau) radius=15.0
891f1a658dbffff,bicycle_parking,1,Transport_POS_amenity around (Zwickau) radius=15.0
891f1a6714bffff,bicycle_parking,2,Transport_POS_amenity around (Zwickau) radius=15.0
891f1a610cbffff,bus_station,1,Transport_POS_amenity around (Zwickau) radius=15.0
891f1a6d037ffff,charging_station,1,Transport_POS_amenity around (Zwickau) radius=15.0
891f1a619d7ffff,charging_station,1,Transport_POS_amenity around (Zwickau) radius=15.0
891f1a656d3ffff,charging_station,1,Transport_POS_amenity around (Zwickau) radius=15.0
891f1a6841bffff,stop_area,1,Transport_POS_amenity around (Zwickau) radius=15.0
891f1a6841bffff,stop_position,1,Transport_POS_amenity around (Zwickau) radius=15.0
891f1a6841bffff,platform,2,Transport_POS_amenity around (Zwickau) radius=15.0
891f1a680d7ffff,stop_area,1,Transport_POS_amenity around (Zwickau) radius=15.0
891f1a680c3ffff,platform,1,Transport_POS_amenity around (Zwickau) radius=15.0
891f1a680c3ffff,stop_position,1,Transport_POS_amenity around (Zwickau) radius=15.0
891f1a68053ffff,stop_area,1,Transport_POS_amenity around (Zwickau) radius=15.0
891f1a68053ffff,stop_position,1,Transport_POS_amenity around (Zwickau) radius=15.0
891f1a68053ffff,platform,1,Transport_POS_amenity around (Zwickau) radius=15.0
891f1a680c7ffff,stop_area,1,Transport_POS_amenity around (Zwickau) radius=15.0
891f1a68467ffff,stop_area,1,Transport_POS_amenity around (Zwickau) radius=15.0
891f1a680d7ffff,platform,1,Transport_POS_amenity around (Zwickau) radius=15.0
891f1a680d7ffff,stop_position,1,Transport_POS_amenity around (Zwickau) radius=15.0
891f1a680c7ffff,stop_position,1,Transport_POS_amenity around (Zwickau) radius=15.0
891f1a680c7ffff,platform,1,Transport_POS_amenity around (Zwickau) radius=15.0
891f1a68467ffff,stop_position,1,Transport_POS_amenity around (Zwickau) radius=15.0
