h3index,res,lat,lon,osmid
891e34d0bbbffff,9,50.4977204,12.5794195,https://www.openstreetmap.org/way/729307174
891e34d560bffff,9,50.492084,12.607863,https://www.openstreetmap.org/way/747294521
891e34d0847ffff,9,50.5039616,12.553685,https://www.openstreetmap.org/way/437944198
891e34d54d7ffff,9,50.5183059,12.615105,https://www.openstreetmap.org/way/392292177
891e34d721bffff,9,50.5298526,12.5993642,https://www.openstreetmap.org/way/110561134
891e34d2a63ffff,9,50.5352901,12.5212058,https://www.openstreetmap.org/way/792730313
891e34d21a7ffff,9,50.580453,12.4971936,https://www.openstreetmap.org/way/390040382
891e34d2d4bffff,9,50.5720809,12.5399903,https://www.openstreetmap.org/way/241643631
891e34d2d47ffff,9,50.5746147,12.5469302,https://www.openstreetmap.org/way/238986338
891e34d2d47ffff,9,50.5747516,12.543281,https://www.openstreetmap.org/way/238986341
891e34d2d8bffff,9,50.5866155,12.5448061,https://www.openstreetmap.org/way/238986342
891f1a6d3a7ffff,9,50.6020975,12.5453397,https://www.openstreetmap.org/way/238986580
891f1a6d557ffff,9,50.6285203,12.5190899,https://www.openstreetmap.org/way/696174702
891f1a6d503ffff,9,50.6323994,12.5274048,https://www.openstreetmap.org/way/575358554
891f1a6f30fffff,9,50.645829,12.5129203,https://www.openstreetmap.org/way/661163162
891f1a6f323ffff,9,50.6476327,12.5204657,https://www.openstreetmap.org/way/412380532
891f1a6c253ffff,9,50.6317329,12.5501842,https://www.openstreetmap.org/way/665072127
891f1a6c443ffff,9,50.6631224,12.5494803,https://www.openstreetmap.org/way/313961727
891f1a6c44fffff,9,50.6631662,12.5531455,https://www.openstreetmap.org/way/439837321
891f1a6c46fffff,9,50.6590787,12.5670171,https://www.openstreetmap.org/way/231213513
891f1a6f137ffff,9,50.6680011,12.5380355,https://www.openstreetmap.org/way/314087010
891f1a6c5cbffff,9,50.6712646,12.5790682,https://www.openstreetmap.org/way/612345590
891f1a6e353ffff,9,50.6853647,12.5645337,https://www.openstreetmap.org/way/320202168
891f1a6e31bffff,9,50.687296,12.5699159,https://www.openstreetmap.org/way/656626531
891f1a6c59bffff,9,50.6784322,12.5868847,https://www.openstreetmap.org/way/681187182
891e34d539bffff,9,50.4888382,12.6530576,https://www.openstreetmap.org/way/727689034
891e34d540fffff,9,50.5114769,12.6269749,https://www.openstreetmap.org/way/391298025
891e34d5013ffff,9,50.5005143,12.6411338,https://www.openstreetmap.org/way/293293881
