h3index,res,lat,lon,osmid
891e34d288bffff,9,50.5660034,12.5290274,https://www.openstreetmap.org/way/217798681
891e34d288bffff,9,50.5661841,12.5311709,https://www.openstreetmap.org/way/446233839
891e34d2dd7ffff,9,50.583802,12.5409353,https://www.openstreetmap.org/way/238772046
891e34d2d8bffff,9,50.5850811,12.5444519,https://www.openstreetmap.org/way/238776614
891f1a6d327ffff,9,50.5944603,12.5484177,https://www.openstreetmap.org/way/238535831
891e34d2b27ffff,9,50.5430044,12.5689891,https://www.openstreetmap.org/way/266534105
891f1a6d0a7ffff,9,50.6204406,12.527606,https://www.openstreetmap.org/way/281253468
891f1a6d0b7ffff,9,50.621503,12.5260216,https://www.openstreetmap.org/way/527357879
891f1a6d57bffff,9,50.6235446,12.5244443,https://www.openstreetmap.org/way/744172104
891f1a6d193ffff,9,50.625497,12.5407199,https://www.openstreetmap.org/way/556249096
891f1a6c08bffff,9,50.657314,12.5730112,https://www.openstreetmap.org/way/256175960
891f1a6c193ffff,9,50.6648792,12.6072893,https://www.openstreetmap.org/way/473193781
891f1a6e34bffff,9,50.6805421,12.5653269,https://www.openstreetmap.org/way/424878990
891f1a6eadbffff,9,50.6748978,12.6089254,https://www.openstreetmap.org/way/355796013
891f1a6e1b7ffff,9,50.7147166,12.6031153,https://www.openstreetmap.org/way/576893690
891e34d5033ffff,9,50.4977009,12.6534257,https://www.openstreetmap.org/way/216819221
891e34d5033ffff,9,50.4973922,12.651795,https://www.openstreetmap.org/way/242872531
891e34d540fffff,9,50.5128769,12.6275929,https://www.openstreetmap.org/way/391298021
891e34d5d63ffff,9,50.4965128,12.749689,https://www.openstreetmap.org/node/2441359004
891e34d46a3ffff,9,50.5402103,12.6825674,https://www.openstreetmap.org/way/239277025
891e34d66d7ffff,9,50.5907563,12.6407976,https://www.openstreetmap.org/way/43513458
891e34d662fffff,9,50.5827727,12.6675422,https://www.openstreetmap.org/way/225713539
891e34d4637ffff,9,50.5353554,12.6903023,https://www.openstreetmap.org/way/239176711
891e34d615bffff,9,50.5852509,12.7052137,https://www.openstreetmap.org/way/331346927
891e34d61cbffff,9,50.5906081,12.7049185,https://www.openstreetmap.org/way/304688279
891e34d5bafffff,9,50.4729983,12.7632147,https://www.openstreetmap.org/way/235614011
891e34c66d3ffff,9,50.4750248,12.7681743,https://www.openstreetmap.org/way/235712113
