h3index,res,lat,lon,osmid
891e34d56cfffff,9,50.4938797,12.5992046,https://www.openstreetmap.org/way/144327722
891e34d56c7ffff,9,50.497497,12.6006287,https://www.openstreetmap.org/node/2017290744
891e34d54d7ffff,9,50.5177147,12.6133994,https://www.openstreetmap.org/node/3043821982
891e34d2a27ffff,9,50.5411433,12.5340537,https://www.openstreetmap.org/way/797685719
891e34d72c7ffff,9,50.533027,12.5991246,https://www.openstreetmap.org/way/110522321
891e34d539bffff,9,50.4887022,12.6530559,https://www.openstreetmap.org/way/810687636
891e34d5a9bffff,9,50.4734219,12.7088199,https://www.openstreetmap.org/way/362070608
891e34d753bffff,9,50.5652185,12.6454456,https://www.openstreetmap.org/node/2843724600
891e34d608fffff,9,50.5959739,12.6876949,https://www.openstreetmap.org/way/233726658
891e34d489bffff,9,50.5327624,12.7856731,https://www.openstreetmap.org/way/233360052
891e34d49cfffff,9,50.5281583,12.8210616,https://www.openstreetmap.org/way/620140349
891e34d4c83ffff,9,50.550037,12.7740246,https://www.openstreetmap.org/way/416875733
891e34d4c33ffff,9,50.5438571,12.7893564,https://www.openstreetmap.org/way/236632978
891e348b617ffff,9,50.5659105,12.8289581,https://www.openstreetmap.org/way/910429252
891f1a6cd0bffff,9,50.6578031,12.6807146,https://www.openstreetmap.org/way/232303807
891e34991abffff,9,50.6360013,12.7947226,https://www.openstreetmap.org/way/682740095
891e349a6cfffff,9,50.7187259,12.7551647,https://www.openstreetmap.org/node/4505036489
891e349a687ffff,9,50.725999,12.7631161,https://www.openstreetmap.org/node/376989089
