h3index,res,lat,lon,osmid
891e34d5643ffff,9,50.4894358,12.5971427,https://www.openstreetmap.org/way/236196574
891e34d561bffff,9,50.4949507,12.6017811,https://www.openstreetmap.org/node/2304053156
891e34d5a9bffff,9,50.4735357,12.7088524,https://www.openstreetmap.org/way/362070606
891e34d43bbffff,9,50.5251065,12.7317733,https://www.openstreetmap.org/way/225091221
891e34d614bffff,9,50.5824382,12.7115085,https://www.openstreetmap.org/way/727413552
891e34d4dcbffff,9,50.5447872,12.7981519,https://www.openstreetmap.org/way/225036029
891e34d4da3ffff,9,50.5508143,12.8230707,https://www.openstreetmap.org/way/225036030
891e34985afffff,9,50.692069,12.8473862,https://www.openstreetmap.org/way/227335667
891e34d2b27ffff,9,50.5434257,12.570982,https://www.openstreetmap.org/way/445309795
891e34d5017ffff,9,50.5011526,12.6451998,https://www.openstreetmap.org/way/242916988
891e34d6b57ffff,9,50.5595031,12.7852381,https://www.openstreetmap.org/way/241183643
891e349a2cfffff,9,50.702335733,12.774166366,https://www.openstreetmap.org/relation/5876617
891f1a6d96fffff,9,50.5951847,12.6405392,https://www.openstreetmap.org/node/8756768255
891e3499c53ffff,9,50.6301983,12.8100491,https://www.openstreetmap.org/node/5062165221
891e34d0c8bffff,9,50.5300334,12.5314309,https://www.openstreetmap.org/way/600956197
891e34d0967ffff,9,50.5049751,12.6006301,https://www.openstreetmap.org/way/265054479
891e34d2c93ffff,9,50.5881355,12.5111848,https://www.openstreetmap.org/way/240358946
891e34d2d4bffff,9,50.5719236,12.5380713,https://www.openstreetmap.org/way/241658413
891e34d2c8fffff,9,50.5817915,12.5162454,https://www.openstreetmap.org/way/240396871
891f1a6d35bffff,9,50.5899887,12.516651,https://www.openstreetmap.org/way/240356108
891f1a6d543ffff,9,50.6271221,12.5206586,https://www.openstreetmap.org/way/292098991
891f1a6e35bffff,9,50.6837281,12.5604391,https://www.openstreetmap.org/way/445078399
891e34d5403ffff,9,50.5138291,12.6262742,https://www.openstreetmap.org/node/3946852255
891e34d753bffff,9,50.5652316,12.6451176,https://www.openstreetmap.org/node/665341895
891f1a6d96fffff,9,50.5951739,12.6404476,https://www.openstreetmap.org/node/3364674873
891f1a6d967ffff,9,50.5954754,12.6408844,https://www.openstreetmap.org/node/4636954090
891f1a6d967ffff,9,50.5964551,12.6402183,https://www.openstreetmap.org/node/8756768251
891e34d46afffff,9,50.5399061,12.6873694,https://www.openstreetmap.org/way/239278628
891e34d46b7ffff,9,50.5435463,12.684686,https://www.openstreetmap.org/way/239290784
891e34d5d33ffff,9,50.5048254,12.7561792,https://www.openstreetmap.org/way/228646268
891e34d4917ffff,9,50.5321701,12.832752,https://www.openstreetmap.org/node/1302312949
891e34d4d27ffff,9,50.5431108,12.8291304,https://www.openstreetmap.org/way/60341853
891e34d4db7ffff,9,50.5528413,12.8219745,https://www.openstreetmap.org/way/241085647
891e348b617ffff,9,50.5657004,12.828792,https://www.openstreetmap.org/way/161859355
891e34895dbffff,9,50.534649,12.8818552,https://www.openstreetmap.org/way/247013537
891f1a6c82fffff,9,50.6368903,12.6788155,https://www.openstreetmap.org/way/301674590
891f1a6eb5bffff,9,50.6705294,12.6499953,https://www.openstreetmap.org/way/294764935
891f1a6ec57ffff,9,50.706604,12.6193567,https://www.openstreetmap.org/way/388086561
891f1a6ed0fffff,9,50.7098208,12.6647389,https://www.openstreetmap.org/way/221548711
891f1a65b63ffff,9,50.7076774,12.731065,https://www.openstreetmap.org/way/353061810
891e3499c47ffff,9,50.6295419,12.8169442,https://www.openstreetmap.org/way/237690713
891e34995cfffff,9,50.64676,12.7590623,https://www.openstreetmap.org/way/240805421
891e348b1abffff,9,50.5723966,12.9026362,https://www.openstreetmap.org/way/379342479
891e34d608bffff,9,50.5949754,12.6801268,https://www.openstreetmap.org/way/864819382
891e34d4c77ffff,9,50.5375219,12.7847612,https://www.openstreetmap.org/node/6723101269
891f1a6ec33ffff,9,50.7092751,12.6337784,https://www.openstreetmap.org/way/388030572
891f1a65ad7ffff,9,50.7187744,12.6827505,https://www.openstreetmap.org/way/234444643
891f1a6c013ffff,9,50.6544638,12.5760677,https://www.openstreetmap.org/way/256175941
891f1a6e20fffff,9,50.6840217,12.5453197,https://www.openstreetmap.org/way/320187998
891f1a6e20fffff,9,50.6829779,12.5450187,https://www.openstreetmap.org/way/330417160
891f1a6c4cfffff,9,50.6684235,12.5524414,https://www.openstreetmap.org/way/509575478
891f1a6e343ffff,9,50.68348,12.5644082,https://www.openstreetmap.org/way/371505290
891f1a6c5a7ffff,9,50.6778835,12.6076782,https://www.openstreetmap.org/way/813436056
891e34d7573ffff,9,50.5624064,12.6356197,https://www.openstreetmap.org/way/227565513
891e34d7577ffff,9,50.5626984,12.6408763,https://www.openstreetmap.org/node/1478904096
891e34d750bffff,9,50.5657898,12.6370367,https://www.openstreetmap.org/way/134509528
891e34d750bffff,9,50.5649438,12.6370578,https://www.openstreetmap.org/way/227565515
891f1a6d977ffff,9,50.5996211,12.6389666,https://www.openstreetmap.org/way/798316500
891f1a6d977ffff,9,50.5996213,12.6391555,https://www.openstreetmap.org/way/798316501
891e34d46afffff,9,50.5391176,12.6873951,https://www.openstreetmap.org/way/222923703
891e34d4053ffff,9,50.5351589,12.6950927,https://www.openstreetmap.org/way/239175949
891e34d444fffff,9,50.5460818,12.6854309,https://www.openstreetmap.org/way/239291587
891e34d602fffff,9,50.5866786,12.7039543,https://www.openstreetmap.org/way/338849287
891e34d4c77ffff,9,50.5373848,12.7843075,https://www.openstreetmap.org/node/4353824731
891e34d4c37ffff,9,50.5435161,12.7931155,https://www.openstreetmap.org/way/233388962
891e34d690fffff,9,50.5769419,12.810007,https://www.openstreetmap.org/way/244091152
891f1a6d90fffff,9,50.6018701,12.6369939,https://www.openstreetmap.org/way/940590721
891f1a6ec57ffff,9,50.7068373,12.6189697,https://www.openstreetmap.org/way/388129373
891f1a65a9bffff,9,50.7206239,12.6867263,https://www.openstreetmap.org/way/222636363
891e349a647ffff,9,50.7139793,12.7563517,https://www.openstreetmap.org/way/333987858
