h3index,res,lat,lon,osmid
891e3491047ffff,9,50.7559678,12.8588248,https://www.openstreetmap.org/way/300802766
891f1a2992bffff,9,50.8627644,12.865437,https://www.openstreetmap.org/way/860318541
891e349ad4bffff,9,50.7195204,12.8889719,https://www.openstreetmap.org/way/929865521
891e3491ad3ffff,9,50.7350839,12.9199793,https://www.openstreetmap.org/way/865693301
891e34902d7ffff,9,50.7870664,12.9026545,https://www.openstreetmap.org/way/240496198
891e3492343ffff,9,50.8315241,12.9173041,https://www.openstreetmap.org/way/871898621
891e3492357ffff,9,50.8331065,12.918529,https://www.openstreetmap.org/way/591248569
891e349230bffff,9,50.8332266,12.9234119,https://www.openstreetmap.org/way/237855286
891e34923d3ffff,9,50.8398508,12.9100168,https://www.openstreetmap.org/node/8809115662
891e3492067ffff,9,50.8447407,12.9137057,https://www.openstreetmap.org/node/864041003
891e349238fffff,9,50.8402553,12.9271472,https://www.openstreetmap.org/way/223849040
891e3492397ffff,9,50.8443747,12.9259087,https://www.openstreetmap.org/way/845049208
891f1a2d3a7ffff,9,50.8815918,13.0059984,https://www.openstreetmap.org/way/813674743
891f1a2d16bffff,9,50.8824477,13.0091844,https://www.openstreetmap.org/way/813207855
891f1a2d16bffff,9,50.8832665,13.0105155,https://www.openstreetmap.org/way/586114523
