h3index,res,lat,lon,osmid
891e349a80bffff,9,50.7072403,12.8819602,https://www.openstreetmap.org/way/218729876
891f1a64883ffff,9,50.7794023,12.7750927,https://www.openstreetmap.org/way/295637388
891f1a29323ffff,9,50.8588378,12.7651289,https://www.openstreetmap.org/way/256314553
891f1a29327ffff,9,50.8581676,12.7671758,https://www.openstreetmap.org/way/258342392
891f1a29e5bffff,9,50.8550049,12.7735582,https://www.openstreetmap.org/way/256208199
891f1a29e6fffff,9,50.8509031,12.7927588,https://www.openstreetmap.org/way/221409278
891e349311bffff,9,50.81478,12.8713278,https://www.openstreetmap.org/way/94527400
891f1a2867bffff,9,50.9051359,12.7632014,https://www.openstreetmap.org/way/647818085
891f1a280abffff,9,50.9174541,12.8046824,https://www.openstreetmap.org/way/790256450
891f1a28017ffff,9,50.9194159,12.8028911,https://www.openstreetmap.org/way/292423638
891f1a280bbffff,9,50.9199322,12.8019476,https://www.openstreetmap.org/way/292425150
891f1a29dcfffff,9,50.8828198,12.8251217,https://www.openstreetmap.org/way/306403359
891f1a28107ffff,9,50.9195243,12.8398182,https://www.openstreetmap.org/way/213220832
891f1a2ab0bffff,9,50.9366976,12.8828803,https://www.openstreetmap.org/way/211090784
891e34836a3ffff,9,50.7009831,12.9450215,https://www.openstreetmap.org/way/312113532
891e3483543ffff,9,50.7112365,12.9792198,https://www.openstreetmap.org/way/320685050
891e34906bbffff,9,50.8038901,12.8985274,https://www.openstreetmap.org/way/212787969
891e3493127ffff,9,50.8148335,12.8932797,https://www.openstreetmap.org/way/225497615
891e349048fffff,9,50.8217271,12.9084959,https://www.openstreetmap.org/way/92692044
891e3492223ffff,9,50.8321833,12.9067104,https://www.openstreetmap.org/way/271901446
891e3492377ffff,9,50.8307389,12.9316302,https://www.openstreetmap.org/node/1580044447
891e3492377ffff,9,50.8301464,12.9322813,https://www.openstreetmap.org/way/206094164
891e34905c7ffff,9,50.8223659,12.9377455,https://www.openstreetmap.org/way/108512229
891e349059bffff,9,50.8269176,12.9368402,https://www.openstreetmap.org/way/76563138
891e34905abffff,9,50.8209609,12.9530651,https://www.openstreetmap.org/way/94800460
891e3492e4fffff,9,50.8301193,12.9528022,https://www.openstreetmap.org/way/108882141
891e3492e6bffff,9,50.8283151,12.9628593,https://www.openstreetmap.org/way/108639916
891e348258bffff,9,50.7597766,13.0464907,https://www.openstreetmap.org/way/396539711
891e3482193ffff,9,50.7489383,13.0678247,https://www.openstreetmap.org/way/783249563
891e349096bffff,9,50.7802333,13.051088,https://www.openstreetmap.org/way/232060688
891e3495617ffff,9,50.7754072,13.0722239,https://www.openstreetmap.org/way/452263385
891e3495633ffff,9,50.7748064,13.0795984,https://www.openstreetmap.org/way/300638259
891f1a2db53ffff,9,50.8612531,13.0688407,https://www.openstreetmap.org/way/256482455
891e3497313ffff,9,50.8131672,13.0998403,https://www.openstreetmap.org/way/819019919
891f1a28943ffff,9,50.901357,12.9135547,https://www.openstreetmap.org/way/194620446
891f1a2d3dbffff,9,50.8772216,12.9739789,https://www.openstreetmap.org/way/690912257
891f1a2f5dbffff,9,50.9642267,12.9490073,https://www.openstreetmap.org/way/300610703
891f1a2f5dbffff,9,50.9625228,12.950211,https://www.openstreetmap.org/way/766574827
891f1a2f397ffff,9,50.9362705,12.9707641,https://www.openstreetmap.org/way/246131731
891f1a2dca3ffff,9,50.9010456,13.0543555,https://www.openstreetmap.org/way/435216971
891f1a2c23bffff,9,50.9095035,13.0330347,https://www.openstreetmap.org/way/299747854
891f1a2c227ffff,9,50.911852,13.0412956,https://www.openstreetmap.org/way/378027690
891f1a2c097ffff,9,50.9409796,13.0373472,https://www.openstreetmap.org/way/210598450
891f1a64833ffff,9,50.7735514,12.7876484,https://www.openstreetmap.org/way/247337012
891f1a2930fffff,9,50.8579169,12.7532596,https://www.openstreetmap.org/node/8618995200
891f1a29323ffff,9,50.8574528,12.7632708,https://www.openstreetmap.org/node/8830050865
891f1a29e4bffff,9,50.8538996,12.7752144,https://www.openstreetmap.org/node/8758961175
891f1a29ec7ffff,9,50.8639575,12.7782979,https://www.openstreetmap.org/node/8880287716
891e3493413ffff,9,50.8310199,12.818972,https://www.openstreetmap.org/way/7954117
891e349348bffff,9,50.8330391,12.818318,https://www.openstreetmap.org/way/261816685
891f1a2990fffff,9,50.8629351,12.8558697,https://www.openstreetmap.org/node/1180301334
891e3492677ffff,9,50.8462039,12.8778728,https://www.openstreetmap.org/way/585116387
891f1a282c7ffff,9,50.8982437,12.7742575,https://www.openstreetmap.org/node/1860230803
891f1a28277ffff,9,50.8926002,12.7890268,https://www.openstreetmap.org/way/343244858
891f1a28017ffff,9,50.9192662,12.8034887,https://www.openstreetmap.org/way/292424719
891f1a280abffff,9,50.9199656,12.8065213,https://www.openstreetmap.org/way/215633565
891f1a281dbffff,9,50.9195312,12.8151367,https://www.openstreetmap.org/way/173899578
891f1a29d4fffff,9,50.8755168,12.8271897,https://www.openstreetmap.org/node/1833851565
891f1a29d17ffff,9,50.8856371,12.8372448,https://www.openstreetmap.org/way/232607681
891f1a2aa6fffff,9,50.9272109,12.8539925,https://www.openstreetmap.org/way/390156664
891e348352bffff,9,50.711766,12.9970698,https://www.openstreetmap.org/way/412119641
891e349119bffff,9,50.7687469,12.8894463,https://www.openstreetmap.org/way/809271129
891e349119bffff,9,50.7695021,12.8888737,https://www.openstreetmap.org/way/809617174
891e349119bffff,9,50.7694013,12.8892234,https://www.openstreetmap.org/way/809271128
891e349119bffff,9,50.7689104,12.8900587,https://www.openstreetmap.org/way/809271130
891e349119bffff,9,50.7693093,12.8891492,https://www.openstreetmap.org/way/809271131
891e349119bffff,9,50.7694009,12.8892667,https://www.openstreetmap.org/way/809617183
891e349006bffff,9,50.7896657,12.9304502,https://www.openstreetmap.org/node/8688342261
891e3482693ffff,9,50.7437971,12.995769,https://www.openstreetmap.org/node/8532701098
891e34931b3ffff,9,50.8235153,12.8850414,https://www.openstreetmap.org/way/885874814
891e3490487ffff,9,50.8239969,12.9119248,https://www.openstreetmap.org/node/8805306853
891e3490487ffff,9,50.8239976,12.9119265,https://www.openstreetmap.org/node/8805306854
891e3490487ffff,9,50.8239963,12.9119232,https://www.openstreetmap.org/node/8805306855
