h3index,res,lat,lon,osmid
891e3492347ffff,9,50.8292019,12.9232526,https://www.openstreetmap.org/node/2245274801
891f1a2990fffff,9,50.8647895,12.8594139,https://www.openstreetmap.org/way/35910256
891e3490043ffff,9,50.7954122,12.9215702,https://www.openstreetmap.org/way/822838874
891f1a29373ffff,9,50.8530769,12.7515122,https://www.openstreetmap.org/way/427795192
891f1a29323ffff,9,50.8581156,12.7649673,https://www.openstreetmap.org/node/2443484991
891f1a29323ffff,9,50.8582615,12.7640788,https://www.openstreetmap.org/way/588203776
891f1a29a67ffff,9,50.8387858,12.8116764,https://www.openstreetmap.org/way/438375010
891f1a29a67ffff,9,50.8384678,12.8125457,https://www.openstreetmap.org/node/8844373895
891e349310bffff,9,50.8112981,12.8744724,https://www.openstreetmap.org/node/339459593
891e3493563ffff,9,50.8246686,12.8595776,https://www.openstreetmap.org/node/8572272457
891f1a29973ffff,9,50.8627534,12.8552991,https://www.openstreetmap.org/way/736948992
891f1a29923ffff,9,50.8656112,12.8659978,https://www.openstreetmap.org/way/426141834
891f1a29923ffff,9,50.8650236,12.8676591,https://www.openstreetmap.org/way/657113016
891e349ad47ffff,9,50.7226599,12.8956568,https://www.openstreetmap.org/way/457204960
891e34902dbffff,9,50.7832864,12.8962724,https://www.openstreetmap.org/way/660719933
891e349060fffff,9,50.7950577,12.8985992,https://www.openstreetmap.org/way/745634867
891e349003bffff,9,50.7976154,12.9354817,https://www.openstreetmap.org/way/92469843
891e3490e53ffff,9,50.7834653,12.9718045,https://www.openstreetmap.org/way/695836949
891e3490473ffff,9,50.8117176,12.9130144,https://www.openstreetmap.org/node/4876683907
891e3490483ffff,9,50.8257957,12.907233,https://www.openstreetmap.org/node/370412553
891e3490483ffff,9,50.8246782,12.9078514,https://www.openstreetmap.org/node/939522109
891e3490497ffff,9,50.8272663,12.9119852,https://www.openstreetmap.org/way/248051840
891e349055bffff,9,50.8132791,12.9308833,https://www.openstreetmap.org/node/5480569265
891e34905cbffff,9,50.8174185,12.9293241,https://www.openstreetmap.org/node/1453673976
891e349053bffff,9,50.8159632,12.9519808,https://www.openstreetmap.org/node/8510999003
891e34905dbffff,9,50.8196113,12.928885,https://www.openstreetmap.org/node/6251874221
891e34905c3ffff,9,50.8205753,12.9344047,https://www.openstreetmap.org/way/394660566
891e349237bffff,9,50.8286225,12.9235687,https://www.openstreetmap.org/way/957914295
891e3492347ffff,9,50.8315863,12.9219966,https://www.openstreetmap.org/node/162548851
891e3492303ffff,9,50.8342662,12.9261051,https://www.openstreetmap.org/way/334033871
891e34905cfffff,9,50.8187905,12.9370412,https://www.openstreetmap.org/node/490671416
891e349051bffff,9,50.8203809,12.9399845,https://www.openstreetmap.org/node/2776670199
891e349051bffff,9,50.8200141,12.9421242,https://www.openstreetmap.org/node/2776684630
891e3490583ffff,9,50.8263144,12.9415154,https://www.openstreetmap.org/node/7997220744
891e3492217ffff,9,50.8351227,12.8935512,https://www.openstreetmap.org/way/950180468
891e3492053ffff,9,50.8500267,12.8976047,https://www.openstreetmap.org/way/842127624
891e34923c7ffff,9,50.8370557,12.917661,https://www.openstreetmap.org/way/513413033
891e3492073ffff,9,50.8476229,12.9093643,https://www.openstreetmap.org/node/8575528825
891e34923bbffff,9,50.8404826,12.933413,https://www.openstreetmap.org/way/254830322
891e34923abffff,9,50.8394265,12.9354146,https://www.openstreetmap.org/node/2623958501
891e3492ec7ffff,9,50.8398595,12.9510274,https://www.openstreetmap.org/node/3522496458
891e349217bffff,9,50.8463421,12.9399724,https://www.openstreetmap.org/way/216958935
891e349052bffff,9,50.8142109,12.9559585,https://www.openstreetmap.org/node/3976522528
891e34905afffff,9,50.8220824,12.9590988,https://www.openstreetmap.org/node/5223652929
891e34905afffff,9,50.8226366,12.9593683,https://www.openstreetmap.org/node/5223652938
891e34905afffff,9,50.8228626,12.9595098,https://www.openstreetmap.org/node/5226320441
891e3492adbffff,9,50.8225796,12.9600621,https://www.openstreetmap.org/node/5226320444
891e3492e4fffff,9,50.8312768,12.955152,https://www.openstreetmap.org/way/198034687
891e3492e7bffff,9,50.8296426,12.9591996,https://www.openstreetmap.org/way/957666667
891e3492e47ffff,9,50.8329062,12.958029,https://www.openstreetmap.org/way/136504465
891e3492e47ffff,9,50.8324625,12.9569998,https://www.openstreetmap.org/node/4676959724
891e3492e6bffff,9,50.8287053,12.9624445,https://www.openstreetmap.org/node/5003004522
891e3492e87ffff,9,50.8460407,12.9633633,https://www.openstreetmap.org/node/2420448529
891e3497427ffff,9,50.8443924,13.082947,https://www.openstreetmap.org/way/323696125
891e34974b3ffff,9,50.8526285,13.0711748,https://www.openstreetmap.org/node/5720249070
891f1a2db47ffff,9,50.8567382,13.0763624,https://www.openstreetmap.org/way/255724332
891f1a288afffff,9,50.9059585,12.8978813,https://www.openstreetmap.org/node/4472301340
891f1a2c34fffff,9,50.9079194,13.0525211,https://www.openstreetmap.org/node/6943503185
