h3index,res,lat,lon,osmid
891f1a66a5bffff,9,50.7996575,12.7230577,https://www.openstreetmap.org/way/203759943
891f1a66a47ffff,9,50.8002414,12.7328572,https://www.openstreetmap.org/way/155190796
891f1a2938bffff,9,50.8645564,12.7460695,https://www.openstreetmap.org/way/256332830
891e3491693ffff,9,50.7676467,12.8236062,https://www.openstreetmap.org/way/499069514
891e3491073ffff,9,50.7549648,12.8620599,https://www.openstreetmap.org/way/660144345
891e34915cfffff,9,50.7775443,12.869452,https://www.openstreetmap.org/way/391919786
891f1a2932fffff,9,50.8557827,12.7648769,https://www.openstreetmap.org/way/388760574
891f1a29edbffff,9,50.8634762,12.7665014,https://www.openstreetmap.org/way/576892039
891f1a29e4bffff,9,50.8526594,12.7728209,https://www.openstreetmap.org/way/687439240
891f1a66db3ffff,9,50.8519863,12.7759784,https://www.openstreetmap.org/way/256986087
891e34930dbffff,9,50.812304,12.8248982,https://www.openstreetmap.org/way/948252432
891e3493423ffff,9,50.8267351,12.8374728,https://www.openstreetmap.org/way/744542435
891e349316fffff,9,50.8048851,12.8831955,https://www.openstreetmap.org/way/274871601
891e3492667ffff,9,50.8427797,12.8811447,https://www.openstreetmap.org/way/767326883
891e34922d7ffff,9,50.8371794,12.8815333,https://www.openstreetmap.org/way/921703375
891e3492667ffff,9,50.8432174,12.8825941,https://www.openstreetmap.org/way/926635216
891e34922c3ffff,9,50.8353747,12.8789177,https://www.openstreetmap.org/way/889295223
891f1a290afffff,9,50.8799501,12.7436201,https://www.openstreetmap.org/way/666481116
891f1a2832bffff,9,50.8940306,12.8265189,https://www.openstreetmap.org/way/791261326
891f1a2853bffff,9,50.9322075,12.8247266,https://www.openstreetmap.org/way/785581373
891e349ada7ffff,9,50.7336458,12.9158338,https://www.openstreetmap.org/way/702649932
891e3491ac3ffff,9,50.7325719,12.9207747,https://www.openstreetmap.org/way/802606457
891e349112bffff,9,50.7585656,12.9060358,https://www.openstreetmap.org/way/294601926
891e3490673ffff,9,50.792214,12.8939347,https://www.openstreetmap.org/way/273595190
891e349028bffff,9,50.7854427,12.9065324,https://www.openstreetmap.org/way/258433093
891e349193bffff,9,50.7484206,12.991384,https://www.openstreetmap.org/way/216236449
891e3482637ffff,9,50.7357495,13.0167352,https://www.openstreetmap.org/way/692178920
891e3490693ffff,9,50.8078297,12.8872716,https://www.openstreetmap.org/way/311119105
891e349312fffff,9,50.8106424,12.8905775,https://www.openstreetmap.org/way/386102215
891e3493127ffff,9,50.812733,12.8945442,https://www.openstreetmap.org/node/8495418723
891e34904dbffff,9,50.8177443,12.8933511,https://www.openstreetmap.org/way/904216258
891e3490483ffff,9,50.824118,12.9097236,https://www.openstreetmap.org/way/436875830
891e3490483ffff,9,50.8244054,12.9097435,https://www.openstreetmap.org/way/762073489
891e3492227ffff,9,50.8332887,12.9101055,https://www.openstreetmap.org/way/687325415
891e349235bffff,9,50.8291684,12.9131698,https://www.openstreetmap.org/way/330494478
891e3490557ffff,9,50.8153523,12.9393398,https://www.openstreetmap.org/way/386557892
891e34904b7ffff,9,50.8258878,12.9242689,https://www.openstreetmap.org/way/607934458
891e34905dbffff,9,50.8202023,12.9284653,https://www.openstreetmap.org/way/510363347
891e34905cbffff,9,50.8184482,12.930807,https://www.openstreetmap.org/way/571590631
891e34905cbffff,9,50.8183044,12.9306642,https://www.openstreetmap.org/way/625005973
891e3492347ffff,9,50.829639,12.9221537,https://www.openstreetmap.org/way/607972955
891e3492373ffff,9,50.8303754,12.9248478,https://www.openstreetmap.org/way/216174436
891e3492363ffff,9,50.827668,12.9303543,https://www.openstreetmap.org/way/655479546
891e349058bffff,9,50.8234559,12.9378652,https://www.openstreetmap.org/way/618065472
891e3492327ffff,9,50.8348873,12.9427513,https://www.openstreetmap.org/way/904238311
891e3492293ffff,9,50.843343,12.8872315,https://www.openstreetmap.org/way/926634782
891e3492237ffff,9,50.8351446,12.9055918,https://www.openstreetmap.org/way/655944262
891e34920cfffff,9,50.8517202,12.8968397,https://www.openstreetmap.org/way/842127619
891e34923dbffff,9,50.8366819,12.9090688,https://www.openstreetmap.org/way/655944263
891e34922b7ffff,9,50.8425918,12.9049155,https://www.openstreetmap.org/way/943338004
891e349206bffff,9,50.842252,12.9111956,https://www.openstreetmap.org/way/687871227
891e3492077ffff,9,50.8482857,12.9126448,https://www.openstreetmap.org/way/211265582
891e34825c7ffff,9,50.7581465,13.0459508,https://www.openstreetmap.org/way/217800266
891e349525bffff,9,50.7504739,13.0745506,https://www.openstreetmap.org/way/887875182
891e3495633ffff,9,50.7749885,13.0784598,https://www.openstreetmap.org/way/452261516
891e34953d3ffff,9,50.7648503,13.1083177,https://www.openstreetmap.org/way/686857683
891e349707bffff,9,50.8198529,13.0805233,https://www.openstreetmap.org/way/320393977
891f1a2d17bffff,9,50.8860099,13.0048261,https://www.openstreetmap.org/way/267473656
891f1a2f3b3ffff,9,50.9353593,12.9761656,https://www.openstreetmap.org/way/686150376
891f1a2c17bffff,9,50.9251269,13.0727504,https://www.openstreetmap.org/way/231620057
891e3492e47ffff,9,50.8326954,12.9572252,https://www.openstreetmap.org/node/4676951429
891e349a803ffff,9,50.7089203,12.8842642,https://www.openstreetmap.org/way/478660632
891f1a66a4bffff,9,50.7979649,12.7269993,https://www.openstreetmap.org/way/126734112
891f1a66aafffff,9,50.8091844,12.7494782,https://www.openstreetmap.org/node/8853734512
891f1a29267ffff,9,50.8498889,12.7230207,https://www.openstreetmap.org/way/303010744
891f1a293d7ffff,9,50.8629667,12.7391274,https://www.openstreetmap.org/way/303008400
891f1a64db3ffff,9,50.7989751,12.7991673,https://www.openstreetmap.org/way/880659903
891e3491383ffff,9,50.7514707,12.8777188,https://www.openstreetmap.org/way/112391966
891f1a29303ffff,9,50.8594632,12.7508462,https://www.openstreetmap.org/way/303007915
891f1a2930fffff,9,50.8564956,12.7534201,https://www.openstreetmap.org/way/256326481
891f1a29337ffff,9,50.8599536,12.7660576,https://www.openstreetmap.org/way/303007013
891f1a29edbffff,9,50.8625834,12.7670251,https://www.openstreetmap.org/way/952379541
891f1a29e5bffff,9,50.8552639,12.7727141,https://www.openstreetmap.org/way/303006539
891f1a29e43ffff,9,50.8576664,12.7760493,https://www.openstreetmap.org/way/223208521
891f1a29e57ffff,9,50.8578883,12.7772425,https://www.openstreetmap.org/way/223208526
891f1a29e57ffff,9,50.8579014,12.7769569,https://www.openstreetmap.org/way/223208528
891f1a29e43ffff,9,50.8575139,12.7766836,https://www.openstreetmap.org/way/223208529
891f1a29e57ffff,9,50.8577521,12.7767817,https://www.openstreetmap.org/way/223208531
891f1a29e57ffff,9,50.8579474,12.7764322,https://www.openstreetmap.org/way/223208533
891e3493423ffff,9,50.8276024,12.8352054,https://www.openstreetmap.org/way/686291357
891e3493527ffff,9,50.8311577,12.8744794,https://www.openstreetmap.org/way/300855449
891e349221bffff,9,50.8324874,12.8847884,https://www.openstreetmap.org/way/323072084
891f1a295b7ffff,9,50.9024007,12.7585365,https://www.openstreetmap.org/way/760777718
891f1a281cbffff,9,50.9178544,12.8172508,https://www.openstreetmap.org/way/704739666
