h3index,res,lat,lon,osmid
891e349129bffff,9,50.7497869,12.83847,https://www.openstreetmap.org/way/254192710
891e3491293ffff,9,50.750586,12.8410255,https://www.openstreetmap.org/way/254202074
891e349129bffff,9,50.750256,12.8398761,https://www.openstreetmap.org/way/254202075
891e3491e6fffff,9,50.7366189,12.9203356,https://www.openstreetmap.org/way/677725708
891e3492a23ffff,9,50.8184471,12.9929183,https://www.openstreetmap.org/way/296031522
891e3492a23ffff,9,50.8183677,12.9929075,https://www.openstreetmap.org/way/654756081
891e3492a2fffff,9,50.8182152,12.992886,https://www.openstreetmap.org/way/654756082
891e3492e17ffff,9,50.8394613,12.9620599,https://www.openstreetmap.org/way/706040423
891e34925dbffff,9,50.8717936,12.9040245,https://www.openstreetmap.org/way/240748093
891e349a093ffff,9,50.7303974,12.7900705,https://www.openstreetmap.org/way/314494955
891e349a093ffff,9,50.7316669,12.7913052,https://www.openstreetmap.org/way/314494957
891e349ae33ffff,9,50.7083932,12.8610792,https://www.openstreetmap.org/way/216650245
891e349a8dbffff,9,50.7101398,12.8664264,https://www.openstreetmap.org/way/22963318
891e349a8dbffff,9,50.7101218,12.8663244,https://www.openstreetmap.org/way/234016326
891e349aeafffff,9,50.7100165,12.8638737,https://www.openstreetmap.org/way/234016327
891e349a8dbffff,9,50.7100695,12.8654972,https://www.openstreetmap.org/way/234016328
891e349aeafffff,9,50.7092157,12.8625358,https://www.openstreetmap.org/way/254215189
891e349ae3bffff,9,50.7060265,12.8572445,https://www.openstreetmap.org/way/310983508
891e349a8dbffff,9,50.7107199,12.868398,https://www.openstreetmap.org/way/234016329
891e349a8c3ffff,9,50.7112291,12.8698031,https://www.openstreetmap.org/way/483781994
891e349a8d7ffff,9,50.7121891,12.8733481,https://www.openstreetmap.org/way/718178914
891e349a897ffff,9,50.7188228,12.8839814,https://www.openstreetmap.org/way/234016330
891e349a897ffff,9,50.7194919,12.8839695,https://www.openstreetmap.org/way/234016332
891f1a64ccfffff,9,50.789537,12.7459497,https://www.openstreetmap.org/way/888380407
891e349a553ffff,9,50.7359783,12.798783,https://www.openstreetmap.org/way/314494958
891e349a58fffff,9,50.7447795,12.814008,https://www.openstreetmap.org/way/483779094
891e349a513ffff,9,50.7427783,12.8105322,https://www.openstreetmap.org/way/639160365
891f1a64c37ffff,9,50.7915151,12.7717095,https://www.openstreetmap.org/way/225714020
891f1a64dc3ffff,9,50.7922662,12.7803896,https://www.openstreetmap.org/way/264194550
891f1a64dc3ffff,9,50.7918387,12.7787791,https://www.openstreetmap.org/way/361270488
891f1a64dcbffff,9,50.7917413,12.7783026,https://www.openstreetmap.org/way/361270489
891f1a64dc3ffff,9,50.7921129,12.7798796,https://www.openstreetmap.org/way/361270490
891f1a64cabffff,9,50.7907101,12.7640392,https://www.openstreetmap.org/way/225714017
891f1a64c07ffff,9,50.7908467,12.7621273,https://www.openstreetmap.org/way/225714023
891f1a64c17ffff,9,50.7910747,12.7609482,https://www.openstreetmap.org/way/236125222
891f1a64c17ffff,9,50.7914833,12.7596595,https://www.openstreetmap.org/way/236125223
891f1a64c17ffff,9,50.792416,12.7573387,https://www.openstreetmap.org/way/427686263
891f1a64dc7ffff,9,50.7934489,12.7835093,https://www.openstreetmap.org/way/264194549
891f1a64dc7ffff,9,50.7939193,12.78466,https://www.openstreetmap.org/way/755492181
891f1a64dc7ffff,9,50.7939193,12.78466,https://www.openstreetmap.org/way/756670867
891f1a64db3ffff,9,50.7995559,12.7993794,https://www.openstreetmap.org/way/880659900
891e349164fffff,9,50.7495307,12.8218072,https://www.openstreetmap.org/way/314493008
891e349164fffff,9,50.7493428,12.8215057,https://www.openstreetmap.org/way/314493009
891e349164fffff,9,50.7497986,12.8219588,https://www.openstreetmap.org/way/337464341
891e349164fffff,9,50.7501796,12.82147,https://www.openstreetmap.org/way/337464343
891e3491607ffff,9,50.7592385,12.8344416,https://www.openstreetmap.org/way/314492279
891e3491607ffff,9,50.759693,12.8348577,https://www.openstreetmap.org/way/314492280
891e34916abffff,9,50.7605337,12.8356171,https://www.openstreetmap.org/way/314492281
891e34916abffff,9,50.7622854,12.8372077,https://www.openstreetmap.org/way/314492282
891e3491477ffff,9,50.7732341,12.8502898,https://www.openstreetmap.org/way/370497314
