h3index,res,lat,lon,osmid
891f1a6c46fffff,9,50.6590787,12.5670171,https://www.openstreetmap.org/way/231213513
891f1a6c5cbffff,9,50.6712646,12.5790682,https://www.openstreetmap.org/way/612345590
891f1a6e353ffff,9,50.6853647,12.5645337,https://www.openstreetmap.org/way/320202168
891f1a6e31bffff,9,50.687296,12.5699159,https://www.openstreetmap.org/way/656626531
891f1a6c59bffff,9,50.6784322,12.5868847,https://www.openstreetmap.org/way/681187182
891f1a6e017ffff,9,50.7079981,12.556978,https://www.openstreetmap.org/way/348326244
891f1a6e58bffff,9,50.7271994,12.567946,https://www.openstreetmap.org/way/286494330
891f1a6d92fffff,9,50.5991854,12.6493765,https://www.openstreetmap.org/way/357821079
891e34d6063ffff,9,50.5820744,12.691218,https://www.openstreetmap.org/way/235025697
891e34d60b3ffff,9,50.5973624,12.6922172,https://www.openstreetmap.org/relation/3139675
891e34d616bffff,9,50.582039,12.7243618,https://www.openstreetmap.org/way/817018315
891e34d6147ffff,9,50.5864551,12.7174338,https://www.openstreetmap.org/relation/10541300
891e34d68c7ffff,9,50.5800162,12.765079,https://www.openstreetmap.org/way/237216242
891e34d688bffff,9,50.5822785,12.7668323,https://www.openstreetmap.org/way/237216233
891e34d688bffff,9,50.5829247,12.7702902,https://www.openstreetmap.org/way/237216247
891e34d6983ffff,9,50.5882502,12.804603,https://www.openstreetmap.org/way/709498063
891f1a6d9abffff,9,50.6062993,12.6430557,https://www.openstreetmap.org/way/357792335
891f1a6d987ffff,9,50.611148,12.6365414,https://www.openstreetmap.org/way/357426626
891f1a6d9bbffff,9,50.6095092,12.6376043,https://www.openstreetmap.org/way/357427094
891f1a6d9b3ffff,9,50.611742,12.6394911,https://www.openstreetmap.org/way/357427296
891f1a6d9b7ffff,9,50.6108808,12.6462559,https://www.openstreetmap.org/way/357427398
891f1a6d9a7ffff,9,50.6087764,12.6475857,https://www.openstreetmap.org/way/953325119
891e34d6453ffff,9,50.6013773,12.6568927,https://www.openstreetmap.org/way/357813046
891f1a6cbd7ffff,9,50.6300268,12.6760569,https://www.openstreetmap.org/way/277167598
891f1a6ce87ffff,9,50.6466536,12.6322021,https://www.openstreetmap.org/way/277160281
891f1a6cb6bffff,9,50.6149475,12.6850682,https://www.openstreetmap.org/way/609711285
891f1a6cbafffff,9,50.6281945,12.6969271,https://www.openstreetmap.org/way/312448092
891e34d652fffff,9,50.6037238,12.7175414,https://www.openstreetmap.org/way/320848781
891e34990c3ffff,9,50.6311177,12.7385646,https://www.openstreetmap.org/way/552428223
891f1a65bcbffff,9,50.7149149,12.7143057,https://www.openstreetmap.org/way/661763797
891f1a65bc3ffff,9,50.7174825,12.7161848,https://www.openstreetmap.org/way/661762160
