h3index,res,lat,lon,osmid
891f1a6e04fffff,9,50.696099,12.5480885,https://www.openstreetmap.org/way/631762399
891f1a6e5b3ffff,9,50.7302841,12.5784921,https://www.openstreetmap.org/way/913912162
891f1a6ec43ffff,9,50.7027976,12.6163893,https://www.openstreetmap.org/way/388129396
891f1a6d963ffff,9,50.5963961,12.637517,https://www.openstreetmap.org/way/43029254
891e34d60d7ffff,9,50.5941757,12.6786622,https://www.openstreetmap.org/way/880416550
891e34d603bffff,9,50.5874657,12.6961953,https://www.openstreetmap.org/way/356583639
891e34d6077ffff,9,50.5854761,12.6943011,https://www.openstreetmap.org/way/880416549
891e34d602fffff,9,50.5846239,12.7031935,https://www.openstreetmap.org/way/328536301
891e34d6393ffff,9,50.5836611,12.701835,https://www.openstreetmap.org/way/235025800
891e34d6153ffff,9,50.5898298,12.7095211,https://www.openstreetmap.org/way/304578487
891e34d6917ffff,9,50.5820184,12.8107997,https://www.openstreetmap.org/way/505398994
891f1a6d91bffff,9,50.6043769,12.6292344,https://www.openstreetmap.org/way/469654963
891f1a6d907ffff,9,50.6024965,12.6393525,https://www.openstreetmap.org/way/940212737
891e34d65b3ffff,9,50.6171913,12.708565,https://www.openstreetmap.org/node/6900444026
891e349b2abffff,9,50.6645241,12.7234421,https://www.openstreetmap.org/way/264621224
891f1a65a87ffff,9,50.7220996,12.6967124,https://www.openstreetmap.org/way/747349960
891e349b5d3ffff,9,50.7033344,12.7339517,https://www.openstreetmap.org/way/407308484
891e3499ccfffff,9,50.6332986,12.809959,https://www.openstreetmap.org/way/421370079
891e349a677ffff,9,50.7139666,12.7660085,https://www.openstreetmap.org/relation/5976395
891e349a2abffff,9,50.70559955,12.78980675,https://www.openstreetmap.org/relation/8250756
891f1a65087ffff,9,50.7509669,12.6245101,https://www.openstreetmap.org/way/315269085
891f1a67383ffff,9,50.7869325,12.6188266,https://www.openstreetmap.org/way/406654381
891f1a67387ffff,9,50.7870915,12.6215631,https://www.openstreetmap.org/way/360711333
891f1a65987ffff,9,50.741777,12.745991,https://www.openstreetmap.org/way/33132233
891f1a6457bffff,9,50.7946209,12.7025459,https://www.openstreetmap.org/node/8852452253
891f1a66a5bffff,9,50.7996575,12.7230577,https://www.openstreetmap.org/way/203759943
891f1a66a47ffff,9,50.8002414,12.7328572,https://www.openstreetmap.org/way/155190796
891f1a659b3ffff,9,50.7426779,12.7522973,https://www.openstreetmap.org/way/217662468
891e3491693ffff,9,50.7676467,12.8236062,https://www.openstreetmap.org/way/499069514
891e3491073ffff,9,50.7549648,12.8620599,https://www.openstreetmap.org/way/660144345
891e34915cfffff,9,50.7775443,12.869452,https://www.openstreetmap.org/way/391919786
891e34930dbffff,9,50.812304,12.8248982,https://www.openstreetmap.org/way/948252432
891e3493423ffff,9,50.8267351,12.8374728,https://www.openstreetmap.org/way/744542435
891e349316fffff,9,50.8048851,12.8831955,https://www.openstreetmap.org/way/274871601
891e349ab0fffff,9,50.6906501,12.9057094,https://www.openstreetmap.org/way/244102225
891e349ada7ffff,9,50.7336458,12.9158338,https://www.openstreetmap.org/way/702649932
891e3491ac3ffff,9,50.7325719,12.9207747,https://www.openstreetmap.org/way/802606457
891e349112bffff,9,50.7585656,12.9060358,https://www.openstreetmap.org/way/294601926
891e3490673ffff,9,50.792214,12.8939347,https://www.openstreetmap.org/way/273595190
891e349028bffff,9,50.7854427,12.9065324,https://www.openstreetmap.org/way/258433093
891e3490693ffff,9,50.8078297,12.8872716,https://www.openstreetmap.org/way/311119105
891e349312fffff,9,50.8106424,12.8905775,https://www.openstreetmap.org/way/386102215
891e3499c43ffff,9,50.6291909,12.8117033,https://www.openstreetmap.org/way/238220274
891f1a6554fffff,9,50.7552308,12.6341258,https://www.openstreetmap.org/way/313410056
891f1a6453bffff,9,50.801137,12.7103809,https://www.openstreetmap.org/way/166896715
891f1a6c197ffff,9,50.6665703,12.6115676,https://www.openstreetmap.org/way/308419037
891f1a6e043ffff,9,50.6990438,12.5490088,https://www.openstreetmap.org/way/320871261
891f1a6e04bffff,9,50.6964191,12.547531,https://www.openstreetmap.org/way/688476843
891f1a6d977ffff,9,50.5983696,12.6383443,https://www.openstreetmap.org/way/940216232
891e34d60d7ffff,9,50.5943948,12.677688,https://www.openstreetmap.org/way/864875200
891e34d638fffff,9,50.5789873,12.7045953,https://www.openstreetmap.org/way/271728353
891e34d602fffff,9,50.5852431,12.7040589,https://www.openstreetmap.org/way/270560384
891e34d6023ffff,9,50.5886123,12.7012575,https://www.openstreetmap.org/way/444395442
891e34d614bffff,9,50.5840434,12.7077531,https://www.openstreetmap.org/way/279445372
891e34d6153ffff,9,50.5894469,12.7107929,https://www.openstreetmap.org/way/304578526
891e34d690fffff,9,50.5764153,12.810727,https://www.openstreetmap.org/way/504872549
891f1a6d903ffff,9,50.6034161,12.6359084,https://www.openstreetmap.org/way/940590728
891e34d65afffff,9,50.610964,12.7145094,https://www.openstreetmap.org/way/701967786
891f1a6e94bffff,9,50.687143,12.6693356,https://www.openstreetmap.org/way/314325901
891f1a65ad7ffff,9,50.7193779,12.6826729,https://www.openstreetmap.org/way/354060781
891f1a65ad7ffff,9,50.7194459,12.6848164,https://www.openstreetmap.org/way/354060782
891f1a6581bffff,9,50.733766742,12.706039014,https://www.openstreetmap.org/relation/2303150
891f1a65b63ffff,9,50.708643,12.7329633,https://www.openstreetmap.org/way/351268041
891f1a65b63ffff,9,50.7086416,12.7331956,https://www.openstreetmap.org/way/399737419
891f1a65b83ffff,9,50.7246228,12.7246566,https://www.openstreetmap.org/way/387466314
891f1a65b83ffff,9,50.7244561,12.7255023,https://www.openstreetmap.org/way/399256817
891f1a6590fffff,9,50.7335991,12.7463146,https://www.openstreetmap.org/way/355144021
891e3499c43ffff,9,50.6283868,12.8145132,https://www.openstreetmap.org/way/827382355
891e3499ccfffff,9,50.633483,12.8097532,https://www.openstreetmap.org/way/801739210
891e3499ccbffff,9,50.6339387,12.8077484,https://www.openstreetmap.org/way/821341826
891e3498437ffff,9,50.6857491,12.8164007,https://www.openstreetmap.org/way/109229651
891e349a29bffff,9,50.70804885,12.774143425,https://www.openstreetmap.org/relation/5941332
891e349a667ffff,9,50.7120667,12.7723498,https://www.openstreetmap.org/way/395978716
891e349a803ffff,9,50.7089203,12.8842642,https://www.openstreetmap.org/way/478660632
891f1a656d3ffff,9,50.7467694,12.5731852,https://www.openstreetmap.org/way/338175520
891f1a6738bffff,9,50.7855345,12.612608,https://www.openstreetmap.org/way/366123086
