h3index,res,lat,lon,osmid
891f1a6550fffff,9,50.7622714,12.6410171,https://www.openstreetmap.org/way/211862062
891e349129bffff,9,50.7497869,12.83847,https://www.openstreetmap.org/way/254192710
891e3491293ffff,9,50.750586,12.8410255,https://www.openstreetmap.org/way/254202074
891e349129bffff,9,50.750256,12.8398761,https://www.openstreetmap.org/way/254202075
891e3491e6fffff,9,50.7366189,12.9203356,https://www.openstreetmap.org/way/677725708
891f1a6e377ffff,9,50.6827228,12.5786371,https://www.openstreetmap.org/way/239625981
891f1a6e363ffff,9,50.6819362,12.5810304,https://www.openstreetmap.org/way/239625984
891f1a6e367ffff,9,50.6811541,12.5829011,https://www.openstreetmap.org/way/320448150
891f1a6e2afffff,9,50.6906988,12.5522827,https://www.openstreetmap.org/way/705920396
891f1a6e3cfffff,9,50.6872219,12.5638352,https://www.openstreetmap.org/way/104030971
891f1a6e3cfffff,9,50.6864973,12.5662088,https://www.openstreetmap.org/way/104030976
891f1a6e357ffff,9,50.68535,12.5699668,https://www.openstreetmap.org/way/130352984
891f1a6e367ffff,9,50.6807646,12.5838326,https://www.openstreetmap.org/way/196124714
891f1a6e367ffff,9,50.6805638,12.5843021,https://www.openstreetmap.org/way/239625979
891f1a6c58bffff,9,50.67801,12.5894714,https://www.openstreetmap.org/way/320448151
891f1a6c58bffff,9,50.6779174,12.5895099,https://www.openstreetmap.org/way/320448152
891f1a6c59bffff,9,50.6787681,12.5879322,https://www.openstreetmap.org/way/320448163
891f1a6c58bffff,9,50.6778899,12.5891934,https://www.openstreetmap.org/way/320448164
891f1a6c59bffff,9,50.678475,12.5883643,https://www.openstreetmap.org/way/376583555
891f1a6c58bffff,9,50.6778899,12.5891934,https://www.openstreetmap.org/way/376658740
891f1a6e32fffff,9,50.6833381,12.5901728,https://www.openstreetmap.org/way/810836700
891f1a6c583ffff,9,50.6787503,12.5905772,https://www.openstreetmap.org/way/813388662
891f1a6e17bffff,9,50.7003537,12.5883648,https://www.openstreetmap.org/way/24778587
891f1a6eed3ffff,9,50.6951682,12.594847,https://www.openstreetmap.org/way/810561246
891f1a6e327ffff,9,50.6873794,12.5933709,https://www.openstreetmap.org/way/810567646
891f1a6eed3ffff,9,50.69386,12.5954404,https://www.openstreetmap.org/way/813388661
891f1a6e5c3ffff,9,50.7243951,12.5578829,https://www.openstreetmap.org/way/23847337
891f1a6e0afffff,9,50.708558,12.5667382,https://www.openstreetmap.org/way/24778427
891f1a6e143ffff,9,50.7028021,12.5812459,https://www.openstreetmap.org/way/813417103
891f1a6e037ffff,9,50.7053993,12.5714315,https://www.openstreetmap.org/way/813417104
891f1a6e153ffff,9,50.7031474,12.5783532,https://www.openstreetmap.org/way/813417105
891f1a6e153ffff,9,50.7029544,12.5799264,https://www.openstreetmap.org/way/813417106
891f1a6e153ffff,9,50.7031021,12.5787377,https://www.openstreetmap.org/way/813417107
891f1a6e5c3ffff,9,50.7254842,12.5579873,https://www.openstreetmap.org/way/813421040
